Изображения,Название,Артикул,Цена,Валюта,Наличие,Категория,Подкатегория,URL,Описание,Код товара,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Страна-производитель
https://cdn.entero.ru/mp@2x/81/c3/81c3b79af57b9fab6055e5d8ee4ea9bf.jpg;https://cdn.entero.ru/mp@2x/cf/37/cf37cedc281085df82e32233b88f73e8.jpg;https://cdn.entero.ru/mp@2x/3f/2b/3f2b8ade1b7d338890f6bb4c8d0ce441.jpg;https://cdn.entero.ru/mp@2x/de/90/de90d397deebff2c53336dcdc0299c89.jpg;https://cdn.entero.ru/mp@2x/f5/8b/f58b5e6580a274622e6c56ac3f2349b3.jpg;https://cdn.entero.ru/mp@2x/a6/7c/a67c0c3f64e3da33c04064c95faab319.jpg;https://cdn.entero.ru/mp@2x/99/00/990086d31edc717faf7982bea2b74eae.jpg,Солнечная панель Libhof SPF-4200,Солнечная панель Libhof SPF-4200,27999,RUB,Нет,Климатическая техника,Солнечные панели,https://entero.ru/item/231526,"<p>Солнечная панель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/231526"">Libhof SPF-4200</a></b> используется для преобразования энергии солнца в электрическую и предназначена для зарядки 12 вольтовых аккумуляторов.</p>

<p>В комплект поставки входит контроллер и кабель для подключения аккумуляторной батареи.</p>

<p><b>Дополнителные характеристики:</b></p>

<ul>
<li>Напряжение:
<ul>
<li>При максимальной мощности: 18 В </li>
<li>Без нагрузки: 21,24 В </li>
</ul>
</li>
<li>Ток:
<ul>
<li>При максимальной мощности: 11,11 А</li>
<li>Короткого замыкания: 12,22 А</li>
</ul>
</li>
<li>Размеры в сложенном состоянии: 600х550х20 мм</li>
<li>Размеры в открытом состоянии: 2200х550х5 мм</li>
</ul>",231526,0.2 кВт,600 мм,550 мм,20 мм,9.36 кг,1,720x660x24 мм,0,https://entero.ru/manuals/278305/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Libhof%20SPF-4200.pdf,29166,7.8 кг,Словакия
https://cdn.entero.ru/mp@2x/4e/4c/4e4c5600807d50a6c17da6d911f51f7b.jpg;https://cdn.entero.ru/mp@2x/de/88/de88fd66636750aefec57e9b7c3f4ba9.jpg;https://cdn.entero.ru/mp@2x/19/8c/198cf803d5291f2753776011abac43a5.jpg;https://cdn.entero.ru/mp@2x/da/d4/dad4ed91faa51b815c005d8e39727896.jpg;https://cdn.entero.ru/mp@2x/b9/a3/b9a361b18ab3a7a3747f5f7ecd26b318.jpg;https://cdn.entero.ru/mp@2x/20/df/20df05ed8ac72df304e8544263322e5d.jpg;https://cdn.entero.ru/mp@2x/a1/7d/a17da0637965cd045f7b46dc01f3671c.jpg;https://cdn.entero.ru/mp@2x/59/8f/598f09a1a23c4828b6d02c67266dbf16.jpg,Солнечная панель Libhof SPF-4120,Солнечная панель Libhof SPF-4120,19999,RUB,Нет,Климатическая техника,Солнечные панели,https://entero.ru/item/231532,"<p>Солнечная панель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/231532"">Libhof SPF-4120</a></b> используется для преобразования энергии солнца в электрическую и предназначена для зарядки 12 вольтовых аккумуляторов.</p>

<p>В комплект поставки входит контроллер и кабель для подключения аккумуляторной батареи.</p>

<p><b>Дополнителные характеристики:</b></p>

<ul>
<li>Напряжение:
<ul>
<li>При максимальной мощности: 18 В </li>
<li>Без нагрузки: 21,24 В </li>
</ul>
</li>
<li>Ток:
<ul>
<li>При максимальной мощности: 6,67 А</li>
<li>Короткого замыкания: 7,33 А</li>
</ul>
</li>
<li>Размеры в сложенном состоянии: 380х550х20 мм</li>
<li>Размеры в открытом состоянии: 1500х550х5 мм</li>
</ul>",231532,0.12 кВт,380 мм,550 мм,20 мм,5.04 кг,1,456x660x24 мм,0,https://entero.ru/manuals/278311/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Libhof%20SPF-4120.pdf,,4.2 кг,Словакия
