Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Остаток,Файлы,Вес (без упаковки),Родина бренда,Страна-производитель,Установка,Объем,Максимальная температура воды
https://cdn.entero.ru/mp@2x/86/32/863274c5761a6b36ea8d7f87e63cdc84.jpg,Тепловой насос HAJDU HB 300,2232631101,0,RUB,Нет,HAJDU,Климатическая техника,Водонагреватели,Бойлеры с тепловыми насосами,https://entero.ru/item/34347,"<p> Тепловой насос <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/34347""><b class=""b"">HB 300</b></a> используется для подогрев воды в баке до 60 ° С. и одновременного конденционирования помещения. Бак имеет высококачественное эмалерованное покрытие и электронное управление.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Подключение воды: 3/4</li>
<li>Номинальное рабочее давление: 0,6 МПа</li>
<li>Змеевик, подключение: 3/4</li>
<li>Вентиляционное подключение: 190 мм</li>
</ul>",34347,220 В,1.8 кВт,720 мм,1950 мм,720 мм,0,https://entero.ru/manuals/6631/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20HAJDU%20HB%20300.pdf,,Венгрия,,напольная,300 л,60 °С
https://cdn.entero.ru/mp@2x/56/92/5692d78fc90746958ae6772291953917.jpg,Тепловой насос HAJDU HB 300 C,Тепловой насос HAJDU HB 300 C,0,RUB,Нет,HAJDU,Климатическая техника,Водонагреватели,Бойлеры с тепловыми насосами,https://entero.ru/item/34345,"<p> Тепловой насос <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/34345""><b class=""b"">HB 300 C</b></a> используется для подогрев воды в баке до 60 ° С. и одновременного конденционирования помещения. Бак имеет высококачественное эмалерованное покрытие и электронное управление.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Подключение воды: 3/4</li>
<li>Номинальное рабочее давление: 0,6 МПа</li>
<li>Змеевик, подключение: 3/4</li>
<li>Вентиляционное подключение: 190 мм</li>
</ul>",34345,220 В,1.8 кВт,661 мм,720 мм,1950 мм,0,https://entero.ru/manuals/6630/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20HAJDU%20HB%20300%20C.pdf,141 кг,Венгрия,Венгрия,напольная,300 л,60 °С
