Изображения,Название,Артикул,Цена,Валюта,Наличие,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Объем топливного бака
https://cdn.entero.ru/mp@2x/59/67/5967da9912ca149c5783e30d27e8043b.jpg,Отопитель дизельный Libhof AHP-512 (12 В),libahp512,29999,RUB,Нет,Климатическая техника,Обогреватели,Автономные отопители,https://entero.ru/item/251022,"<p>Дизельный отопитель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251022""><b class=""b"">Libhof AHP-512 </b></a>предназначен для автономного обогрева строительных и сельскохозяйственных объектов, гаражей, подсобных помещений, туристических палаток, грузовых автомобилей, автодомов, яхт и других видов транспорта. Модель оснащена топливным баком, топливным насосом, вентилятором с защитной решеткой, клеммами для подключения к источнику питания, воздуховодами, электронным контроллером и панелью управления с информативным дисплеем индикации. </p>

<p>В комплект поставки входят пульт дистанционного управления, впускная и выпускная воздушные трубки, адаптер питания 220 В, инструкция по эксплуатации и гарантийный талон.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность работы от бортовой сети транспортного средства без запуска двигателя</li>
<li>Автоматический цикл прокачки при первом запуске или отсутствии топлива в топливопроводе</li>
<li>Режимы:
<ul>
<li>Регулирование мощности</li>
<li>Регулирование температуры</li>
</ul>
</li>
<li>Индикация:
<ul>
<li>Активация и остановка работы</li>
<li>Температура </li>
<li>Тепловая мощность</li>
<li>Высота над уровнем моря</li>
<li>Уровень топлива</li>
<li>Эффективность сгорания</li>
<li>Напряжение</li>
<li>Свеча накала</li>
<li>Вентилятор</li>
<li>Насос</li>
<li>Сигнал связи</li>
<li>Суммарное суточное время работы</li>
<li>Датчик перегрева</li>
<li>Коды неисправностей</li>
</ul>
</li>
<li>Звуковая сигнализация для подтверждения настроек и оповещения о неисправностях</li>
<li>Рукоятка для удобства транспортировки</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон регулировки тепловой мощности: от 1,4 до 5 кВт</li>
<li>Диапазон регулировки температуры: от 10 до 35 °C</li>
<li>Количество качков цикла прокачки: 500</li>
<li>Средний срок эксплуатации: 3 г.</li>
</ul>",251022,12 В,0.4 кВт,340 мм,339 мм,243 мм,10.2 кг,1,394x364x402 мм,0,https://entero.ru/manuals/308535/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Libhof%20AHP-512.pdf,,7.9 кг,Словакия,Китай,4 л
https://cdn.entero.ru/mp@2x/4a/db/4adbbeec9c6fba9cc302dbc759d8aa89.jpg,Отопитель дизельный Libhof AHU-512 (12 В),libahu512,29999,RUB,Нет,Климатическая техника,Обогреватели,Автономные отопители,https://entero.ru/item/251020,"<p>Дизельный отопитель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251020""><b class=""b"">Libhof AHU-512 </b></a>предназначен для автономного обогрева строительных и сельскохозяйственных объектов, гаражей, подсобных помещений, туристических палаток, грузовых автомобилей, автодомов, яхт и других видов транспорта. Модель оснащена топливным баком, топливным насосом, вентилятором с защитной решеткой, клеммами для подключения к источнику питания, воздуховодами, электронным контроллером и панелью управления с информативным дисплеем индикации. </p>

<p>В комплект поставки входят пульт дистанционного управления, впускная и выпускная воздушные трубки, адаптер питания 220 В, инструкция по эксплуатации и гарантийный талон.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность работы от бортовой сети транспортного средства без запуска двигателя</li>
<li>Автоматический цикл прокачки при первом запуске или отсутствии топлива в топливопроводе</li>
<li>Режимы:
<ul>
<li>Регулирование мощности</li>
<li>Регулирование температуры</li>
</ul>
</li>
<li>Индикация:
<ul>
<li>Активация и остановка работы</li>
<li>Температура </li>
<li>Тепловая мощность</li>
<li>Высота над уровнем моря</li>
<li>Уровень топлива</li>
<li>Эффективность сгорания</li>
<li>Напряжение</li>
<li>Свеча накала</li>
<li>Вентилятор</li>
<li>Насос</li>
<li>Сигнал связи</li>
<li>Суммарное суточное время работы</li>
<li>Датчик перегрева</li>
<li>Коды неисправностей</li>
</ul>
</li>
<li>Звуковая сигнализация для подтверждения настроек и оповещения о неисправностях</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон регулировки тепловой мощности: от 1,4 до 5 кВт</li>
<li>Диапазон регулировки температуры: от 10 до 35 °C</li>
<li>Количество качков цикла прокачки: 500</li>
<li>Средний срок эксплуатации: 3 г.</li>
</ul>",251020,"12 В, 220 В",0.4 кВт,351 мм,316 мм,157 мм,9 кг,1,413x357x317 мм,0,https://entero.ru/manuals/308533/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Libhof%20AHU-512.pdf,32608,6.6 кг,Словакия,Китай,4 л
