Изображения,Название,Артикул,Цена,Валюта,Наличие,Категория,Подкатегория,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель
https://cdn.entero.ru/mp@2x/cb/3c/cb3cd99b0d183a36e75c0947a1eac76d.jpg;https://cdn.entero.ru/mp@2x/cc/48/cc488c49d1ef41897d9bb6ea9d1be92a.jpg;https://cdn.entero.ru/mp@2x/2e/d0/2ed07917a55417c45d20d83fba2946bd.jpg;https://cdn.entero.ru/mp@2x/de/44/de44e9007359998e70db7d396c21f6eb.jpg,Система заваривания Tone Touch 03,Система заваривания Tone Touch 03,371925,RUB,Да,Кофеварки и кофемашины,Оборудование для нитро-напитков,https://entero.ru/item/332705,"<p>Система заваривания​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/332705"">Tone Touch 03</a></b> используется на предприятиях общественного питания и торговли для приготовления индивидуального напитка, раскрывая весь потенциал Вашего кофе или чая одним нажатием кнопки. Модель оснащена новой безбойлерной системой подачи воды через проточный нагревательный элемент.</p>

<p>Совместимость: Аппарат для приготовления нитро-кофе <a href=""https://entero.ru/item/332575"">Tone Nitro 25</a></p>

<p><b>Особенности:</b></p>

<ul>
<li>IBS: интеллектуальная система заваривания</li>
<li>Возможность профилирования рецептов</li>
<li>Контроль потока воды и импульсов подачи воды на всех стадиях приготовления:
<ul>
<li>Предсмачивания</li>
<li>Турбулентности</li>
<li>Стадии развития</li>
</ul>
</li>
<li>Программируется на порции</li>
<li>Заварник без кипятильника</li>
<li>Неограниченное количество рецептов для кофе и чая</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: белый</li>
<li>Настройка порции от 200 мл до 2 л</li>
<li>Максимальный объем напитка: до 2 л</li>
<li>Максимальный расход воды: 8 гр./сек</li>
<li>Нагрев до 94°C / 201° F: 2 сек</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Встроенный модуль WiFi</li>
<li><a href=""https://entero.ru/item/376394"">Подставка</a></li>
</ul>

<p> </p>

<p><em><span style=""color:#FF0000;"">Внимание! На фото модель с подставкой, которая приобретается дополнительно. </span></em></p>

<p> </p>",332705,220 В,3.45 кВт,242 мм,302 мм,505 мм,0,https://entero.ru/manuals/393858/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Tone%20Touch%2003%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/393859/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Tone%20Touch%2003%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,404266,26 кг,Швейцария,Швейцария
https://cdn.entero.ru/mp@2x/c5/61/c561cf4e35219c0f8f9282b2ae38cfcf.jpg;https://cdn.entero.ru/mp@2x/5f/3d/5f3dee88ad860dfc49ab39c3d9ae6449.jpg,Аппарат для приготовления нитро-кофе Tone Nitro 25,Аппарат для приготовления нитро-кофе Tone Nitro 25,403750,RUB,Нет,Кофеварки и кофемашины,Оборудование для нитро-напитков,https://entero.ru/item/332575,"<p>Аппарат для приготовления нитро-кофе <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/332575"">Tone Nitro 25</a> </b>используется совместно с кофемашинами <a href=""https://entero.ru/item/332705"">Touch 03</a> & <a href=""https://entero.ru/item/376389"">04</a>, обеспечивая отличное комплексное решение для приготовления большого количества холодных, насыщенных азотом напитков на основе кофе или чая на предприятиях общественного питания и торговли. Модель оснащена встроенным охладителем и компрессором, который получает азот из воздуха.</p>

<p>В комплект поставки входит индивидуальная 5 литровая канистра с функцией долгого хранения холодного напитка (до 7 дней) без необходимости ультрапастеризации.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Удобное приготовление нитро кофе или чая при опускании ручки крана</li>
<li>Использует азот из воздуха, дополнительный баллон не нужен</li>
<li>Встроенный охладитель напитка</li>
<li>Компактный и стильный дизайн</li>
<li>Легкая установка и настройка</li>
<li>Легкое управление и удобная работа</li>
<li>Легкая настройка количества пены и уровня охлаждения напитка</li>
<li>
<p>Охладитель (хладогент): R134a</p>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 40 л/час</li>
<li>Мин. температура охлаждения: 4 °C</li>
</ul>",332575,220 В,0.3 кВт,320 мм,260 мм,627 мм,0,https://entero.ru/manuals/393748/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Tone%20TONE%20NITRO%2025.pdf;https://entero.ru/manuals/393749/%D0%9B%D0%B8%D1%81%D1%82%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Tone%20TONE%20NITRO%2025.pdf;https://entero.ru/manuals/393750/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BA%D1%80%D0%B0%D1%82%D0%BA%D0%B0%D1%8F%20%D0%BD%D0%B0%20Tone%20TONE%20NITRO%2025.pdf,,23.5 кг,Швейцария,Швейцария
https://cdn.entero.ru/mp@2x/01/50/0150862e3c3bbaac10f4054a61ff56fe.jpg;https://cdn.entero.ru/mp@2x/a0/98/a098f2cad455e268e380cd6a5389ac91.jpg;https://cdn.entero.ru/mp@2x/35/a8/35a82a5b11c48ba6d167515fe9447815.jpg;https://cdn.entero.ru/mp@2x/59/d4/59d4b3c6c4b390395878b9dbd967b903.jpg;https://cdn.entero.ru/mp@2x/88/c6/88c6c9ec8736d8b52b6fd0faa4ac906f.jpg;https://cdn.entero.ru/mp@2x/b3/e3/b3e38b9958ce6e8297ee1ea99e63260c.jpg;https://cdn.entero.ru/mp@2x/49/40/4940b9218cf0b5f431f87b034c216550.jpg;https://cdn.entero.ru/mp@2x/38/9f/389f509afda40a963e0006096bd2d298.jpg;https://cdn.entero.ru/mp@2x/9b/35/9b357c6cbab73e0be4cf1757d7c36edc.jpg;https://cdn.entero.ru/mp@2x/62/ac/62acd45db73dc5559bd503ec4600db41.jpg,Система заваривания Tone Touch 04,Система заваривания Tone Touch 04,442000,RUB,Нет,Кофеварки и кофемашины,Оборудование для нитро-напитков,https://entero.ru/item/376389,"<p>Система заваривания​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/376389"">Tone Touch 04</a></b> используется на предприятиях общественного питания и торговли для приготовления батч-брю и настройки уникальных рецептов приготовления для каждого сорта кофе или чая. Модель оснащена новой безбойлерной системой: подача воды через инновационный проточный нагревательный элемент. Корпус изготовлен из единого листа металла.</p>

<p>Совместимость: Аппарат для приготовления нитро-кофе <a href=""https://entero.ru/item/332575"">Tone Nitro 25</a></p>

<p><b>Особенности:</b></p>

<ul>
<li>IBS: интеллектуальная система заваривания</li>
<li>Возможность готовить горячий/ холодный кофе/чай</li>
<li>Настройка, сохранение и тиражирование рецептов через приложение</li>
<li>Настройка:
<ul>
<li>Температуры</li>
<li>Количества циклов вливания</li>
<li>Веса порций</li>
<li>Параметров потока воды при вливании</li>
<li>Пауз вливания</li>
<li>Байпасса</li>
</ul>
</li>
<li>Проточный нагрев воды (без бойлера) позволяет экономить более 60% энергии и контролировать температуру воды</li>
<li>Каждая кнопка позволяет настроить рецепт и дополнительно количество выдачи воды</li>
<li>Запатентованный клапан удаления накипи</li>
<li>Быстрая готовность к работе после включения</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: белый, черный</li>
<li>Производительность объема напитка: от 1 до 4 л</li>
<li>Максимальный расход воды: 8 гр./сек.</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Система автоматического определения установки корзины в держатель для включения подачи воды</li>
<li> Термос 4,5 литра</li>
</ul>",376389,220 В,6.9 кВт,242 мм,320 мм,646 мм,0,https://entero.ru/manuals/515972/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Tone%20Touch%2003%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/515973/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Tone%20Touch%2003%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,465263,,Швейцария,Швейцария
https://cdn.entero.ru/mp@2x/79/4f/794f8a85e302219eef17c9b5c81dc52d.jpg;https://cdn.entero.ru/mp@2x/7e/e0/7ee096667bbb7df50d6a2f4d7bdc3738.jpg;https://cdn.entero.ru/mp@2x/82/af/82af38f2e9b35c703a066bd98b1cc2f8.jpg,"Подставка Tone для Touch 03, цвет черный","Подставка Tone для Touch 03, цвет черный",6760,RUB,Нет,Кофеварки и кофемашины,Оборудование для нитро-напитков,https://entero.ru/item/376394,"<p>Подставка предназначена для совместного использования с системой заваривания​ <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/376394""><b class=""b"">Tone Touch 03</b></a> на предприятиях общественного питания и торговли. Аксессуар выполнен из пластика и металла.</p>

<p> </p>",376394,,,,,,0,https://entero.ru/manuals/515978/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Tone%20Touch%2003%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/515979/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Tone%20Touch%2003%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,,
