Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Объем,Цвет,Материал корпуса
https://cdn.entero.ru/mp@2x/3e/9a/3e9a73735bdeb0fac4077a6221f02696.jpg,Чайник электрический для кофе DAZHENG LYM589W,Чайник электрический для кофе DAZHENG LYM589W,8727,RUB,Да,,Кофеварки и кофемашины,Чайники для кофе,https://entero.ru/item/226495,"<p>Электрический чайник <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/226495""><b class=""b"">DAZHENG LYM589W </b></a>предназначен для для заваривания кофе в кофейнях, отелях, офисах, частных домах и квартирах. Модель оснащена датчиком температуры. </p>",226495,220 В,1.35 кВт,,,,,0,,11793,,,Китай,0.8 л,серебристый,
https://cdn.entero.ru/mp@2x/e0/5b/e05b5fdab99ae065363f333a099aef32.jpg;https://cdn.entero.ru/mp@2x/61/35/613584e672afd7a0d2fa3320bf5d7688.jpg;https://cdn.entero.ru/mp@2x/97/4d/974d9b129afab81dbdf85cc4d1342441.jpg;https://cdn.entero.ru/mp@2x/e7/ef/e7efa65c11eb69e6b2d04d2379eb223b.jpg;https://cdn.entero.ru/mp@2x/9f/ad/9fad14185e7782f5a9a9320d3e80e7ba.jpg;https://cdn.entero.ru/mp@2x/ef/1b/ef1b48f846af358f16bf50504d7399c7.jpg,Чайник электрический для кофе CASO Coffee Classic Kettle,Чайник электрический для кофе CASO Coffee Classic Kettle,9447,RUB,Да,CASO,Кофеварки и кофемашины,Чайники для кофе,https://entero.ru/item/170760,"<p>Чайник<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/170760"">CASO Coffee Classic Kettle</a> </b>предназначен для нагрева воды и заваривания кофе в кофейнях, отелях, офисах, частных домах и квартирах. Модель оснащена тонким длинным носиком, теплоизолированной ручкой и нескользящими ножками. Корпус выполнен из матовой стали черного цвета, внутренняя поверхность - из нержавеющей стали.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Вращение на 360° на подставке</li>
<li>Звуковой сигнал</li>
<li>Автоматическое отключение</li>
<li>Кнопка включения с подсветкой</li>
<li>Защита от перегрева</li>
<li>Защита от выкипания</li>
<li>Место для хранения кабеля в базе</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Минимальный объем: 0,2 л</li>
</ul>",170760,220 В,от 1.1 до 1.31 кВт,280 мм,160 мм,205 мм,,0,https://entero.ru/manuals/196392/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20Coffee%20Classic%20Kettle%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,1 кг,Германия,Китай,0.6 л,черный,металл
https://cdn.entero.ru/mp@2x/b2/5a/b25ae20031f14401b7201184b38ced1c.jpg;https://cdn.entero.ru/mp@2x/73/95/7395652d19af7016a0c64a7c439b419d.jpg;https://cdn.entero.ru/mp@2x/fb/8e/fb8e502745da26b29941e91660877d1a.jpg;https://cdn.entero.ru/mp@2x/0b/a0/0ba00c27fed8f3ec6f41f9f6be252c93.jpg;https://cdn.entero.ru/mp@2x/ca/e1/cae17405dcf48d4c2accbcb2c2cbb9c8.jpg;https://cdn.entero.ru/mp@2x/71/60/7160dec2318e31ffaaa46fd757a97a9f.jpg;https://cdn.entero.ru/mp@2x/f9/27/f927a62c2a7c0164edafad35c7f90480.jpg;https://cdn.entero.ru/mp@2x/75/f4/75f49728805f3f17cde64d186fcbbca6.jpg,Чайник электрический для пуровера ZeroHero WUMING E-Kettle 600 мл с контролем температуры белый,asch006,19713,RUB,Да,,Кофеварки и кофемашины,Чайники для кофе,https://entero.ru/item/343034,"<p>Электрический чайник <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/343034""><b class=""b"">ZeroHero 600 мл </b></a>предназначен для заваривания кофе методом пуровер в кофейнях, отелях, офисах и домашних условиях. Модель оснащена тонким изящным носиком, удобной рукояткой, крышкой с 3 паровыми отверстиями, прямоугольной подставкой с функциональной нажимной клавишей на торце, сенсорной панелью управления и 2 цифровыми дисплеями с белой подсветкой индикации. Корпус выполнен из безопасной для пищевой промышленности нержавеющей стали марки SUS304 с белым матовым тефлоновым покрытием, рукоятка – из термостойкого пластика с золотистым наконечником.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка температуры </li>
<li>5 предустановленных температурных режимов</li>
<li>Функция поддержания постоянной температуры</li>
<li>LOVE: сохранение избранной настройки температуры пользователя </li>
<li>Выбор единиц индикации температуры</li>
<li>Автоматическое выключение при закипании</li>
<li>Звуковая сигнализация для оповещения о достижении заданной температуры</li>
<li>Цифровая индикация актуальной и заданной температуры в градусах Цельсия или Фаренгейта</li>
<li>Светодиодные индикаторы нагрева и питания</li>
<li>Запатентованная система непрерывного излива под прямым углом </li>
<li>Инновационная система герметичной фиксации крышки</li>
<li>Продуманная конструкция рукоятки для предотвращения ожогов</li>
<li>Термоизолированнае рукоятки</li>
<li>Устойчивая нескользящая база</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон температуры окружающей среды: от -10 до 50 °С</li>
<li>Шаг регулировки температуры: 1 °С</li>
<li>Диапазон предустановленной температуры: 40 / 80 / 88 / 92 / 100 °С </li>
</ul>",343034,220 В,1.2 кВт,190 мм,145 мм,300 мм,,0,https://entero.ru/manuals/411843/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ZeroHero%20600%20%D0%BC%D0%BB%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,21197,,Китай,Китай,600 л,белый,нерж. сталь
https://cdn.entero.ru/mp@2x/be/9b/be9b82fed23312ff58086161b3a53ccb.jpg;https://cdn.entero.ru/mp@2x/5b/59/5b5996fca2a7a12105856d9b195cc4ac.jpg;https://cdn.entero.ru/mp@2x/dd/8f/dd8f141bded485ff577d9035bb656ba9.jpg;https://cdn.entero.ru/mp@2x/aa/ec/aaec9c9937bf7bbbce1dafb65a0a6510.jpg;https://cdn.entero.ru/mp@2x/6c/eb/6cebbdb5a9a4f5dfd6c53ed667632a1e.jpg;https://cdn.entero.ru/mp@2x/a8/e6/a8e66230982a922dc83324e9e22857f8.jpg;https://cdn.entero.ru/mp@2x/98/d8/98d8b7860448621affc14dc14f4ba7a3.jpg;https://cdn.entero.ru/mp@2x/3f/65/3f65007fbb99ed705614cf2d383ee3fb.jpg,Чайник электрический для пуровера ZeroHero WUMING E-Kettle 600 мл с контролем температуры черный,asch005,19713,RUB,Да,,Кофеварки и кофемашины,Чайники для кофе,https://entero.ru/item/343053,"<p>Электрический чайник <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/343053""><b class=""b"">ZeroHero WUMING E-Kettle</b></a> предназначен для заваривания кофе методом пуровер в кофейнях, отелях, офисах и домашних условиях. Модель оснащена тонким изящным носиком, удобной рукояткой, крышкой с 3 паровыми отверстиями, прямоугольной подставкой с функциональной нажимной клавишей на торце, сенсорной панелью управления и 2 цифровыми дисплеями с белой подсветкой индикации. Корпус выполнен из безопасной для пищевой промышленности нержавеющей стали марки SUS304 с черным матовым тефлоновым покрытием, рукоятка – из термостойкого пластика с золотистым наконечником.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка температуры</li>
<li>5 предустановленных температурных режимов</li>
<li>Функция поддержания постоянной температуры</li>
<li>LOVE: сохранение избранной настройки температуры пользователя</li>
<li>Выбор единиц индикации температуры</li>
<li>Автоматическое выключение при закипании</li>
<li>Звуковая сигнализация для оповещения о достижении заданной температуры</li>
<li>Цифровая индикация актуальной и заданной температуры в градусах Цельсия или Фаренгейта</li>
<li>Светодиодные индикаторы нагрева и питания</li>
<li>Запатентованная система непрерывного излива под прямым углом</li>
<li>Инновационная система герметичной фиксации крышки</li>
<li>Продуманная конструкция рукоятки для предотвращения ожогов</li>
<li>Термоизолированные рукоятки</li>
<li>Устойчивая нескользящая база</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон температуры окружающей среды: от -10 до 50 °С</li>
<li>Шаг регулировки температуры: 1 °С</li>
<li>Диапазон предустановленной температуры: 40 / 80 / 88 / 92 / 100 °С</li>
</ul>",343053,220 В,1.2 кВт,190 мм,145 мм,300 мм,,0,https://entero.ru/manuals/411842/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ZeroHero%20600%20%D0%BC%D0%BB%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,20534,,Китай,Китай,600 л,черный,нерж. сталь
https://cdn.entero.ru/mp@2x/ce/03/ce0313aa827bd76b73bb954ae451bf79.jpg,Чайник электрический для пуровера ZeroHero WUMING E-Kettle Pro 900 мл с контролем температуры кремовый,Asch043,20765,RUB,Да,,Кофеварки и кофемашины,Чайники для кофе,https://entero.ru/item/377311,"<p>Электрический чайник <a style=""text-decoration:none;cursor:text;"" href=""http://m.entero.ru/item/377311""><b class=""b"">ZeroHero WUMING E-Kettle Pro</b></a> предназначен для заваривания кофе методом пуровер в кофейнях, отелях, офисах и домашних условиях. Модель оснащена тонким изящным носиком, удобной рукояткой, крышкой с 3 паровыми отверстиями, прямоугольной подставкой с функциональной нажимной клавишей на торце, сенсорной панелью управления и 2 цифровыми дисплеями с белой подсветкой индикации. Корпус выполнен из безопасной для пищевой промышленности нержавеющей стали марки SUS304 с матовым тефлоновым покрытием кремового оттенка, рукоятка – из термостойкого пластика с золотистым наконечником.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Высокоточный электронный термостат UK Strix с чувствительным датчиком тепературы</li>
<li>Регулировка температуры</li>
<li>5 предустановленных температурных режимов</li>
<li>Функция поддержания постоянной температуры</li>
<li>Автоматическое сохранение в памяти последней настройки температуры</li>
<li>LOVE: сохранение избранной настройки температуры пользователя</li>
<li>Выбор единиц индикации температуры</li>
<li>Автоматическое выключение при закипании</li>
<li>Звуковая сигнализация для оповещения о достижении заданной температуры</li>
<li>Цифровая индикация актуальной и заданной температуры в градусах Цельсия или Фаренгейта</li>
<li>Светодиодные индикаторы нагрева и питания</li>
<li>Простое управление</li>
<li>Запатентованная система непрерывного излива под прямым углом</li>
<li>Инновационная система герметичной фиксации крышки</li>
<li>Продуманная конструкция рукоятки для предотвращения ожогов</li>
<li>Термоизолированные рукоятки</li>
<li>Устойчивая нескользящая база</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон температуры окружающей среды: от -10 до 50 °С</li>
<li>Шаг регулировки температуры: 1 °С</li>
<li>Диапазон предустановленной температуры: 40 / 80 / 88 / 92 / 100 °С</li>
</ul>",377311,220 В,1.3 кВт,145 мм,300 мм,210 мм,1.63 кг,0,https://entero.ru/manuals/519697/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ZeroHero%20WUMING%20E-Kettle%20600%20%D0%BC%D0%BB.pdf,,,Китай,Китай,0.9 л,кремовый,нерж. сталь
https://cdn.entero.ru/mp@2x/20/42/2042c2b4e41fc4ccde215739fb470855.jpg;https://cdn.entero.ru/mp@2x/b6/be/b6bea6714be607b69cefbe8f60778b52.jpg;https://cdn.entero.ru/mp@2x/7e/67/7e6713e7f2cfa5af6ff801904a88a30d.jpg,Чайник электрический для пуровера ZeroHero WUMING E-Kettle Pro 900 мл с контролем температуры черный,Asch042,20765,RUB,Да,,Кофеварки и кофемашины,Чайники для кофе,https://entero.ru/item/377312,"<p>Электрический чайник <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/377312""><b class=""b"">ZeroHero WUMING E-Kettle Pro</b></a> предназначен для заваривания кофе методом пуровер в кофейнях, отелях, офисах и домашних условиях. Модель оснащена тонким изящным носиком, удобной рукояткой, крышкой с 3 паровыми отверстиями, прямоугольной подставкой с функциональной нажимной клавишей на торце, сенсорной панелью управления и 2 цифровыми дисплеями с белой подсветкой индикации. Корпус выполнен из безопасной для пищевой промышленности нержавеющей стали марки SUS304 матовым тефлоновым покрытием черного цвета, рукоятка – из термостойкого пластика с золотистым наконечником.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Высокоточный электронный термостат UK Strix с чувствительным датчиком тепературы</li>
<li>Регулировка температуры</li>
<li>5 предустановленных температурных режимов</li>
<li>Функция поддержания постоянной температуры</li>
<li>Автоматическое сохранение в памяти последней настройки температуры</li>
<li>LOVE: сохранение избранной настройки температуры пользователя</li>
<li>Выбор единиц индикации температуры</li>
<li>Автоматическое выключение при закипании</li>
<li>Звуковая сигнализация для оповещения о достижении заданной температуры</li>
<li>Цифровая индикация актуальной и заданной температуры в градусах Цельсия или Фаренгейта</li>
<li>Светодиодные индикаторы нагрева и питания</li>
<li>Простое управление</li>
<li>Запатентованная система непрерывного излива под прямым углом</li>
<li>Инновационная система герметичной фиксации крышки</li>
<li>Продуманная конструкция рукоятки для предотвращения ожогов</li>
<li>Термоизолированные рукоятки</li>
<li>Устойчивая нескользящая база</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон температуры окружающей среды: от -10 до 50 °С</li>
<li>Шаг регулировки температуры: 1 °С</li>
<li>Диапазон предустановленной температуры: 40 / 80 / 88 / 92 / 100 °С</li>
</ul>",377312,220 В,2.3 кВт,145 мм,300 мм,210 мм,1.63 кг,0,https://entero.ru/manuals/519698/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ZeroHero%20WUMING%20E-Kettle%20600%20%D0%BC%D0%BB.pdf,,,Китай,Китай,0.9 л,черный,нерж. сталь
https://cdn.entero.ru/mp@2x/dc/a3/dca3f3e093c158cf8369c6923b3b7ff4.jpg,Чайник электрический для кофе DAZHENG LYM590W,Чайник электрический для кофе DAZHENG LYM590W,0,RUB,Нет,,Кофеварки и кофемашины,Чайники для кофе,https://entero.ru/item/226497,"<p>Электрический чайник <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/226497""><b class=""b"">DAZHENG LYM590W </b></a>предназначен для заваривания кофе в кофейнях, отелях, офисах, частных домах и квартирах. Модель оснащена датчиком температуры. </p>",226497,,от 0.35 до 1.35 кВт,,,,,0,,,,,Китай,0.8 л,золотой,
