Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Страна производства,Остаток,Старая цена,Объем,Материал,Количество чашек,Внутренне покрытие
https://cdn.entero.ru/mp@2x/54/57/5457f88649def3cb47bc90ce4df7423b.jpg;https://cdn.entero.ru/mp@2x/c2/e1/c2e12f7fc683316eaf684ef5aca7df1b.jpg;https://cdn.entero.ru/mp@2x/21/f5/21f5a0a9678db8791e7a8bb483f2ce39.jpg;https://cdn.entero.ru/mp@2x/b1/a8/b1a8544c3eb8eff9851b03fb5ba4c200.jpg;https://cdn.entero.ru/mp@2x/35/ac/35aca125d52cb1bbd443bed601399675.jpg;https://cdn.entero.ru/mp@2x/8b/7e/8b7e41952f1f97be319632c528f1902b.jpg;https://cdn.entero.ru/mp@2x/df/e7/dfe72da6857cdcd9df93c1b7b397e6dc.jpg;https://cdn.entero.ru/mp@2x/4a/5d/4a5dbf3586d3f738f440a971da4f5931.jpg,Джезва SOY C2G Egoist,Турка SOY C2G Egoist,16351,RUB,Да,,Кофеварки и кофемашины,Джезвы,https://entero.ru/item/122171,"<p>Джезва <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122171""><b class=""b"">SOY С2G Egoist</b></a> используется для приготовления заварного кофе на газовых и электрических плитах, портативных горелках, песке или углях в кафе, ресторанах, квартирах и частных домах. Изделие оснащено расположенной под углом литой ручкой и носиком. Бесшовная кованная емкость выполнена из листа меди толщиной 1,5 мм, ручка - из бронзы, клепки крепления ручки - из меди.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плоское широкое дно придает устойчивость и обеспечивает равномерное нагревание</li>
<li>Коническая форма изделия способствует быстрому оседанию кофейной гущи</li>
<li>Узкое горлышко способствует образованию плотного слоя пены</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр горлышка: 50 мм</li>
<li>Размеры:
<ul>
<li>Без ручки: 60х60х75 мм</li>
<li>С ручкой: 60х180х120 мм</li>
</ul>
</li>
<li>Вес: 200 г</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! Товар имеет пожизненную гарантию при регистрации в системе на www.soy.com.tr .</span></em></p>",122171,60 мм,180 мм,120 мм,200 кг,Турция,0,,140 мл,Медь,1.5,Серебро
https://cdn.entero.ru/mp@2x/83/c3/83c360009e8c41a33079ea81541018c6.jpg;https://cdn.entero.ru/mp@2x/f5/50/f5508ae4c190640f0b6484ad9e81d64e.jpg;https://cdn.entero.ru/mp@2x/eb/10/eb10e7eb3b324693e2d60c372d1eb658.jpg,Джезва JOHNY NO 2 AK 8 -22,Джезва JOHNY NO 2 AK 8 -22,5492,RUB,Да,JOHNY,Кофеварки и кофемашины,Джезвы,https://entero.ru/item/267876,"<p>Джезва <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/267876"">JOHNY NO 2 AK 8 -22</a> </b>используется для приготовления кофе на песке. Турка выполнена из меди, что дает самый равномерный и качественный нагрев.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры: 160x55x130 мм</li>
<li>Размеры с упаковкой: 161x56x131 мм</li>
<li>Вес: 0,2 кг</li>
</ul>",267876,160 мм,55 мм,130 мм,,Греция,0,6698,100 мл,Медь,,Олово
https://cdn.entero.ru/mp@2x/93/47/9347c83fdf3768db7e4ee2cfa628be43.jpg;https://cdn.entero.ru/mp@2x/2e/2f/2e2f0fcb0b4cd1a696d300266ac67c7a.jpg;https://cdn.entero.ru/mp@2x/e7/72/e7720a28d99f236099fa2333984da052.jpg;https://cdn.entero.ru/mp@2x/80/a7/80a7514d442486b0c26e6b3deac17dda.jpg;https://cdn.entero.ru/mp@2x/fe/6c/fe6cab990d9275fe375a904421034c44.jpg;https://cdn.entero.ru/mp@2x/9f/9c/9f9c37915855b26e7577a3b649f2279d.jpg;https://cdn.entero.ru/mp@2x/70/d8/70d8402f3e3ca81369fe3e7910502e3f.jpg;https://cdn.entero.ru/mp@2x/8a/28/8a28eb0d40707e661421c72849b29426.jpg;https://cdn.entero.ru/mp@2x/37/05/3705779ac25b95323f37cd71afaeab83.jpg;https://cdn.entero.ru/mp@2x/9a/36/9a36e1fc67250eb8ffecc611752eeca5.jpg;https://cdn.entero.ru/mp@2x/49/81/4981998653de5233393d9ca9e3292bb4.jpg,Джезва SOY C3G Romantic,Турка Soy C3G Romantic,15210,RUB,Да,,Кофеварки и кофемашины,Джезвы,https://entero.ru/item/122168,"<p>Джезва <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122168""><b class=""b"">SOY С3G Family</b></a> используется для приготовления заварного кофе на газовых и электрических плитах, портативных горелках, песке или углях в кафе, ресторанах, квартирах и частных домах. Изделие оснащено расположенной под углом литой ручкой и носиком. Бесшовная кованная емкость выполнена из листа меди толщиной 1,5 мм, ручка - из бронзы, клепки крепления ручки - из меди.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плоское широкое дно придает устойчивость и обеспечивает равномерное нагревание</li>
<li>Коническая форма изделия способствует быстрому оседанию кофейной гущи</li>
<li>Узкое горлышко способствует образованию плотного слоя пены</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр горлышка: 60 мм</li>
<li>Размеры:
<ul>
<li>Без ручки: 70х70х85 мм</li>
<li>С ручкой: 70х200х135 мм</li>
</ul>
</li>
<li>Вес: 350 г</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! Товар имеет пожизненную гарантию при регистрации в системе на www.soy.com.tr .</span></em></p>",122168,,,,,Турция,0,16011,200 мл,Медь,2,Серебро
https://cdn.entero.ru/mp@2x/1d/0c/1d0cd0b1a94fcd486adb2a9c42922ca9.jpg;https://cdn.entero.ru/mp@2x/36/21/36216da9146fb2e8e6027d0e1fbcf997.jpg;https://cdn.entero.ru/mp@2x/16/94/1694c5e7d236cc9e28fea5278df1c99b.jpg;https://cdn.entero.ru/mp@2x/12/bf/12bfb8655c551fb917aca92597d190ed.jpg;https://cdn.entero.ru/mp@2x/03/3d/033dcf12fada61dc6178d175ef255c2f.jpg;https://cdn.entero.ru/mp@2x/cc/84/cc84017f9b6525374230ebfca48bc6f3.jpg;https://cdn.entero.ru/mp@2x/fb/d6/fbd62c8c14daa11d1bd0375b9d7efa24.jpg,Джезва SOY C4G Family,Турка SOY C4G Family,17005,RUB,Да,,Кофеварки и кофемашины,Джезвы,https://entero.ru/item/122172,"<p>Джезва <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122172""><b class=""b"">SOY С4G Family</b></a> используется для приготовления заварного кофе на газовых и электрических плитах, портативных горелках, песке или углях в кафе, ресторанах, квартирах и частных домах. Изделие оснащено расположенной под углом литой ручкой и носиком. Бесшовная кованная емкость выполнена из листа меди толщиной 1,5 мм, ручка - из бронзы, клепки крепления ручки - из меди.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плоское широкое дно придает устойчивость и обеспечивает равномерное нагревание</li>
<li>Коническая форма изделия способствует быстрому оседанию кофейной гущи</li>
<li>Узкое горлышко способствует образованию плотного слоя пены</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вес: 510 гр</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! Товар имеет пожизненную гарантию при регистрации в системе на www.soy.com.tr .</span></em></p>",122172,85 мм,210 мм,160 мм,0.51 кг,Турция,0,17900,440 мл,Медь,,Серебро
https://cdn.entero.ru/mp@2x/0f/97/0f970ae0cdc426e6397b3f69b4483859.jpg;https://cdn.entero.ru/mp@2x/65/6b/656b23335fdd617ad4ae3ac5f4d1fe15.jpg;https://cdn.entero.ru/mp@2x/4d/f7/4df7672c5c2cde13c5266269c9a3bf48.jpg,Джезва SOY C1GL,Джезва SOY C1GL,0,RUB,Нет,,Кофеварки и кофемашины,Джезвы,https://entero.ru/item/212470,"<p>Джезва <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/212470""><b class=""b"">SOY С1GL</b></a> используется для приготовления заварного кофе на газовых и электрических плитах, портативных горелках, песке или углях в кафе, ресторанах, квартирах и частных домах. Изделие оснащено расположенной под углом литой ручкой и носиком. Бесшовная кованная емкость выполнена из листа меди толщиной 1,5 мм, ручка - из бронзы, клепки крепления ручки - из меди.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плоское широкое дно придает устойчивость и обеспечивает равномерное нагревание</li>
<li>Коническая форма изделия способствует быстрому оседанию кофейной гущи</li>
<li>Узкое горлышко способствует образованию плотного слоя пены</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! Товар имеет пожизненную гарантию при регистрации в системе на www.soy.com.tr .</span></em></p>",212470,,,,,Турция,0,,85 мл,Медь,1,Серебро
https://cdn.entero.ru/mp@2x/5f/0a/5f0ac7ac36fe5a0557373951aa94d9b8.jpg;https://cdn.entero.ru/mp@2x/f2/6e/f26e9026de8db747e18b3b1a13b018b8.jpg;https://cdn.entero.ru/mp@2x/ba/27/ba273c2176c941b272a78eb990b858ed.jpg,Джезва SOY C3GL,Джезва SOY C3GL,0,RUB,Нет,,Кофеварки и кофемашины,Джезвы,https://entero.ru/item/212489,"<p>Джезва <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/212489""><b class=""b"">SOY С3GL</b></a> используется для приготовления заварного кофе на газовых и электрических плитах, портативных горелках, песке или углях в кафе, ресторанах, квартирах и частных домах. Изделие оснащено расположенной под углом литой ручкой и носиком. Бесшовная кованная емкость выполнена из листа меди толщиной 1,5 мм, ручка - из бронзы, клепки крепления ручки - из меди.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плоское широкое дно придает устойчивость и обеспечивает равномерное нагревание</li>
<li>Коническая форма изделия способствует быстрому оседанию кофейной гущи</li>
<li>Узкое горлышко способствует образованию плотного слоя пены</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! Товар имеет пожизненную гарантию при регистрации в системе на www.soy.com.tr .</span></em></p>",212489,,,,,Турция,0,,225 мл,Медь,1,Серебро
https://cdn.entero.ru/mp@2x/74/5e/745eff8c8361d3bc74c855c4f1d1f664.jpg;https://cdn.entero.ru/mp@2x/ff/b5/ffb597294044ee2726ac22d3f4c448a4.jpg;https://cdn.entero.ru/mp@2x/03/c1/03c1ea25d8cf98e2842b9d16778d684c.jpg,Джезва SOY C4GL,Джезва SOY C4GL,0,RUB,Нет,,Кофеварки и кофемашины,Джезвы,https://entero.ru/item/212491,"<p>Джезва <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/212491""><b class=""b"">SOY С4GL</b></a> используется для приготовления заварного кофе на газовых и электрических плитах, портативных горелках, песке или углях в кафе, ресторанах, квартирах и частных домах. Изделие оснащено расположенной под углом литой ручкой и носиком. Бесшовная кованная емкость выполнена из листа меди толщиной 1,5 мм, ручка - из бронзы, клепки крепления ручки - из меди.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плоское широкое дно придает устойчивость и обеспечивает равномерное нагревание</li>
<li>Коническая форма изделия способствует быстрому оседанию кофейной гущи</li>
<li>Узкое горлышко способствует образованию плотного слоя пены</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! Товар имеет пожизненную гарантию при регистрации в системе на www.soy.com.tr .</span></em></p>",212491,,,,,Турция,0,,440 мл,Медь,1,Серебро
https://cdn.entero.ru/mp@2x/ec/8e/ec8e86d524f318b0b1523a3846f419d8.jpg;https://cdn.entero.ru/mp@2x/d3/dc/d3dcd0aa82f325f43eb82d3a2b348992.jpg;https://cdn.entero.ru/mp@2x/b6/36/b63687dfab17fbc9c46e16a4027a9d16.jpg;https://cdn.entero.ru/mp@2x/fe/c7/fec7aa0dca439e399ad535d4d8608d50.jpg;https://cdn.entero.ru/mp@2x/66/62/6662a45c44989334f39610e844ddd276.jpg;https://cdn.entero.ru/mp@2x/c0/2d/c02dfb2e3afdef520a8d6ed0de78d0c4.jpg;https://cdn.entero.ru/mp@2x/f4/5e/f45e12645b3388827908b404fe3106b4.jpg;https://cdn.entero.ru/mp@2x/db/d7/dbd734529f2274c8e532b16287fcb37c.jpg;https://cdn.entero.ru/mp@2x/55/15/5515c55dff41ff2e001539fdfb3223e6.jpg;https://cdn.entero.ru/mp@2x/56/aa/56aa97f406a900836179bf37d8673ae3.jpg;https://cdn.entero.ru/mp@2x/c2/1b/c21b276fad5bfd66a7cb8cebd223b282.jpg,Джезва SOY C1G Classic,Турка SOY C1G Classic,0,RUB,Нет,,Кофеварки и кофемашины,Джезвы,https://entero.ru/item/122169,"<p>Джезва <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122169""><b class=""b"">SOY С1G Classic</b></a> используется для приготовления заварного кофе на газовых и электрических плитах, портативных горелках, песке или углях в кафе, ресторанах, квартирах и частных домах. Изделие оснащено расположенной под углом литой ручкой и носиком. Бесшовная кованная емкость выполнена из листа меди толщиной 1,5 мм, ручка - из бронзы, клепки крепления ручки - из меди.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плоское широкое дно придает устойчивость и обеспечивает равномерное нагревание</li>
<li>Коническая форма изделия способствует быстрому оседанию кофейной гущи</li>
<li>Узкое горлышко способствует образованию плотного слоя пены</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр горлышка: 40 мм</li>
<li>Размеры:
<ul>
<li>Без ручки: 50х50х65 мм</li>
<li>С ручкой: 50х200х135 мм</li>
</ul>
</li>
<li>Вес: 150 г</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! Товар имеет пожизненную гарантию при регистрации в системе на www.soy.com.tr .</span></em></p>",122169,,,,,Турция,0,,80 мл,Медь,1,Серебро
https://cdn.entero.ru/mp@2x/08/e6/08e6019443db292f1e27b99851feffc7.jpg,Джезва JOHNY AK/8-21,Джезва JOHNY AK/8-21,5053,RUB,Нет,JOHNY,Кофеварки и кофемашины,Джезвы,https://entero.ru/item/267685,"<p>Джезва <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/267685"">JOHNY AK/8-21</a></b> используется для приготовления заварного кофе в кафе, ресторанах, квартирах и частных домах. Изделие оснащено расположенной под углом литой ручкой. Емкость выполнена из листа меди толщиной 0,8 мм.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты без ручки: 60х60х83 мм</li>
<li>Длина ручки: 110 мм</li>
</ul>",267685,,,,,Греция,0,,160 мл,Медь,2,
