Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Страна производства,Остаток,Файлы,Старая цена,Вес (без упаковки),Установка,Вместимость бутылок
https://cdn.entero.ru/mp@2x/9f/e6/9fe66194fd69bb28215204bf3a15584f.jpg,Сиропная станция Jetinno для JL35,Сиропная станция Jetinno для JL35,108100,RUB,Нет,Jetinno,Кофеварки и кофемашины,Сиропные станции,https://entero.ru/item/365484,"<p>Сиропная станция <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/365484""><b class=""b"">Jetinno</b></a> используется совместно с кофемашинами серии <a href=""https://entero.ru/search.php?text=Jetinno%20JL35&cid=78"" target=""_blank"">JL35</a> на предприятиях общественного питания и торговли, в офисах и отелях для хранения сиропов, используемых для приготовления кофейных напитков. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматический диспенсер</li>
<li>Настраиваемая дозировка для точного контроля</li>
<li>Система поддержания температуры сиропов: сохранение вкусовых качеств и консистенции</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 6 бут.х 0,5 л</li>
</ul>",365484,,,260 мм,426 мм,600 мм,Китай,0,https://entero.ru/manuals/476200/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Jetinno%202025%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,112604,,,6 шт.
https://cdn.entero.ru/mp@2x/84/eb/84eb3f21db182bb2561cbd410ead60cd.jpg;https://cdn.entero.ru/mp@2x/59/9d/599d65a278de61947077616ebd4b0ec0.jpg;https://cdn.entero.ru/mp@2x/29/65/29650b20d9636056803cc88dd0a867d4.jpg;https://cdn.entero.ru/mp@2x/d5/65/d56504ad2ac87bc84e6371c3882d6fb3.jpg;https://cdn.entero.ru/mp@2x/43/68/4368bbaca7dda711548e08ca635eec4f.jpg;https://cdn.entero.ru/mp@2x/4b/fa/4bfae2c28aa0351223f87b36913e4746.jpg,Сиропная станция Franke FS3 черная,FS3 СЕРИИ «А»,546236,RUB,Нет,Franke,Кофеварки и кофемашины,Сиропные станции,https://entero.ru/item/127872,"<p>Сиропная станция <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127872""><b class=""b"">Franke FS3</b></a> используется совместно с кофемашинами и кофеварками на предприятиях общественного питания и торговли, в офисах и отелях для хранения сиропов, используемых для приготовления кофейных напитков. Модель вмещает в себя до 3 бутылок объемом 1 литр. Станция предназначена для установки с правой стороны от кофемашины.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: черный</li>
</ul>",127872,220 В,0.075 кВт,200 мм,453 мм,586 мм,Швейцария,0,https://entero.ru/manuals/140424/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Franke%20FS3.jpg,,17 кг,справа от кофемашины,3 шт.
https://cdn.entero.ru/mp@2x/78/fc/78fc0952dfa3ef203a154c6784d67e39.jpg;https://cdn.entero.ru/mp@2x/89/f1/89f129ca1ee67702d1001778884d092b.jpg;https://cdn.entero.ru/mp@2x/1c/86/1c86bd804f7b3979c9d45f2174240a9b.jpg;https://cdn.entero.ru/mp@2x/97/dd/97dd3aec9040df3849f0637469042838.jpg,Сиропная станция Franke FS3 антрацит,Сиропная станция Franke FS3 антрацит,546236,RUB,Нет,Franke,Кофеварки и кофемашины,Сиропные станции,https://entero.ru/item/127873,"<p>Сиропная станция <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127873""><b class=""b"">Franke FS3</b></a> используется совместно с кофемашинами и кофеварками на предприятиях общественного питания и торговли, в офисах и отелях для хранения сиропов, используемых для приготовления кофейных напитков. Модель вмещает в себя до 3 бутылок объемом 1 литр. Станция предназначена для установки с правой стороны от кофемашины.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: антрацит</li>
</ul>",127873,220 В,0.075 кВт,200 мм,453 мм,586 мм,Швейцария,0,https://entero.ru/manuals/140425/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Franke%20FS3.jpg,587351,17 кг,справа от кофемашины,3 шт.
