Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Тип,Страна производства,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Объем,Вес (с упаковкой),Вид,Кратность заказа
https://cdn.entero.ru/mp@2x/f3/90/f390bf01b2e04496788638da859c67a2.jpg,"Средство для декальцинации DrPurity Decalcer, 1 кг","Средство для декальцинации DrPurity Decalcer, 1 кг",1248,RUB,Да,,Кофеварки и кофемашины,Средства для очистки кофемашин,https://entero.ru/item/122329,"<p>Средство для декальцинации <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122329""><b class=""b"">DrPurity Decalcer</b></a> используется совместно с автоматическими и традиционными рожковыми кофемашинами для очистки бойлера и нагревательных элементов от застарелых известковых отложений и накипи. Концентрированное средство в виде гранулированного порошка не имеет запаха, защищает машину от коррозии и позволяет продлить срок ее эксплуатации.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Состав: Сульфаминовая кислота, лимонная кислота и активные вещества</li>
<li>Рекомендуемое количество для очистки: 20 гр на 1 л горячей воды</li>
<li>Условия хранения:
<ul>
<li>Температура: от 5 до 35 °С</li>
<li>Влажность: 80%</li>
</ul>
</li>
<li>Срок годности: 24 месяца</li>
</ul>",122329,средства для декальцинации,Россия,0,,,,1 кг,,,порошок,8 шт.
https://cdn.entero.ru/mp@2x/2a/d0/2ad0f8ef818c45efa1fcb8fd784b33c9.jpg,Cредство порошковое для декальцинации KAFFIT COM KFT-D22 pack (5 шт х 20гр),Cредство порошковое для декальцинации KAFFIT COM KFT-D22 pack (5 шт х 20гр),1462,RUB,Да,,Кофеварки и кофемашины,Средства для очистки кофемашин,https://entero.ru/item/260128,"<p>Порошковое средство для декальцинации <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/260128""><b class=""b"">Kaffit.com KFT-D22 pack </b></a>предназначено для очистки нагревательных элементов кофемашин и кофеварок от кальциевых отложений и накипи. </p>

<p>Для достижения лучшего результата очистки рекомендуемая температура раствора должна быть ≥40°С</p>

<p><b>Состав:</b></p>

<ul>
<li>Аминосульфоновая кислота</li>
<li>Лимонная кислота</li>
<li>Ингибитор солеотложений</li>
</ul>",260128,средства для декальцинации,Россия,0,,,,0.1 кг,,,порошок,
https://cdn.entero.ru/mp@2x/69/db/69db11652a0cef52b515662fa8cb64c8.jpg;https://cdn.entero.ru/mp@2x/03/a7/03a7677e5452427cfae9eb722798383c.jpg,Средство для очистки ростера Barista Line RS8 5000 мл,Средство для очистки ростера Barista Line RS8 5000 мл,5213,RUB,Да,,Кофеварки и кофемашины,Средства для очистки кофемашин,https://entero.ru/item/358791,"<p>Жидкое средство <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/358791""><b class=""b"">Barista Line RS8</b></a> используется не предприятиях общественного питания и торговли, а также в бытовых условиях для эффективной очистки поверхностей ростеров от нагара, масляных отложений и сложных загрязнений. Жидкость поставляется в канистре с ручкой и завинчивающейся крышкой.</p>

<p>В комплект поставки входит бутыль с пульверизатором для удобного дозирования в форме спрея</p>

<p><span style=""color:#FF0000;"">Цена указана за 1 шт.</span></p>",358791,,Россия,0,,6436,,,5 л,,жидкость,8 шт.
https://cdn.entero.ru/mp@2x/dc/70/dc704c2364e63e6f254c7e874975f659.jpg,Средство для удаления кофейных масел DrPurity Coffee Washer TABS 15,Средство для удаления кофейных масел DrPurity Coffee Washer TABS 15,275,RUB,Да,,Кофеварки и кофемашины,Средства для очистки кофемашин,https://entero.ru/item/124865,"<p>Средство для удаления кофейных масел <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/124865""><b class=""b"">DrPurity Coffee Washer TABS 15 </b></a>используется совместно с автоматическими и традиционными рожковыми кофемашинами для удаления кофейного налета и неприятного запаха в раздаточных группах, на клапанах и в кофейных системах. Концентрированное средство в виде таблеток не имеет запаха, отлично растворяется и обеспечивает свежесть и вкус кофейных напитков.</p>

<p><b>Характеристики: </b></p>

<ul>
<li>Состав: триполифосфат натрия, пирофосфат тетранатрия и перкарбонат натрия</li>
<li>Количество таблеток в банке: 15</li>
<li>Вес 1 таблетки: 2 гр</li>
<li>Условия хранения:
<ul>
<li>Температура: от 5 до 35 °С</li>
<li>Влажность: 80%</li>
</ul>
</li>
<li>Размер экспресс-упаковки: 155x105 мм</li>
<li>Вес: 0,03 кг</li>
<li>Срок годности: 60 месяцев</li>
</ul>",124865,средства для удаления кофейных масел,Россия,0,,,,"0,03 кг кг",,,таблетки,24 шт.
https://cdn.entero.ru/mp@2x/36/3c/363ce2e402881995206460a5d8b873c9.jpg,"Таблетки для удаления кофейных масел CUP 5х2 гр. (10 шт.), блистер","Таблетки для удаления кофейных масел CUP 5х2 гр. (10 шт.), блистер",306,RUB,Да,,Кофеварки и кофемашины,Средства для очистки кофемашин,https://entero.ru/item/306737,"<p>Таблетки для удаления кофейных масел <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/306737""><b class=""b"">Cup 5</b></a> предназначены для очистки автоматических и профессиональных кофемашин от налета, запаха, остатков кофе и масла. Состав средства: смесь карбонатов, органических кислот, комплексообразователь и отбеливающий агент на основе кислорода.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество таблеток: 10</li>
<li>Расход средства: 1 таблетка на 1 процедуру</li>
<li>Срок хранения: 18 мес.</li>
</ul>",306737,средства для удаления кофейных масел,Россия,0,,,,,,,таблетки,1 шт.
https://cdn.entero.ru/mp@2x/9a/e6/9ae63386094553a50eb821b35efaa300.jpg;https://cdn.entero.ru/mp@2x/46/c8/46c8d47069aff024370230a0dfb3c580.jpg;https://cdn.entero.ru/mp@2x/8c/eb/8cebeb27d2c75d416f334f5a734bfb07.jpg,Спрей против жира и сложных загрязнений Barista Line S1 500 мл,Спрей против жира и сложных загрязнений Barista Line S1 500 мл,340,RUB,Да,,Кофеварки и кофемашины,Средства для очистки кофемашин,https://entero.ru/item/358788,"<p>Жидкое средство <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/358788""><b class=""b"">Barista Line S9</b></a> используется не предприятиях общественного питания и торговли, а также в бытовых условиях для очистки различных поверхностей из металла, керамики и стекла. Благодаря активным компонентам средство быстро и эффективно удаляет жир, застывшие пятна и сложные загрязнеия на кухонных плитах, посуде, мойках и вытяжках, не оставляя разводов. Жидкость поставляется в бутыли с пульверизатором для удобного дозирования в форме спрея.</p>

<p><span style=""color:#FF0000;"">Цена указана за 1 шт.</span></p>",358788,,Россия,0,,447,,,0.5 л,,жидкость,
https://cdn.entero.ru/mp@2x/ea/99/ea9948a4c55b10912f090ddf404495d7.jpg;https://cdn.entero.ru/mp@2x/8a/b7/8ab7ab11ea91cbc98538f31f04fe6a54.jpg;https://cdn.entero.ru/mp@2x/61/d5/61d529b75244ffafde9aadb079bed864.jpg,Спрей для рабочих поверхностей Barista Line S9 500 мл,Спрей для рабочих поверхностей Barista Line S9 500 мл,340,RUB,Да,,Кофеварки и кофемашины,Средства для очистки кофемашин,https://entero.ru/item/358789,"<p>Жидкое средство <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/358789""><b class=""b"">Barista Line S9</b></a> используется не предприятиях общественного питания и торговли, а также в бытовых условиях для очистки и придания блеска различным рабочим поверхностям из дерева, пластика и металла. Средство эффективно удаляет загрязнения, следы от пальцев, кофейные пятна и налет, не оставляя разводов. Жидкость поставляется в бутыли с пульверизатором для удобного дозирования в форме спрея.</p>

<p><span style=""color:#FF0000;"">Цена указана за 1 шт.</span></p>",358789,,Россия,0,,486,,,0.5 л,,жидкость,
https://cdn.entero.ru/mp@2x/5d/1c/5d1c178057f629fb8976f4d48dad2f70.jpg;https://cdn.entero.ru/mp@2x/d7/4e/d74edd1b92af61b146135cba46a921f7.jpg,Таблетки для очистки эспрессо-машин URNEX Cafiza 8 шт. (без упаковки),12-E31-UX-C-008,629,RUB,Да,,Кофеварки и кофемашины,Средства для очистки кофемашин,https://entero.ru/item/255740,"<p>Таблетки <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/255740""><b class=""b"">URNEX Cafiza</b></a> предназначены для очистки суперавтоматических и традиционных эспрессо-машин в частных домах и квартирах. Удаляют кофейные масла из портафильтров, заварочных групп и трубопроводов. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вес 1 таблетки: 2 г</li>
<li>Диаметр таблетки: 15 мм</li>
<li>Количество таблеток в блистере: 8</li>
</ul>",255740,средства для удаления кофейных масел,США,0,https://entero.ru/manuals/313285/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20URNEX%20Cafiza%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,777,,,,,таблетки,
https://cdn.entero.ru/mp@2x/95/a7/95a71bdfceed762b60d8bd84fe2653bd.jpg;https://cdn.entero.ru/mp@2x/34/1b/341baf4ab232151151370718dea70ffb.jpg,Таблетки для очистки эспрессо-машин URNEX Cafiza 8 шт.,14-E31-UXC08-24,833,RUB,Да,,Кофеварки и кофемашины,Средства для очистки кофемашин,https://entero.ru/item/255739,"<p>Таблетки <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/255739""><b class=""b"">URNEX Cafiza</b></a> предназначены для очистки суперавтоматических и традиционных эспрессо-машин в частных домах и квартирах. Удаляют кофейные масла из портафильтров, заварочных групп и трубопроводов. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вес 1 таблетки: 2 г</li>
<li>Диаметр таблетки: 15 мм</li>
<li>Количество таблеток в блистере: 8</li>
</ul>",255739,средства для удаления кофейных масел,США,0,https://entero.ru/manuals/313284/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20URNEX%20Cafiza%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,1054,,,,,таблетки,
https://cdn.entero.ru/mp@2x/11/98/1198f91df902e6bc9677a27e42859faf.jpg,Спрей для очистки ростера Barista Line RS8 500 мл,Спрей для очистки ростера Barista Line RS8 500 мл,833,RUB,Да,,Кофеварки и кофемашины,Средства для очистки кофемашин,https://entero.ru/item/358790,"<p>Жидкое средство <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/358790""><b class=""b"">Barista Line RS8</b></a> используется не предприятиях общественного питания и торговли, а также в бытовых условиях для эффективной очистки поверхностей ростеров от нагара, масляных отложений и сложных загрязнений. Жидкость поставляется в бутыли с пульверизатором для удобного дозирования в форме спрея.</p>

<p><span style=""color:#FF0000;"">Цена указана за 1 шт.</span></p>",358790,,Россия,0,,1157,,,0.5 л,,жидкость,
