Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Вес (без упаковки),Страна-производитель
https://cdn.entero.ru/mp@2x/06/17/0617ca19095d12d868e3194b792d5358.jpg,Анализатор влажности ADAM PMB-53,PMB 53,188871,RUB,Да,,Профоборудование,Весовое,Анализаторы влажности,https://entero.ru/item/202090,"<p>Анализатор влажности <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/202090"">ADAM PMB-53</a> </b>предназначен для определения количества влаги в исследуемом материале. Модель оснащена LCD-дисплеем с подсветкой, встроенным трехуровневым фильтром для компенсации внешних вибраций, галогеновой лампой и держателем для простой и безопасной установки и снятия чаши. Корпус выолнен из литого алюминиевого сплава, устойчивого к внешним воздействиям. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Быстрый и равномерный нагрев образца </li>
<li>Внешняя калибровка по температуре и весу </li>
<li>Методы измерения:
<ul>
<li>% влаги</li>
<li>% твердого вещества</li>
<li>ATRO влаги</li>
<li>ATRO твердого вещества </li>
</ul>
</li>
<li>Импорт / экспорт настроек и результатов с USB-накопителя </li>
<li>Сохранение данных:
<ul>
<li>Встроенная память: 99 результатов измерений / 49 настроек сушки</li>
<li>Внешний накопитель: неограниченное количество данных </li>
</ul>
</li>
<li>Двунаправленный интерфейс RS-232</li>
<li>Оптический USB для передачи данных на компьютер</li>
<li>Принтер или другие внешние устройства</li>
<li>USB для карты памяти </li>
<li>3 режима нагрева:
<ul>
<li>Стандартная сушка (поддержание постоянной температуры)</li>
<li>Линейная сушка (плавное увеличение температуры)</li>
<li>Пошаговая сушка (ступенчатое увеличение температуры) </li>
</ul>
</li>
<li>Отражающее покрытие камеры для быстрой и равномерной сушки образца</li>
<li>Стеклянный экран для бережной работы и защиты лампы от брызг</li>
<li>Простой, интуитивно понятный интерфейс </li>
</ul>

<p><b>Хара</b><b>ктеристики:</b></p>

<ul>
<li>Разогрев до 160 ⁰С: 1 мин. </li>
<li>Дискретность: 0,01 % </li>
<li>Предел взвешивания: 0,05 кг</li>
<li>Температурный диапазон: от 50 до 160 ⁰С </li>
<li>Рабочая температура: от 0 до 40 ⁰С </li>
<li>Мощность лампы: 0,4 кВт </li>
<li>Высота символов на дисплее: 24 мм </li>
<li>Размер платформы: 100 мм</li>
</ul>",202090,портативный,220 В,250 мм,360 мм,185 мм,0,,,6 кг,Великобритания
https://cdn.entero.ru/mp@2x/38/12/3812e1dfc49b94020c2a9541db998b84.jpg,Анализатор влажности ADAM PMB-163,PMB 163,204077,RUB,Да,,Профоборудование,Весовое,Анализаторы влажности,https://entero.ru/item/202139,"<p>Анализатор влажности <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/202139"">ADAM PMB-163</a> </b>предназначен для определения количества влаги в исследуемом материале. Модель оснащена LCD-дисплеем с подсветкой, встроенным трехуровневым фильтром для компенсации внешних вибраций, галогеновой лампой и держателем для простой и безопасной установки и снятия чаши. Корпус выолнен из литого алюминиевого сплава, устойчивого к внешним воздействиям. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Быстрый и равномерный нагрев образца </li>
<li>Внешняя калибровка по температуре и весу </li>
<li>Методы измерения:
<ul>
<li>% влаги</li>
<li>% твердого вещества</li>
<li>ATRO влаги</li>
<li>ATRO твердого вещества </li>
</ul>
</li>
<li>Импорт / экспорт настроек и результатов с USB-накопителя </li>
<li>Сохранение данных:
<ul>
<li>Встроенная память: 99 результатов измерений / 49 настроек сушки</li>
<li>Внешний накопитель: неограниченное количество данных </li>
</ul>
</li>
<li>Двунаправленный интерфейс RS-232</li>
<li>Оптический USB для передачи данных на компьютер</li>
<li>Принтер или другие внешние устройства</li>
<li>USB для карты памяти </li>
<li>3 режима нагрева:
<ul>
<li>Стандартная сушка (поддержание постоянной температуры)</li>
<li>Линейная сушка (плавное увеличение температуры)</li>
<li>Пошаговая сушка (ступенчатое увеличение температуры) </li>
</ul>
</li>
<li>Отражающее покрытие камеры для быстрой и равномерной сушки образца</li>
<li>Стеклянный экран для бережной работы и защиты лампы от брызг</li>
<li>Простой, интуитивно понятный интерфейс </li>
</ul>

<p><b>Хара</b><b>ктеристики:</b></p>

<ul>
<li>Разогрев до 160 ⁰С: 1 мин. </li>
<li>Дискретность: 0,01 % </li>
<li>Предел взвешивания: 0,16 кг</li>
<li>Температурный диапазон: от 50 до 160 ⁰С </li>
<li>Рабочая температура: от 0 до 40 ⁰С </li>
<li>Мощность лампы: 0,4 кВт </li>
<li>Высота символов на дисплее: 24 мм </li>
<li>Размер платформы: 100 мм</li>
</ul>",202139,портативный,220 В,250 мм,360 мм,185 мм,0,,221823,6 кг,Великобритания
https://cdn.entero.ru/mp@2x/7d/9e/7d9e9f74b5efcd2fa999461b67f6f546.jpg,Анализатор влажности ADAM PMB-202,PMB 202,168863,RUB,Да,,Профоборудование,Весовое,Анализаторы влажности,https://entero.ru/item/202151,"<p>Анализатор влажности <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/202151""><b class=""b"">ADAM PMB-202 </b></a>предназначен для определения количества влаги в исследуемом материале. Модель оснащена LCD-дисплеем с подсветкой, встроенным трехуровневым фильтром для компенсации внешних вибраций, галогеновой лампой и держателем для простой и безопасной установки и снятия чаши. Корпус выолнен из литого алюминиевого сплава, устойчивого к внешним воздействиям. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Быстрый и равномерный нагрев образца </li>
<li>Внешняя калибровка по температуре и весу </li>
<li>Методы измерения:
<ul>
<li>% влаги</li>
<li>% твердого вещества</li>
<li>ATRO влаги</li>
<li>ATRO твердого вещества </li>
</ul>
</li>
<li>Импорт / экспорт настроек и результатов с USB-накопителя </li>
<li>Сохранение данных:
<ul>
<li>Встроенная память: 99 результатов измерений / 49 настроек сушки</li>
<li>Внешний накопитель: неограниченное количество данных </li>
</ul>
</li>
<li>Двунаправленный интерфейс RS-232</li>
<li>Оптический USB для передачи данных на компьютер</li>
<li>Принтер или другие внешние устройства</li>
<li>USB для карты памяти </li>
<li>3 режима нагрева:
<ul>
<li>Стандартная сушка (поддержание постоянной температуры)</li>
<li>Линейная сушка (плавное увеличение температуры)</li>
<li>Пошаговая сушка (ступенчатое увеличение температуры) </li>
</ul>
</li>
<li>Отражающее покрытие камеры для быстрой и равномерной сушки образца</li>
<li>Стеклянный экран для бережной работы и защиты лампы от брызг</li>
<li>Простой, интуитивно понятный интерфейс </li>
</ul>

<p><b>Хара</b><b>ктеристики:</b></p>

<ul>
<li>Разогрев до 160 ⁰С: 1 мин. </li>
<li>Дискретность: 0,05 %</li>
<li>Предел взвешивания: 0,22 кг</li>
<li>Температурный диапазон: от 50 до 160 ⁰С </li>
<li>Рабочая температура: от 0 до 40 ⁰С </li>
<li>Мощность лампы: 0,4 кВт </li>
<li>Высота символов на дисплее: 24 мм </li>
<li>Размер платформы: 100 мм</li>
</ul>",202151,портативный,220 В,250 мм,360 мм,185 мм,0,,,6 кг,Великобритания
https://cdn.entero.ru/mp@2x/4b/05/4b05469ad6d03c8b5495d235179e95f1.jpg;https://cdn.entero.ru/mp@2x/2e/7c/2e7cc82e494ddad51bb615b310dd4f79.jpg,Анализатор влажности CAS CKM-20,Анализатор влажности CAS CKM-20,53915,RUB,Да,CAS,Профоборудование,Весовое,Анализаторы влажности,https://entero.ru/item/335132,"<p>Анализатор влажности <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/335132"">CAS CKM-20</a></b> предназначен для определения количества влаги в исследуемом материале. Модель оснащена ЖК-дисплеем с высоким разрешением и белой подсветкой.</p>

<p>В комплект поставки входят 2 лотка для образца, ложка с пинцетом, щетка, 4 батарейки АА, чашка для образца и отшелушиватель.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Корпус сенсорного блока из материала большой прочности и долговечности: гарантия высокой точности</li>
<li>Белая фоновая подсветка дисплея: уменьшение утомления зрения</li>
<li>Встроенный режим автоматической самодиагностики</li>
<li>Индикация остаточного заряда батареек</li>
<li>Тип измеряемого зерна: пшеница, ячмень, овес, кукуруза, рожь, подсолнечник</li>
<li>Внешняя калибровка по температуре и весу</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон измерения:
<ul>
<li>Пшеница: от 10 до 30 %</li>
<li>Ячмень: от 10 до 30 %</li>
<li>Овес: от 10 до 30 %</li>
<li>Кукуруза: от 9 до 20 %</li>
<li>Рожь: от 10 до 30 %</li>
<li>Подсолнечник: от 5 до 20 %</li>
</ul>
</li>
<li>Время измерения: 3 сек.</li>
<li>Точность: ± 0,5 % *</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Портативный термопринтер</li>
<li>Ручной датчик</li>
</ul>

<p><em>* При содержании влаги менее 20% на основании метода сушки при температуре 105°С</em></p>",335132,портативный,,,,,0,https://entero.ru/manuals/396096/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20CKM-20.pdf,57356,,Южная Корея
