Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Вместимость
https://cdn.entero.ru/mp@2x/b6/0b/b60b342198d1769a92a197949186789e.jpg;https://cdn.entero.ru/mp@2x/7e/2f/7e2fff890341183bb1d83df447a6c391.jpg,Яйцеварка Roller Grill CO 60,CO 60 яйцеварка / 101917 / Яйцеварка эл. серии CO 60,32107,RUB,Нет,Roller Grill,Профоборудование,Тепловое,Яйцеварки,https://entero.ru/item/186405,"<p>Яйцеварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/186405"">Roller Grill CO 60</a></b> предназначена для приготовления куриных яиц до выбранной степени готовности: всмятку, в мешочек, вкрутую в формате самообслуживания. Контейнер, держатели для яиц и крышка выполнены из нержавеющей стали.</p>

<p>В комплект поставки входят 6 держателей для яиц и крышка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Идеально подходит для организации завтрака в формате ""шведский стол""</li>
<li>Работает по типу мармита: нагревательный элемент, расположенный под баком, нагревает алюминиевую пластину, которая в свою очередь распределяет тепло по всему баку</li>
<li>Ограничитель температуры гарантирует безопасность работы</li>
<li>Держатели для яиц и крышка подходят для мытья в посудомоечной машине</li>
<li>Настольное исполнение</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Формат емкости: GN 1/3</li>
<li>Вместимость: 6 держателей для яиц</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>10 держателей для яиц</li>
</ul>",186405,220 В,1.2 кВт,215 мм,430 мм,255 мм,,,,0,,34156,https://vk.com/video_ext.php?oid=-177656185&id=456239701&hd=2&autoplay=0,5 кг,Франция,Франция,6 шт.
https://cdn.entero.ru/mp@2x/8d/ea/8deacbf9f289a1b1fff23c894a1865e1.jpg,Яйцеварка Vema CU 2077,Яйцеварка Vema CU 2077,73312,RUB,Нет,Vema,Профоборудование,Тепловое,Яйцеварки,https://entero.ru/item/194631,"<p>Яйцеварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/194631"">Vema CU 2077</a></b> предназначена для приготовления куриных яиц до выбранной степени готовности: всмятку, в мешочек, вкрутую в формате самообслуживания. Модель оснащена съемными емкостями и таймером от 1 до 30 мин. Корпус и нагревательный элемент выполнены из нержавеющей стали.</p>

<p>В комплект поставки входят 6 пронумерованных корзин для яиц.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный диапазон термостата: от 0 до 90 °С</li>
</ul>",194631,220 В,1.85 кВт,270 мм,360 мм,290 мм,,,,0,https://entero.ru/manuals/279558/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Vema%20CU%202077.pdf,,,6 кг,Италия,Италия,6 шт.
https://cdn.entero.ru/mp@2x/48/87/4887088443366ee6eb1a25b94aa63ea7.jpg;https://cdn.entero.ru/mp@2x/92/bb/92bb61f014ade97906afc8de246d542a.jpg;https://cdn.entero.ru/mp@2x/b7/71/b771daf0a13c145219a884baa2085c56.jpg;https://cdn.entero.ru/mp@2x/70/70/707086a773d9a78fe01fd44632877576.jpg;https://cdn.entero.ru/mp@2x/3d/ba/3dbac67eb936a34fe9b3e0921c420a9f.jpg;https://cdn.entero.ru/mp@2x/29/c0/29c028dbf2afa08b6de62e0f758d9b2b.jpg;https://cdn.entero.ru/mp@2x/51/c7/51c71fb525bcd744a3939954cf0da7b8.jpg;https://cdn.entero.ru/mp@2x/f6/2a/f62a0745d14feb8c1fe25fdbcb4f0a7a.jpg;https://cdn.entero.ru/mp@2x/1f/3b/1f3bdeb36a3554c10889e00f18c87732.jpg,Яйцеварка ATESY ЯВА-4-01,Яйцеварка ATESY ЯВА-4-01,177130,RUB,Нет,ATESY,Профоборудование,Тепловое,Яйцеварки,https://entero.ru/item/120797,"<p>Яйцеварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/120797"">ATESY ЯВА-4-01</a></b> используется на предприятиях общественного питания, торговли и гостиничного бизнеса для поштучного приготовления куриных яиц категории С0, С1 и С2 до выбранной степени готовности: всмятку, в мешочек, вкрутую в формате самообслуживания. Модель оснащена 4 механизмами с выдвижными штоками со съемными кронштейнами с корзинами - каждому механизму соответствует своя панель с необходимой программой приготовления. Все конструктивные элементы выполнены из легированной стали, декоративная полка-подставка - из натурального бука.</p>

<p>В комплект поставки входят кулинарный пинцет, набор подставок для приготовленных яиц и декоративная полка-подставка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматизация процесса варки яиц</li>
<li>Принцип действия заключается в том, что яйцо, положенное в корзину, опускается в ванну с нагретой водой автоматически после нажатия одной из 3 программ и поднимается по истечению запрограммированного времени - во время приготовления на индикаторе отображается отсчет оставшегося времени в секундах</li>
<li>3 встроенных режима приготовления: всмятку, в мешочек, вкрутую</li>
<li>Возможность программирования режимов приготовления</li>
<li>Звуковой сигнал по окончании приготовления</li>
<li>Индикация низкого уровня воды и перегрева</li>
<li>Таймер с индикацией отсчета времени</li>
<li>Конструкция изделия продумана таким образом, чтобы легко осуществлять тщательную санитарную обработку</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем: 5,2 л</li>
<li>Время приготовления:
<ul>
<li>Всмятку: 5 мин. (300 сек.)</li>
<li>В мешочек 7 мин. (420 сек.)</li>
<li>Вкрутую 11 мин. (660 сек.)</li>
</ul>
</li>
<li>Ход штока: 150 мм</li>
</ul>",120797,220 В,2 кВт,530 мм,440 мм,520 мм,27 кг,1,535x430x520 мм,0,https://entero.ru/manuals/134191/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20ATESY%20%D0%AF%D0%92%D0%90-4-01.pdf;https://entero.ru/manuals/125067/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%AF%D0%92%D0%90-4-01.pdf;https://entero.ru/manuals/125068/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/281388/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf,188436,https://vk.com/video_ext.php?oid=-177656185&id=456239607&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240149&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240172&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240072&hd=2&autoplay=0,26 кг,Россия,Россия,4 шт.
