Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Объем,Вес (с упаковкой),Материал,Цвет,С крышкой,Раздельный сбор мусора
https://cdn.entero.ru/mp@2x/a2/ea/a2eaeca57148a997d78d2dc17388ded2.jpg,Контейнер для мусора Baiyun Cleaning AF07312,Контейнер для мусора Baiyun Cleaning AF07312,4962,RUB,Нет,,Профоборудование,Нейтральное,Контейнеры для мусора,https://entero.ru/item/164306,"<p>Контейнер для мусора <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/164306""><b class=""b"">Baiyun Cleaning AF07312</b></a> предназначен для сбора, хранения и транспортировки мусора и различных пищевых отходов в офисах, на предприятиях общественного питания и торговли. Модель оснащена подпружиненной поворотной крышкой. Изделие выполнено из полипропилена, устойчивого к сколам, трещинам и вмятинам.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Съемная верхняя часть для выемки мусорного пакета</li>
<li>Небольшой вес</li>
<li>Легко очищается</li>
<li>Устойчив к воздействию моющих средств</li>
<li>Не подвержен коррозии</li>
<li>Устойчив к перепадам температуры и высокой влажности</li>
</ul>

<p> </p>",164306,410 мм,410 мм,700 мм,,,,0,,6051,,,Китай,60 л,,полипропилен,серый,Да,
https://cdn.entero.ru/mp@2x/39/75/39757b967c1d47cbd5c6d44039ef19f7.jpg,Контейнер для мусора TELKAR 40026 25 л белый,Контейнер для мусора TELKAR 40026 25 л белый,5141,RUB,Нет,,Профоборудование,Нейтральное,Контейнеры для мусора,https://entero.ru/item/364341,"<p>Контейнер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/364341""><b class=""b"">TELKAR 40026 </b></a>предназначен для раздельного сбора мусора на предприятиях общественного питания и торговли, в торговых центрах, офисах, салонах и отелях. Модель оснащена крышкой и педалью для открывания, благодаря чему руки остаются чистыми. Внутреннее съемное ведро позволяет содержать бак в чистоте. Контейнер выполнен из пластика, который отличается прочностью, надежностью и устойчивостью к механическим воздействиям.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Герметичное хранение мусора</li>
<li>Отсутствие неприятных запахов</li>
<li>Оптимальные для размещения габариты</li>
<li>Небольшой вес</li>
<li>Напольная установка</li>
<li>Простой уход</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",364341,,,,,,,0,,,,Турция,Турция,25 л,,пластик,белый,Да,Да
https://cdn.entero.ru/mp@2x/56/2e/562e39202ebd161d63e40246cd41fa95.jpg,Контейнер для мусора Baiyun Cleaning AF07313,Контейнер для мусора Baiyun Cleaning AF07313,7023,RUB,Нет,,Профоборудование,Нейтральное,Контейнеры для мусора,https://entero.ru/item/164307,"<p>Контейнер для мусора <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/164307""><b class=""b"">Baiyun Cleaning AF07313</b></a> предназначен для сбора, хранения и транспортировки мусора и различных пищевых отходов в офисах, на предприятиях общественного питания и торговли. Модель оснащена подпружиненной поворотной крышкой. Изделие выполнено из полипропилена, устойчивого к сколам, трещинам и вмятинам.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Съемная верхняя часть для выемки мусорного пакета</li>
<li>Небольшой вес</li>
<li>Легко очищается</li>
<li>Устойчив к воздействию моющих средств</li>
<li>Не подвержен коррозии</li>
<li>Устойчив к перепадам температуры и высокой влажности</li>
</ul>

<p> </p>",164307,490 мм,490 мм,870 мм,,,,0,,,,,Китай,100 л,,полипропилен,серый,Да,
https://cdn.entero.ru/mp@2x/6d/8e/6d8e0ab329502237c6f17eb67b24d23f.jpg,Контейнер для мусора TRUST THOR 1233GY квадратный,Контейнер для мусора TRUST THOR 1233GY квадратный,7710,RUB,Нет,,Профоборудование,Нейтральное,Контейнеры для мусора,https://entero.ru/item/344084,"<p>Контейнер для мусора <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/344084""><b class=""b"">TRUST THOR 1233GY</b></a> используется на предприятиях общественного питания и торговли для хранения мусора и пищевых отходов. Корпус выполнен из пластика.</p>

<p><b class=""o"">Крышка в комплект поставки не входит и приобретается отдельно.</b></p>",344084,597 мм,597 мм,730 мм,,,,0,,10013,,,Китай,150 л,,пластик,серый,,
https://cdn.entero.ru/mp@2x/24/f1/24f1fd72c8c0531181e6771a8c0f03ba.jpg,Контейнер для отходов Gastrolux КВ-044,выкатной 400х400х700,19672,RUB,Нет,Gastrolux,Профоборудование,Нейтральное,Контейнеры для мусора,https://entero.ru/item/110214,"<p>Контейнер для отходов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/110214"">Gastrolux КВ-044</a></b> выкатной предназначен для сбора, хранения и транспортировки пищевых, а также твердых бытовых отходов на предприятиях общественного питания. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Поворотные колеса</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Диаметр колес: 75 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",110214,400 мм,400 мм,700 мм,,,,0,https://entero.ru/manuals/490874/%D0%98%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE%D0%B5%20%D0%BF%D0%B8%D1%81%D1%8C%D0%BC%D0%BE.pdf,21153,10.2 кг,,,80 л,,нержавеющая сталь,,,
https://cdn.entero.ru/mp@2x/bd/f2/bdf2044dc194f6b8af4ab3088b79ca17.jpg,Бак мусорный КАМИК БК-341227,БАК НА КОЛЕСАХ 390*390*600 без крышки,25683,RUB,Нет,КАМИК,Профоборудование,Нейтральное,Контейнеры для мусора,https://entero.ru/item/116923,"<p>Мусорный бак <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116923"">КАМИК БК-341227</a></b> используется на предприятиях общественного питания и торговли для сбора мусора и пищевых отходов. Модель оснащена колесами. Корпус выполнен из нержавеющей стали AISI 430.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Диаметр колес: 100 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",116923,390 мм,390 мм,600 мм,,,,0,,26753,14 кг,,,100 л,,нержавеющая сталь,,,
https://cdn.entero.ru/mp@2x/6c/c7/6cc7405d43a2a2144916c048008c7c1d.jpg,Бак мусорный КАМИК БК-341229,БАК НА КОЛЕСАХ 500*430*600 без крышки,28964,RUB,Нет,КАМИК,Профоборудование,Нейтральное,Контейнеры для мусора,https://entero.ru/item/116925,"<p>Мусорный бак <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116925"">КАМИК БК-341229</a></b> используется на предприятиях общественного питания и торговли для сбора мусора и пищевых отходов. Модель оснащена колесами. Корпус выполнен из нержавеющей стали AISI 430.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Диаметр колес: 100 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",116925,500 мм,430 мм,600 мм,,,,0,,,17 кг,,,70 л,,нержавеющая сталь,,,
https://cdn.entero.ru/mp@2x/a4/a9/a4a9e84ec3ca197638560b32656bc710.jpg,Контейнер для отходов Gastrolux КО-056/ШДД,"с расп.дверцей, ЛДСП 560х560х1150",29649,RUB,Нет,Gastrolux,Профоборудование,Нейтральное,Контейнеры для мусора,https://entero.ru/item/110213,"<p>Контейнер для отходов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/110213"">Gastrolux КО-056/ШДД</a></b> предназначен для сбора, хранения и транспортировки пищевых, а также твердых бытовых отходов на предприятиях общественного питания. Модель оборудована вертикальной шторкой для сбора отходов и распашной дверью. Корпус выполнен из ЛДСП.</p>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",110213,560 мм,560 мм,1150 мм,,,,0,https://entero.ru/manuals/490875/%D0%98%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE%D0%B5%20%D0%BF%D0%B8%D1%81%D1%8C%D0%BC%D0%BE.pdf,,21.2 кг,,,,,ЛДСП,,,
https://cdn.entero.ru/mp@2x/6c/4a/6c4ad818ad2ea5d1f335784fea946c7f.jpg,Бак мусорный КАМИК БК-341230,БАК НА КОЛЕСАХ 500*500*600 без крышки,30316,RUB,Нет,КАМИК,Профоборудование,Нейтральное,Контейнеры для мусора,https://entero.ru/item/116926,"<p>Мусорный бак <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116926"">КАМИК БК-341230</a></b> используется на предприятиях общественного питания и торговли для сбора мусора и пищевых отходов. Модель оснащена колесами. Корпус выполнен из нержавеющей стали AISI 430.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Диаметр колес: 100 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",116926,500 мм,500 мм,600 мм,,,,0,,,18 кг,,,150 л,,нержавеющая сталь,,,
https://cdn.entero.ru/mp@2x/b9/e5/b9e50b381406fedad6070a519396c41d.jpg,Бак мусорный Restoinox МБНР-5-4/6/8.5,Бак мусорный Restoinox МБНР-5-4/6/8.5,31781,RUB,Нет,Restoinox,Профоборудование,Нейтральное,Контейнеры для мусора,https://entero.ru/item/333619,"<p>Мусорный бак <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/333619"">Restoinox МБНР-5-4/6/8.5</a></b> предназначен для сбора пищевых отходов, одноразовой посуды и упаковки от фаст-фуда на предприятиях общественного питания и торговли. Модель оснащена рабочей столешницей с задним бортом и отделением для сменной тары с перенавешиваемой распашной дверью. Корпус, столешница, дно и двери выполнены из нержавеющей стали марки AISI 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Сброс мусора через откидывающуюся заслонку в верхней части бака</li>
<li>Регулируемые по высоте опоры</li>
<li>Эргономичный дизайн</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",333619,400 мм,600 мм,850 мм,20 кг,1,410x610x860 мм,0,,34545,,Россия,Россия,,,нержавеющая сталь,нерж. сталь,,
