Изображения,Название,Артикул,Цена,Валюта,Наличие,Категория,Подкатегория,Раздел,URL,Код товара,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Давление,Мойка тележек,Поддон
https://cdn.entero.ru/mp@2x/12/4c/124c60dd996d707f094f90f268e506ef.jpg,Модуль мойки тележек Азимут ММТ-01П,Модуль мойки тележек Азимут ММТ-01П,233086,RUB,Да,Профоборудование,Оборудование для дезинфекции и очистки,Модули мойки и дезинфекции тележек,https://entero.ru/item/157169,157169,898 мм,1451 мм,1548 мм,0,https://entero.ru/manuals/185951/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,10 бар,,
https://cdn.entero.ru/mp@2x/e7/90/e79087a0b90393d7a72f88dc186ac7a9.jpg,Модуль мойки тележек Азимут МДТ-01П,Модуль мойки тележек Азимут МДТ-01П,260514,RUB,Да,Профоборудование,Оборудование для дезинфекции и очистки,Модули мойки и дезинфекции тележек,https://entero.ru/item/157170,157170,898 мм,1451 мм,1548 мм,0,https://entero.ru/manuals/185952/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,274225,10 бар,Да,Да
