Изображения,Название,Артикул,Цена,Валюта,Наличие,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Вес,Страна производства,Остаток,Файлы,Старая цена
https://cdn.entero.ru/mp@2x/f7/d9/f7d946ed41768bdbfe749295b6c2c8db.jpg;https://cdn.entero.ru/mp@2x/86/22/862259d0e361108ff3b5e9d4401637e1.jpg;https://cdn.entero.ru/mp@2x/5b/35/5b354910418f32512294956d460e169f.jpg,Стул детский Puff 8003 откидной (АБС-пластик) серый,1402.008,5103,RUB,Да,Профоборудование,Оборудование для общественных санузлов,Пеленальные столы,https://entero.ru/item/368109,"<p>Детский стул <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/368109""><b class=""b"">Puff 8003</b></a> используется в комнатах матери и ребенка, а также общественных санузлах аэропортов, вокзалов, торговых центров, медицинских учреждений и других мест массового пребывания для безопасного размещения ребенка. Модель оснащена сиденьем с анатомическим рельефом. Корпус выполнен из АБС-пластика серого цвета. </p>

<p><b>Комплектация:</b></p>

<ul>
<li>​Комплект креплений</li>
<li>Инструкция по эксплуатации и монтажу</li>
<li>Заводская упаковка</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Регулируемый фиксирующий ремень</li>
<li>Гигиеничность: эффективность подавления размножения микроорганизмов до 99,9% благодаря специальным добавкам в материале</li>
<li>Настенный монтаж</li>
<li>Откидная конструкция с удобным механизмом открывания</li>
<li>Компактные габариты в сложенном виде для оптимизации пространства</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка: 20 кг</li>
<li>Масса брутто: 2,93 кг</li>
<li>Глубина в разложенном виде: 335 мм</li>
</ul>",368109,откидной,340 мм,142 мм,495 мм,2.43 кг,Россия,0,https://entero.ru/manuals/484932/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Puff%208003.pdf;https://entero.ru/manuals/484935/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D0%B8%20Puff.pdf,
https://cdn.entero.ru/mp@2x/c3/77/c37704df1d8805c3c42b02e5767f928e.jpg;https://cdn.entero.ru/mp@2x/8b/6c/8b6cad57b3269ab3651bbb1541852567.jpg;https://cdn.entero.ru/mp@2x/89/3c/893cad7eab9a852083afb63a3fe3b517.jpg;https://cdn.entero.ru/mp@2x/0c/fb/0cfbf8e0a0cf25602d58cba4c16a5236.jpg,Стол пеленальный Puff 8002 откидной (АБС-пластик) серый,1402.008,15362,RUB,Да,Профоборудование,Оборудование для общественных санузлов,Пеленальные столы,https://entero.ru/item/368110,"<p>Пеленальный стол <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/368110""><b class=""b"">Puff 8002</b></a> используется в комнатах матери и ребенка, а также общественных санузлах аэропортов, вокзалов, торговых центров, медицинских учреждений и других мест массового пребывания для пеленания младенцев. Модель оснащена удобной столешницей с углублением. Корпус выполнен из АБС-пластика серого цвета. </p>

<p><b>Комплектация:</b></p>

<ul>
<li>​Комплект креплений</li>
<li>Инструкция по эксплуатации и монтажу</li>
<li>Заводская упаковка</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Регулируемый фиксирующий ремень</li>
<li>Бокс для сафеток с откидной крышкой-полкой</li>
<li>Гигиеничность: эффективность подавления размножения микроорганизмов до 99,9% благодаря специальным добавкам в материале</li>
<li>Настенный монтаж</li>
<li>Откидная конструкция с удобным механизмом открывания с помощью кнопки</li>
<li>Компактные габариты в сложенном виде для оптимизации пространства</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка: 20 кг</li>
<li>Габариты в упаковке: 850х290х560 мм</li>
</ul>",368110,откидной,510 мм,122 мм,830 мм,9.8 кг,Россия,0,https://entero.ru/manuals/484931/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Puff%208002.pdf;https://entero.ru/manuals/484933/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D0%B8%20Puff.pdf;https://entero.ru/manuals/484937/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,
https://cdn.entero.ru/mp@2x/7d/7d/7d7d7c1fb4688e0dbf4db3f88f838b47.jpg,"Стол пеленальный Merida BC2, до 20 кг",BC2,40020,RUB,Нет,Профоборудование,Оборудование для общественных санузлов,Пеленальные столы,https://entero.ru/item/172142,"<p>Настенный пеленальный стол <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/172142""><b class=""b"">Merida BC2</b></a> используется в комнатах матери и ребенка, а также общественных санузлах аэропортов, вокзалов, торговых центров, медицинских учреждений и других мест массового пребывания для пеленания младенцев. Модель оснащена удобной столешницей со складным механизмом. Корпус выполнен из прочного пластика. </p>

<p>В комплект поставки входит набор для крепежа и монтажная схема.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Надежный фиксирующий ремень</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка: 20 кг</li>
</ul>",172142,"раскладной, откидной",,,,,Китай,0,https://entero.ru/manuals/198449/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Merida.pdf;https://entero.ru/manuals/198453/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BA%20Merida%20BC2.pdf;https://entero.ru/manuals/198454/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20Merida%20BC2.pdf,42574
