Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Мощность,Ширина,Глубина,Высота,Остаток,Файлы,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Длина ротора,Длина барабана,Диаметр барабана,Частота вращения вала
https://cdn.entero.ru/mp@2x/3d/74/3d7433e72cc53f06d088d2b2b7a66f62.jpg;https://cdn.entero.ru/mp@2x/e8/e7/e8e7b4e56b7093fdf210f5336c98a2bf.jpg;https://cdn.entero.ru/mp@2x/3e/63/3e63e0fc1ab587e45b029990702db3c9.jpg;https://cdn.entero.ru/mp@2x/2d/a1/2da16e694b183d59b537b33fb1903c24.jpg;https://cdn.entero.ru/mp@2x/b8/b9/b8b96f305bf5122b286817dea9fcbd2d.jpg;https://cdn.entero.ru/mp@2x/e3/3e/e33ee953cf2514e7249b15c9ac6356d0.jpg;https://cdn.entero.ru/mp@2x/53/f1/53f113253bf1a877ebf03cef4ac5e426.jpg;https://cdn.entero.ru/mp@2x/97/21/97213b2e55e297552cbda5175c99fd81.jpg,Центрифуга вертикальная ПЗО PZO 380 CV,Центрифуга вертикальная ПЗО PZO 380 CV,359574,RUB,Нет,ПЗО,Профоборудование,Промышленное,Центрифуги,https://entero.ru/item/365376,"<p>Вертикальная центрифуга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/365376""><b class=""b"">ПЗО PZO 380-CV</b></a> используется на промышленных предприятиях, в пунктах приема, сортировки и переработки отходов для очистки сырья из полимерных материалов от загрязнений за счет центробежной силы. Принцип работы: сырье поставляется с ванны флотации в вертикально ориентированный барабан через загрузочное сопло, быстро разгоняется с помощью вращающегося вала и тщательно очищается благодаря трению частиц о стенки и друг о друга, грязная вода удаляется сквозь перфорацию в стенках и сухая очищенная масса выгружается в подготовленную тару. Корпус выполнен из металла с антикоррозийным покрытием порошковой краской.</p>

<p>В комплект поставки входят инструкция по эксплуатации и гарантийный талон.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр внутреннего ротора: 380 мм</li>
</ul>",365376,вертикальная,7.5 кВт,955 мм,805 мм,1960 мм,0,https://entero.ru/manuals/475958/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%9F%D0%97%D0%9E%20PZO%20380%20CV.pdf,315 кг,Россия,Россия,450 кг/час,2000 мм,900 мм,265 мм,
https://cdn.entero.ru/mp@2x/5a/1f/5a1f81fa1b39aa63662fcc36d66d9ec6.jpg;https://cdn.entero.ru/mp@2x/41/9d/419dfcbcc2bbf5295d0dc97124f6f7d1.jpg;https://cdn.entero.ru/mp@2x/e0/15/e015a16e7ac3617bf8deae0428429706.jpg;https://cdn.entero.ru/mp@2x/aa/41/aa41e84c051bc7b5666c02436bd9b6b8.jpg;https://cdn.entero.ru/mp@2x/f1/8e/f18eca9308d16a5dc0420a968aab5397.jpg;https://cdn.entero.ru/mp@2x/39/e7/39e7875625abed1e1542a31adf2aa76d.jpg;https://cdn.entero.ru/mp@2x/1a/4d/1a4db5814aae29d141c552f69f812f1d.jpg;https://cdn.entero.ru/mp@2x/3f/5d/3f5d405f40011894afd767b09976d2c9.jpg,Центрифуга вертикальная ПЗО PZO 520-CV,Центрифуга вертикальная ПЗО PZO 520-CV,462402,RUB,Нет,ПЗО,Профоборудование,Промышленное,Центрифуги,https://entero.ru/item/365372,"<p>Вертикальная центрифуга <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/365372"">ПЗО PZO 520-CV</a></b> используется на промышленных предприятиях, в пунктах приема, сортировки и переработки отходов для очистки сырья из полимерных материалов от загрязнений за счет центробежной силы. Принцип работы: сырье поставляется с ванны флотации в вертикально ориентированный барабан через загрузочное сопло, быстро разгоняется с помощью вращающегося вала и тщательно очищается благодаря трению частиц о стенки и друг о друга, грязная вода удаляется сквозь перфорацию в стенках и сухая очищенная масса выгружается в подготовленную тару. Корпус выполнен из металла с антикоррозийным покрытием порошковой краской.</p>

<p>В комплект поставки входят инструкция по эксплуатации и гарантийный талон.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр внутреннего ротора: 520 мм</li>
</ul>",365372,вертикальная,7.5 кВт,545 мм,545 мм,1300 мм,0,https://entero.ru/manuals/475954/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%9F%D0%97%D0%9E%20PZO%20520-CV.pdf,410 кг,Россия,Россия,750 кг/час,2000 мм,1300 мм,315 мм,880 об/мин.
https://cdn.entero.ru/mp@2x/17/39/17399b7089995956b7ba94a743dc97e2.jpg;https://cdn.entero.ru/mp@2x/58/2e/582e78af49d208a92139853bbc9f9062.jpg;https://cdn.entero.ru/mp@2x/46/4f/464f04ec233c46502f511ed572dc39da.jpg;https://cdn.entero.ru/mp@2x/e2/ab/e2abb6ff3658ad012b5aa62358f009c8.jpg;https://cdn.entero.ru/mp@2x/21/05/2105d989082ece3691d8315c0d380168.jpg;https://cdn.entero.ru/mp@2x/4b/c6/4bc67b3c010659dfee26c34b4d10de1d.jpg;https://cdn.entero.ru/mp@2x/91/c5/91c580268197e8d48f0d636232390448.jpg;https://cdn.entero.ru/mp@2x/92/c6/92c6870b4c1c803bb526de6f1904dddd.jpg,Центрифуга вертикальная ПЗО PZO 630-CV,Центрифуга вертикальная ПЗО PZO 630-CV,548474,RUB,Нет,ПЗО,Профоборудование,Промышленное,Центрифуги,https://entero.ru/item/365373,"<p>Вертикальная центрифуга <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/365373"">ПЗО PZO 630-CV</a></b> используется на промышленных предприятиях, в пунктах приема, сортировки и переработки отходов для очистки сырья из полимерных материалов от загрязнений за счет центробежной силы. Принцип работы: сырье поставляется с ванны флотации в вертикально ориентированный барабан через загрузочное сопло, быстро разгоняется с помощью вращающегося вала и тщательно очищается благодаря трению частиц о стенки и друг о друга, грязная вода удаляется сквозь перфорацию в стенках и сухая очищенная масса выгружается в подготовленную тару. Корпус выполнен из металла с антикоррозийным покрытием порошковой краской.</p>

<p>В комплект поставки входят инструкция по эксплуатации и гарантийный талон.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр внутреннего ротора: 630 мм</li>
</ul>",365373,вертикальная,11 кВт,,,,0,https://entero.ru/manuals/475955/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%9F%D0%97%D0%9E%20PZO%20630-CV.pdf,610 кг,Россия,Россия,950 кг/час,2500 мм,1515 мм,400 мм,880 об/мин.
https://cdn.entero.ru/mp@2x/06/b9/06b943ef08c38e0c4d3919b9fb4e757a.jpg;https://cdn.entero.ru/mp@2x/e3/eb/e3eb25be0338658a86ed3a0198074e57.jpg;https://cdn.entero.ru/mp@2x/46/87/4687004722d332fbdd72dd335306afb7.jpg;https://cdn.entero.ru/mp@2x/78/fb/78fb934e70bc7c172da2ee69b2b5e1be.jpg;https://cdn.entero.ru/mp@2x/a4/03/a4037657ef895b10c86301e27a15ed5a.jpg;https://cdn.entero.ru/mp@2x/db/92/db922f35626aa493b78a6941490f8818.jpg;https://cdn.entero.ru/mp@2x/48/6a/486a45541b37c9d79d4033d29ff28cca.jpg;https://cdn.entero.ru/mp@2x/92/88/9288986a40cc175f97d0bc6b050d7536.jpg,Центрифуга наклонная ПЗО CN. 300-3000,Центрифуга наклонная ПЗО CN. 300-3000,1329794,RUB,Нет,ПЗО,Профоборудование,Промышленное,Центрифуги,https://entero.ru/item/365374,"<p>Наклонная центрифуга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/365374""><b class=""b"">ПЗО PZO CN. 300-3000</b></a> используется на промышленных предприятиях, в пунктах приема, сортировки и переработки отходов для очистки сырья из полимерных материалов от загрязнений за счет центробежной силы. Принцип работы: сырье из расположенного в нижней части загрузочного бункера перемещается вращающимся шнеком по наклонному барабану вверх, в процессе тщательно очищается, грязная вода удаляется сквозь перфорацию в стенках и сухая очищенная масса выгружается в подготовленную тару. Корпус выполнен из металла с антикоррозийным покрытием порошковой краской.</p>

<p>В комплект поставки входят инструкция по эксплуатации и гарантийный талон.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр ротора: 300 мм</li>
</ul>",365374,наклонная,22 кВт,3600 мм,1064 мм,1593 мм,0,https://entero.ru/manuals/475956/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%9F%D0%97%D0%9E%20CN.%20300-3000.pdf,1178 кг,Россия,Россия,600 кг/час,3011 мм,,,1000 об/мин.
https://cdn.entero.ru/mp@2x/a4/bb/a4bb36365d09252744d3856e7efd5ce8.jpg;https://cdn.entero.ru/mp@2x/ce/2a/ce2a3be2e80d739e3aa730f45223b143.jpg;https://cdn.entero.ru/mp@2x/c2/06/c206d1e34a3e148bd5b38f5044e0917f.jpg;https://cdn.entero.ru/mp@2x/ee/0d/ee0d6e9a1bc863250cac8f3348653422.jpg;https://cdn.entero.ru/mp@2x/c2/a8/c2a8ef5494335c88188af32b2a23d3ac.jpg;https://cdn.entero.ru/mp@2x/fc/ac/fcac62297c19f3bfc35baa3c8a44b55c.jpg;https://cdn.entero.ru/mp@2x/50/d7/50d762f9598068802968f6cd6f45009f.jpg;https://cdn.entero.ru/mp@2x/20/b2/20b2f8e5db53ca62184d41f0347f39a4.jpg,Центрифуга горизонтальная ПЗО PZO.CG.500,Центрифуга горизонтальная ПЗО PZO.CG.500,1516884,RUB,Нет,ПЗО,Профоборудование,Промышленное,Центрифуги,https://entero.ru/item/365375,"<p>Горизонтальная центрифуга <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/365375"">ПЗО PZO.CG.500</a></b> используется на промышленных предприятиях, в пунктах приема, сортировки и переработки отходов для очистки сырья из полимерных материалов от загрязнений за счет центробежной силы. Принцип работы: сырье поставляется с ванны флотации в горизонтально ориентированный барабан через загрузочное сопло, быстро разгоняется с помощью вращающегося вала и тщательно очищается благодаря трению частиц о стенки и друг о друга, грязная вода удаляется сквозь перфорацию в стенках и сухая очищенная масса выгружается в подготовленную тару. Корпус выполнен из металла с антикоррозийным покрытием порошковой краской.</p>

<p>В комплект поставки входят инструкция по эксплуатации и гарантийный талон.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр ротора: 500 мм</li>
</ul>",365375,горизонтальная,45 кВт,2700 мм,1600 мм,1600 мм,0,https://entero.ru/manuals/475957/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%9F%D0%97%D0%9E%20PZO.CG.500.pdf,1520 кг,Россия,Россия,,1400 мм,,,
