Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Количество дозаторов
https://cdn.entero.ru/mp@2x/29/9d/299d989acd18bae50590ced45bee3fa5.jpg,Сифон для газирования воды GASTRORAG 3421,Сифон для газирования воды GASTRORAG 3421,3560,RUB,Да,GASTRORAG,Профоборудование,Для баров,Аппараты газированной воды,https://entero.ru/item/303778,"<p>Сифон для газирования воды <a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/303778""><b class=""b"">GASTRORAG CZG40PE</b></a> ​предназначен для приготовления и розлива газированных напитков. Газирование воды происходит за счет присоединения к патрону стандартного баллончика со сжатым углекислым газом. Колба изготовлена из матовой нержавеющей стали, крышка - из пластмассы.</p>

<p>В комплект поставки входят колба, крышка с патроном для газового баллончика и дозатором, мерная трубка, длинная трубка с шайбой и приспособление для извлечения мерной трубки из колбы. <span style=""color:#FF0000;"">Баллончик со сжатым углекислым газом в комплект поставки не входит и приобретается отдельно.</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Одного баллончика достаточно для приготовления 1 л газированной воды</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем колбы: 1 л</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li><a href=""https://entero.kz/item/303779"">Баллончик со сжатым газом GASTRORAG 2301</a></li>
</ul>",303778,,,95 мм,95 мм,335 мм,,Китай,,,0,,,1 кг,1
https://cdn.entero.ru/mp@2x/1b/ef/1bef5d9dd098c53748d6082ff0c62b37.jpg;https://cdn.entero.ru/mp@2x/44/2e/442eea7deca5b856f2d55f9dd5b6943c.jpg;https://cdn.entero.ru/mp@2x/ac/a8/aca89e8002376761f0f916cfef2d6b06.jpg;https://cdn.entero.ru/mp@2x/a1/14/a114875a107e7ec43836d64c56c1b180.jpg;https://cdn.entero.ru/mp@2x/9a/62/9a622be359f802f93cfacf9bc7091d55.jpg;https://cdn.entero.ru/mp@2x/d6/a5/d6a5a42890098a1c30281e26cd8b6ae3.jpg;https://cdn.entero.ru/mp@2x/59/da/59da95572875adf7b57309cd9db3c046.jpg;https://cdn.entero.ru/mp@2x/41/58/41585a277bf28d397ce851c70d73c28e.jpg;https://cdn.entero.ru/mp@2x/eb/b4/ebb4b1859a9055fbc65233ac5bab9b3f.jpg;https://cdn.entero.ru/mp@2x/96/1f/961ff41faa188d9105b6b131535becab.jpg,Постмикс Foodatlas LEF-4\5,Постмикс Foodatlas LEF-4\5,257689,RUB,Нет,Foodatlas,Профоборудование,Для баров,Аппараты газированной воды,https://entero.ru/item/295360,"<p>Постмикс <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/295360""><b class=""b"">Foodatlas LEF-4\5 </b></a>используется на предприятиях общественного питания и торговли для дозированной подачи газированных напитков. Модель оснащена 4 клапанами для разлива и съемным каплесборником. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Магистральное водоснабжение</li>
<li>Упаковка: 5-слойный картон и фанера</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура охлаждения: до 6 °С</li>
<li>Объем льда: от 3,7 до 4 кг</li>
<li>Мощность сатуратора: 0,15 кВт</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель с 3 кранами.</span></em></p>",295360,220 В,0.55 кВт,326 мм,670 мм,735 мм,27 кг,Китай,2,530x350x230 мм,0,https://entero.ru/manuals/357754/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20LEF-3_5.pdf,,49.5 кг,4
https://cdn.entero.ru/mp@2x/ef/b6/efb607f085cfb0313d6f256ee7005b83.jpg;https://cdn.entero.ru/mp@2x/dc/58/dc58c55c30276d238a9a525eea8b79df.jpg;https://cdn.entero.ru/mp@2x/11/77/117713c8f6be733ebb2d5d394d429255.jpg;https://cdn.entero.ru/mp@2x/40/d3/40d3b807ade21193c380bad0f5e8d414.jpg;https://cdn.entero.ru/mp@2x/20/01/2001b6aa272fa95b92911258d3c6b076.jpg;https://cdn.entero.ru/mp@2x/af/d2/afd216776b591c2dc53a2ab575b30262.jpg;https://cdn.entero.ru/mp@2x/af/83/af83dea7f19819f607b16b106592d65d.jpg;https://cdn.entero.ru/mp@2x/75/09/750937026dcbd9e43a59678bf086488e.jpg;https://cdn.entero.ru/mp@2x/3f/05/3f05cb0cf86cf47c211e3c55d6596632.jpg;https://cdn.entero.ru/mp@2x/04/e5/04e529fdbaf6115a9b3ffc70fc07709c.jpg,Постмикс Foodatlas LEF-3\5,Постмикс Foodatlas LEF-3\5,236284,RUB,Нет,Foodatlas,Профоборудование,Для баров,Аппараты газированной воды,https://entero.ru/item/119542,"<p>Постмикс <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/119542""><b class=""b"">Foodatlas LEF-3\5 </b></a>используется на предприятиях общественного питания и торговли для дозированной подачи газированных напитков. Модель оснащена 3 клапанами для разлива и съемным каплесборником. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Компрессор: 270W&1/4HP</li>
<li>Хладагент: R134A</li>
</ul>

<p><b>Допополнительные характеристики:</b></p>

<ul>
<li>Производительность: 70 стаканов*</li>
<li>Объем льда: от 3,7 до 4 кг</li>
<li>Мощность сатуратора: 0,15 кВт</li>
<li>Габариты в упаковке: 365x710x730 мм</li>
</ul>

<p><br>
<em>* При температуре 20 ℃</em></p>",119542,220 В,0.55 кВт,326 мм,670 мм,735 мм,,Китай,,,0,https://entero.ru/manuals/351103/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20LEF-3_5.pdf,254069,48.7 кг,3
https://cdn.entero.ru/mp@2x/57/4b/574b5257610a0636b517073a5ac09ddf.jpg,"Баллончики для сифона GASTRORAG 2301 СО2 10 мл, 10 шт","Баллончики для сифона GASTRORAG 2301 СО2 10 мл, 10 шт",429,RUB,Нет,GASTRORAG,Профоборудование,Для баров,Аппараты газированной воды,https://entero.ru/item/303779,"<p>Баллончики для сифона <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/303779""><b class=""b"">GASTRORAG 2301</b></a> ​предназначены для газирования напитков. Изделие выполнено из углеродистой стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Одного баллончика достаточно для приготовления 1 л газированной воды</li>
<li>Подходят ко всем современным сифонам для газировки воды вне зависимости от бренда и объема</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Давление: около 58 атм</li>
<li>Содержание углекислого газа в 1 баллончике: 8 г</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/303778"">Сифон для газирования воды</a></li>
</ul>",303779,,,18 мм,18 мм,65 мм,,Китай,,,0,,613,0.31 кг,
