Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Объем
https://cdn.entero.ru/mp@2x/1a/ba/1abaeb67595d29bb0f0ab2aed06180f2.jpg;https://cdn.entero.ru/mp@2x/be/45/be4525a2fd1acb35f1edfeb4ff0610ae.jpg,Ларь для хранения белья Проммаш ЛБ,Ларь для хранения белья Проммаш ЛБ,26520,RUB,Нет,Проммаш,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/120609,"<p>Ларь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/120609"">Проммаш ЛБ</a></b> предназначен для хранения белья в прачечных, отелях, частных домах и квартирах. Корпус изготовлен из крашеного металла.</p>

<p><br>
<b>Дополнительные храктеристики:</b></p>

<ul>
<li>Габариты в упаковке: 1050х630х850 мм</li>
</ul>",120609,короб для белья,1050 мм,630 мм,850 мм,31 кг,Россия,1,1050x630x850 мм,0,,28826,30 кг,
https://cdn.entero.ru/mp@2x/f9/9f/f99f7580640b75efbb0ed878708789b6.jpg,Стол для белья (складной) Вязьма С-1260,Стол для белья (складной) Вязьма С-1260,30701,RUB,Нет,Вязьма,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/127165,"<p>Стол для белья <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127165""><b class=""b"">Вязьма С-1260</b></a> используется в отелях, ресторанах, прачечных, химчистках, больницах, спортивных клубах, а также в частных домах и квартирах для сортировки белья. Модель оснащена складной конструкцией. Корпус выполнен из нержавеющей стали.</p>",127165,стол для белья,1215 мм,590 мм,840 мм,,,,,0,,32661,18.5 кг,
https://cdn.entero.ru/mp@2x/47/4b/474b9c304f9b0efd6eb0fc3e2d899b4d.jpg,Тележка для белья Вязьма ТСП-500,Тележка для белья Вязьма ТСП-500,30917,RUB,Нет,Вязьма,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/127173,"<p>Тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127173"">Вязьма ТСП-500</a> </b>используется в отелях, ресторанах, прачечных, химчистках, больницах, спортивных клубах, а также в частных домах и квартирах для временного размещения и транпортировки белья. Модель оснащена 4 колесами.</p>",127173,тележка для белья,1053 мм,437 мм,1640 мм,,,,,0,,,21.5 кг,500 л
https://cdn.entero.ru/mp@2x/08/78/087874c19320b16715afb3a56738f3ba.jpg,Тележка для белья ЦКТ ТП-25,Тележка для белья ЦКТ ТП-25,24684,RUB,Нет,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/40307,"<p>Тележка для белья <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/40307""><b class=""b"">ЦКТ ТП-25</b></a> предназначена для транспортировки чистого или грязного белья в прачечных, химчистках и отелях. Изделие установлено на 4 поворотных колеса европейского производства. Тележка выполнена из нержавеющей стали высокого качества.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Загрузочная масса сухого белья: 30 кг</li>
<li>Максимальная грузоподъемность: 150 кг</li>
</ul>",40307,тележка для белья,850 мм,625 мм,750 мм,,Россия,,,0,,25983,24.5 кг,300 л
https://cdn.entero.ru/mp@2x/af/1c/af1c6805b7eb824dfbbf48b524e7621a.jpg,Тележка для белья Вязьма ТС-200,Тележка для белья Вязьма ТС-200,26850,RUB,Нет,Вязьма,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/134732,"<p>Тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/134732"">Вязьма ТС-200</a></b> используется в отелях, ресторанах, прачечных, химчистках, больницах, спортивных клубах, а также в частных домах и квартирах для временного размещения и транпортировки белья. Модель оснащена 4 колесами.</p>",134732,тележка для белья,650 мм,600 мм,845 мм,,,,,0,,,12.5 кг,
https://cdn.entero.ru/mp@2x/dd/2c/dd2c4f8729c2fb95c9477af45ca1c4b7.jpg,Стеллаж для белья ЦКТ СТ-3,Стеллаж для белья ЦКТ СТ-3,27574,RUB,Нет,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/145782,"<p>Стеллаж для белья <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/145782"">ЦКТ СТ-3</a></b> используется для сортировки, хранения и перевозки одежды в отелях, ресторанах, прачечных, химчистках, больницах, спортивных клубах, а также в частных домах и квартирах. Стеллаж выполнен из нержавеющей стали высокого качества. Изделие установлено на 4 поворотных колеса, диаметром 75 мм.</p>",145782,стеллаж для белья,960 мм,400 мм,1600 мм,,,,,0,,,20.4 кг,
https://cdn.entero.ru/mp@2x/68/e6/68e68c912563891f2f7fcbf51be84daa.jpg,Тележка для белья ЦКТ ТП-10А,Тележка для белья ЦКТ ТП-10А,19716,RUB,Нет,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/145711,"<p>Тележка для белья <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/145711""><b class=""b"">ЦКТ ТП-10А </b></a> предназначена для транспортировки чистого или грязного белья в прачечных, химчистках и отелях. Модель оснащена съёмным коробом и рамой, установленной на 4 поворотных колеса европейского производства. Изделие выполнено из нержавеющей стали высокого качества.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр колёс: 75 мм</li>
</ul>",145711,тележка для белья,480 мм,640 мм,800 мм,,,,,0,,,11.5 кг,80 л
https://cdn.entero.ru/mp@2x/d0/0e/d00eade0dbe84676b0e425114869b2bc.jpg,Тележка для белья Вязьма ТП-120,Тележка для белья Вязьма ТП-120,14095,RUB,Нет,Вязьма,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/260051,"<p>Тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/260051"">Вязьма ТП-120</a></b> используется в отелях, ресторанах, прачечных, химчистках, больницах, спортивных клубах, а также в частных домах и квартирах для временного размещения и транпортировки белья. Модель оснащена 4 колесами. Контейнер выполнен из пластика.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная высота загрузки: 600 мм</li>
<li>Максимальная грузоподъемность: 75 кг</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",260051,тележка для белья,960 мм,530 мм,960 мм,,,,,0,,,15 кг,120 л
https://cdn.entero.ru/mp@2x/2d/a7/2da75fe7a121c8cd4cd3aecb3360035a.jpg,Стол для белья (разборный) Вязьма С-1470,Стол для белья (разборный) Вязьма С-1470,37663,RUB,Нет,Вязьма,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/127166,"<p>Стол для белья <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127166""><b class=""b"">Вязьма С-1470</b></a> используется в отелях, ресторанах, прачечных, химчистках, больницах, спортивных клубах, а также в частных домах и квартирах для временного сортировки белья. Модель оснащена разборной конструкцией. Корпус выполнен из нержавеющей стали.</p>",127166,стол для белья,1400 мм,712 мм,850 мм,,,,,0,,40938,38.5 кг,
https://cdn.entero.ru/mp@2x/6f/a8/6fa8992547cc99f13f20894456c2364d.jpg,Тележка для белья Вязьма ТП-200,Тележка для белья Вязьма ТП-200,25707,RUB,Нет,Вязьма,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/134740,"<p>Тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/134740"">Вязьма ТП-200</a></b> используется в отелях, ресторанах, прачечных, химчистках, больницах, спортивных клубах, а также в частных домах и квартирах для временного размещения и транпортировки белья. Модель оснащена 4 колесами. Контейнер выполнен из пластика.</p>

<p> </p>",134740,тележка для белья,1150 мм,720 мм,900 мм,,,,,0,,27060,18 кг,200 л
https://cdn.entero.ru/mp@2x/4b/50/4b50eb059367117e5e26811d71f2f4d4.jpg,Короб для белья Вязьма КБ-200,Короб для белья Вязьма КБ-200,33640,RUB,Нет,Вязьма,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/135999,"<p>Короб для белья <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/135999"">Вязьма КБ-200</a> </b>используется в прачечных образовательных, оздоровительных заведениях, производственных предприятиях, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах для эстетичного складирования и хранения белья. Установлен на 4 поворотных колеса. В открытом положении крышка короба удерживается пневмопружинами. Имеет разборную конструкцию для минимизации габаритов при транспортировке или хранении.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота загрузки / выгрузки: 630 мм</li>
<li>Максимальная грузоподъемность: 200 кг</li>
</ul>

<p> </p>

<p> </p>",135999,короб для белья,630 мм,1050 мм,850 мм,,,,,0,https://entero.ru/manuals/158309/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%92%D1%8F%D0%B7%D1%8C%D0%BC%D0%B0.pdf,36565,60 кг,450 л
https://cdn.entero.ru/mp@2x/31/d4/31d4e8d00ffc4532158bb853bd60319a.jpg,Стойка для одежды Вязьма СП-15,Стойка для одежды Вязьма СП-15,24248,RUB,Нет,Вязьма,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/136012,"<p>Стойка для одежды <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/136012"">Вязьма СП-15</a> </b>используется в прачечных образовательных, оздоровительных заведениях, производственных предприятиях, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах для накопления, временного хранения в подвешенном состоянии и транспортировки одежды. Модель оснащена 4 колесами.</p>

<p> </p>",136012,стойка для одежды,1573 мм,553 мм,1725 мм,,,,,0,https://entero.ru/manuals/158310/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%92%D1%8F%D0%B7%D1%8C%D0%BC%D0%B0.pdf,25796,8 кг,
https://cdn.entero.ru/mp@2x/4f/6f/4f6fddd5aa4d5597756158b09be73c22.jpg,Тележка для белья Вязьма ТН-200,Тележка для белья Вязьма ТН-200,36718,RUB,Нет,Вязьма,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/134738,"<p>Тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/134738"">Вязьма ТН-200</a></b> используется в отелях, ресторанах, прачечных, химчистках, больницах, спортивных клубах, а также в частных домах и квартирах для временного размещения и транпортировки белья. Модель оснащена 2 поворотными колесами. Сварной каркас выполнен из гнутого профиля, корзина - из нержавеющей стали.</p>",134738,тележка для белья,1255 мм,540 мм,950 мм,,,,,0,https://entero.ru/manuals/350816/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%92%D1%8F%D0%B7%D1%8C%D0%BC%D0%B0%20%D0%A2%D0%9D-200.pdf,,30 кг,200 л
https://cdn.entero.ru/mp@2x/97/d7/97d7275a199a1f5714eed7a5daa1febd.jpg,Тележка для белья ЦКТ ТП-10Б,Тележка для белья ЦКТ ТП-10Б,21495,RUB,Нет,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/145714,"<p>Тележка для белья <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/145714""><b class=""b"">ЦКТ ТП-10Б </b></a> предназначена для транспортировки чистого или грязного белья в прачечных, химчистках и отелях. Модель оснащена ручкой и рамой, установленной на 4 поворотных колеса европейского производства. Изделие выполнено из нержавеющей стали высокого качества. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр колёс: 75 мм</li>
</ul>",145714,тележка для белья,485 мм,635 мм,800 мм,,,,,0,,22391,13.4 кг,100 л
https://cdn.entero.ru/mp@2x/d6/85/d685e10e2c8e20d75e325be350469cb3.jpg,Вешалка ЦКТ В-1,Вешалка ЦКТ В-1,13300,RUB,Нет,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/145775,"<p>Вешалка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/145775""><b class=""b"">ЦКТ В-1 </b></a>предназначена для сортировки, хранения и перевозки фасонной одежды в отелях, ресторанах, прачечных, химчистках, больницах, спортивных клубах, а также в частных домах и квартирах. Изделие выполнено из нержавеющей стали. Модель установлена на 4 поворотных колеса, диаметром 75мм.</p>",145775,стойка для одежды,1350 мм,600 мм,1800 мм,,,,,0,,14000,5.4 кг,
https://cdn.entero.ru/mp@2x/f6/7a/f67a33b7142cb5a652409bcbacaca671.jpg,Тележка для белья ЦКТ ТП-14н,Тележка для белья ЦКТ ТП-14н,19421,RUB,Нет,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/145725,"<p>Тележка для белья <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/145725""><b class=""b"">ЦКТ ТП-14н</b></a> используется для транспортировки чистого или грязного белья в прачечных, химчистках и отелях. Модель оснащена съёмным коробом и рамой, установленной на 4 поворотных колеса. Мешок выполнен из плотной водонепроницаемой ткани, рама - из зеркально-полированной нержавеющей стали высокого качества в виде легкой трубчатой конструкции, шины - из серой резины.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр колёс: 100 мм</li>
</ul>",145725,тележка для белья,700 мм,550 мм,800 мм,,,,,0,,,,120 л
https://cdn.entero.ru/mp@2x/d1/25/d125cb385b69507221e1b8e1ea26a8ea.jpg,Стеллаж для белья ЦКТ СТ-4 с полкой,Стеллаж для белья ЦКТ СТ-4 с полкой,38193,RUB,Нет,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/145920,"<p>Стеллаж для белья с полкой <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/145920""><b class=""b"">ЦКТ СТ-4</b></a> используется для сортировки, хранения и перевозки одежды в отелях, ресторанах, прачечных, химчистках, больницах, спортивных клубах, а также в частных домах и квартирах. Стеллаж выполнен из нержавеющей стали AISI 430. Изделие установлено на 4 колеса, диаметром 125 мм.</p>

<p><b>Особености:</b></p>

<ul>
<li>Верхняя дверца открывается вниз</li>
<li>Нижняя дверца открывается вправо</li>
<li>Полка откидывается вниз</li>
</ul>",145920,стеллаж для белья,720 мм,600 мм,1660 мм,,,,,0,,41514,,
https://cdn.entero.ru/mp@2x/98/71/9871a5a0dd0af26585623eaddf9bf749.jpg,Контейнер для белья ЦКТ Junior XL,Контейнер для белья ЦКТ Junior XL,22141,RUB,Нет,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/145925,"<p>Контейнер для белья <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/145925"">ЦКТ Junior XL</a></b> используется для хранения и перевозки одежды в отелях, ресторанах, прачечных, химчистках, больницах, спортивных клубах, а также в частных домах и квартирах. Контейнер выполнен из оцинкованной стали. Изделие установлено на 4 полиамидных колеса два поворотных и два не поворотных, диаметром 125 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Верхняя дверца открывается вниз</li>
<li>Нижняя дверца открывается вправо</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота без колёс: 1700 мм</li>
</ul>",145925,стеллаж для белья,600 мм,800 мм,1825 мм,,,,,0,,,,
https://cdn.entero.ru/mp@2x/a8/a8/a8a89ff0507e5d41fcc6074fa5d8c7ac.jpg,Тележка для белья Вязьма ТС-300,Тележка для белья Вязьма ТС-300,29112,RUB,Нет,Вязьма,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/134725,"<p>Тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/134725"">Вязьма ТС-300</a></b> используется в отелях, ресторанах, прачечных, химчистках, больницах, спортивных клубах, а также в частных домах и квартирах для временного размещения и транпортировки белья. Модель оснащена 4 колесами. Контейнер выполнен из пластика.</p>",134725,тележка для белья,950 мм,605 мм,845 мм,,,,,0,,30325,15 кг,
https://cdn.entero.ru/mp@2x/12/9c/129c61722822e5330a8dddb1613b5162.jpg,Стеллаж для белья разборный ЦКТ СТ-6,Стеллаж для белья разборный ЦКТ СТ-6,29123,RUB,Нет,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/145784,"<p>Стеллаж для белья разборный <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/145784"">ЦКТ СТ-6</a></b> используется для сортировки, хранения и перевозки одежды в отелях, ресторанах, прачечных, химчистках, больницах, спортивных клубах, а также в частных домах и квартирах. Стеллаж выполнен из нержавеющей стали. Изделие установлено на 4 поворотных колеса, диаметром 75 мм.</p>",145784,стеллаж для белья,1200 мм,500 мм,1800 мм,,,,,0,,30982,22.4 кг,
https://cdn.entero.ru/mp@2x/80/5b/805bac3702da2a51a92cb80208c2f3a9.jpg,Тележка для белья ЦКТ ТП-50С,Тележка для белья ЦКТ ТП-50С,38648,RUB,Нет,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/79135,"<p>Тележка для белья <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/79135"">ЦКТ ТП-50С</a></b> используется для транспортировки чистого или грязного белья в прачечных, химчистках и отелях. Модель оснащена 4 колесиками европейского производства. Тележка изготовлена из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 490 л</li>
<li>Диаметры колес: 200 мм</li>
<li>Габариты: 1160х830х750 мм</li>
<li>Вес: 29 кг</li>
</ul>",79135,тележка для белья,1160 мм,830 мм,750 мм,,,,,0,,,,490 л
https://cdn.entero.ru/mp@2x/8c/0a/8c0a281cc2bc7a77baa1ae55cf0050dc.jpg,Тележка для белья ЦКТ ТП-10Мн,Тележка для белья ЦКТ ТП-10Мн,15160,RUB,Нет,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/145718,"<p>Тележка для белья <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/145718""><b class=""b"">ЦКТ ТП-10Мн </b></a>предназачена для транспортировки чистого или грязного белья в прачечных, химчистках и отелях. Модель оснащена съёмным мешком и рамой установленой на 4 поворотных колеса. Мешок выполнен из плотной водонепроницаемой ткани, рама - из нержавеющей стали высокого качества. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр колёс: 75 мм</li>
</ul>",145718,тележка для белья,500 мм,600 мм,1000 мм,,,,,0,,16128,,100 л
https://cdn.entero.ru/mp@2x/46/02/46021a8512c5756b880007ca30a2a2e9.jpg,Вешалка ЦКТ В-2,Вешалка ЦКТ В-2,17416,RUB,Нет,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/145780,"<p>Вешалка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/145780""><b class=""b"">ЦКТ В-2 </b></a>предназначена для сортировки, хранения и перевозки фасонной одежды в отелях, ресторанах, прачечных, химчистках, больницах, спортивных клубах, а также в частных домах и квартирах. Изделие выполнено из нержавеющей стали. Модель установлена на 4 поворотных колеса, диаметром 75мм.</p>",145780,стойка для одежды,1800 мм,600 мм,1800 мм,,,,,0,,18142,5.8 кг,
https://cdn.entero.ru/mp@2x/59/37/5937224f1c6c972fb2d0b59350ff77eb.jpg,Тележка для белья ЦКТ ТП-10В,Тележка для белья ЦКТ ТП-10В,19815,RUB,Нет,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/145715,"<p>Тележка для белья <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/145715""><b class=""b"">ЦКТ ТП-10В </b></a> предназначена для транспортировки чистого или грязного белья в прачечных, химчистках и отелях. Модель оснащена съёмным коробом и рамой, установленной на 4 поворотных колеса европейского производства. Выполнена из нержавеющей стали высокого качества.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр колёс: 75 мм</li>
</ul>",145715,тележка для белья,480 мм,640 мм,750 мм,,,,,0,,,10.7 кг,80 л
https://cdn.entero.ru/mp@2x/55/65/5565fa16ce9e7035c101a7cdbc4e6da4.jpg,Стеллаж для белья неразборный ЦКТ СТ-6,Стеллаж для белья неразборный ЦКТ СТ-6,26353,RUB,Нет,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/145914,"<p>Стеллаж для белья неразборный <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/145914"">ЦКТ СТ-6</a></b> используется для сортировки, хранения и перевозки одежды в отелях, ресторанах, прачечных, химчистках, больницах, спортивных клубах, а также в частных домах и квартирах. Стеллаж выполнен из нержавеющей стали. Изделие установлено на 4 поворотных колеса, диаметром 75 мм.</p>",145914,стеллаж для белья,1200 мм,500 мм,1800 мм,,,,,0,,27740,22.4 кг,
https://cdn.entero.ru/mp@2x/37/69/3769ec0c66b7a50b9e18ef520f60e366.jpg,Тележка для белья ЦКТ ТП-30,Тележка для белья ЦКТ ТП-30,28592,RUB,Нет,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/145770,"<p>Тележка для белья <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/145770""><b class=""b"">ЦКТ ТП-30</b></a> предназначена для транспортировки чистого или грязного белья в прачечных, химчистках и отелях. Изделие установлено на 4 поворотных колеса. Тележка выполнена из нержавеющей стали в виде сплошного короба и окантовкой в виде трубки. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр колёс: 125 мм</li>
</ul>",145770,тележка для белья,660 мм,880 мм,750 мм,,,,,0,,30097,24.5 кг,300 л
https://cdn.entero.ru/mp@2x/3c/e8/3ce8d5d05a166b7375b5c4a44ef88dc8.jpg,Контейнер для белья с полкой ЦКТ Junior XL,Контейнер для белья с полкой ЦКТ Junior XL,34016,RUB,Нет,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/145926,"<p>Контейнер для белья с полкой <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/145926"">ЦКТ Junior XL</a></b> используется для хранения и перевозки одежды в отелях, ресторанах, прачечных, химчистках, больницах, спортивных клубах, а также в частных домах и квартирах. Контейнер выполнен из оцинкованной стали. Изделие установлено на 4 полиамидных колеса два поворотных и два не поворотных, диаметром 125 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Верхняя дверца открывается вниз</li>
<li>Нижняя дверца открывается вправо</li>
<li>Промежуточная полка может устанавливаться в двух положениях</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота без колёс: 1700 мм</li>
</ul>",145926,стеллаж для белья,600 мм,800 мм,1825 мм,,,,,0,,36187,,
https://cdn.entero.ru/mp@2x/f3/30/f330e361d20ae2216a00fe1d33776524.jpg,Тележка для белья Вязьма ТН-300,Тележка для белья Вязьма ТН-300,38918,RUB,Нет,Вязьма,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/134734,"<p>Тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/134734"">Вязьма ТН-300</a></b> используется в отелях, ресторанах, прачечных, химчистках, больницах, спортивных клубах, а также в частных домах и квартирах для временного размещения и транпортировки белья. Модель оснащена 2 поворотными колесами.</p>",134734,тележка для белья,1335 мм,600 мм,930 мм,,,,,0,,,34 кг,300 л
https://cdn.entero.ru/mp@2x/47/6b/476b017bbb18a6b844b49df4029d90f8.jpg,Тележка для белья ЦКТ ТП-50,Тележка для белья ЦКТ ТП-50,42288,RUB,Нет,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/145772,"<p>Тележка для белья <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/145772""><b class=""b"">ЦКТ ТП-50</b></a> предназначена для транспортировки чистого или грязного белья в прачечных, химчистках и отелях. Изделие установлено на 4 поворотных колеса. Тележка выполнена из сплошного листа нержавеющей стали и окантовкой в виде трубки. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр колёс: 200 мм</li>
</ul>",145772,тележка для белья,830 мм,1295 мм,750 мм,,,,,0,,,44.4 кг,490 л
https://cdn.entero.ru/mp@2x/0c/d5/0cd549df32612faf4d75c3fd4b4ebf75.jpg,Тележка для белья Вязьма ТСП-600,Тележка для белья Вязьма ТСП-600,44027,RUB,Нет,Вязьма,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/127167,"<p>Тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127167"">Вязьма ТСП-600</a></b> используется в отелях, ресторанах, прачечных, химчистках, больницах, спортивных клубах, а также в частных домах и квартирах для временного размещения и транпортировки белья. Модель оснащена 2 полками, 4 колесами и разборной конструкцией. Корпус выполнен из нержавеющей стали.</p>",127167,тележка для белья,610 мм,960 мм,1655 мм,,,,,0,,46344,35 кг,600 л
