Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Ширина,Глубина,Высота,Страна производства,Остаток,Файлы,Старая цена,Потребляемая мощность,УФ
https://cdn.entero.ru/mp@2x/a9/93/a993c217d8bd1c04ea8b41b31c9668d1.jpg;https://cdn.entero.ru/mp@2x/53/02/5302039e411f4d0cb1b194afb48e7f4f.jpg;https://cdn.entero.ru/mp@2x/6c/25/6c25be3c01e0ffc9b0138395804f7787.jpg;https://cdn.entero.ru/mp@2x/e4/d3/e4d351c0a61081e1ef4c85ee63d83725.jpg;https://cdn.entero.ru/mp@2x/71/03/710306ecd871948e89416efbc80f460e.jpg,Стерилизатор смартфонов и гаджетов ATESY СТС-1-02-1 (без полок),Стерилизатор смартфонов и гаджетов ATESY СТС-1-02-1 (без полок),20503,RUB,Нет,ATESY,Профоборудование,Оборудование для дезинфекции и очистки,Стерилизаторы для техники,https://entero.ru/item/128960,"<p>Стерилизатор<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/128960""><b class=""b""> ATESY СТС-1-02-1 </b></a>предназначен для обеззараживания поверхностей сотовых телефонов, планшетов, а также канцелярских товаров и связок ключей, за счет воздействия ультрафиолетового излучения на предприятиях общественного питания и торговли. Модель оснащена дверью с замком и электронным таймером на 1 мин. Дверь стерилизационной камеры изготовлена из тонированного стекла для обеспечения защиты человека от УФ лучей.</p>

<p><span style=""color:#FF0000;"">Полки и вешалки в комплект не входят и приобретаются отдельно в зависимости от необходимой комплектации.</span></p>

<p><span style=""color:#FF0000;"">Минимальный заказ: 3 шт.</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Бактерицидная лампа низкого давления, безозонового типа TUV 8W</li>
<li>Все конструктивные элементы изделия выполнены из нержавеющей стали AISI430</li>
<li>Устройство автоматического отключения работы при открывании двери</li>
<li>Для крепления к стене</li>
<li>Полки и вешалки можно устанавливать в различном сочетании в зависимости от необходимости</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Максимальное количество устанавливаемых полок:
<ul>
<li>Для смартфонов: 2 </li>
<li>Для планшетов: 2</li>
<li>Для ручек и карандашей: 6</li>
</ul>
</li>
<li>Количество одновременно устанавливаемых на одну полку:
<ul>
<li>Смартфонов: 14 </li>
<li>Планшетов: 2 </li>
<li>Ручек (карандашей): 10</li>
</ul>
</li>
<li>Максимальное количество устанавливаемых вешалок для ключей: 3 </li>
<li>Количество одновременно повешенных связок ключей на одну вешалку: 15 </li>
<li>Напряжение: 220 В</li>
<li>Мощность бактерицидного потока лампы: 0,00016 кВт</li>
<li>Средний срок службы лампы: 5000 часов</li>
<li>Габариты: 465х145х605 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/311604"">Полка для смартфонов</a></li>
<li><a href=""https://entero.ru/item/311602"">Полка для планшетов и ручек</a></li>
<li><a href=""https://entero.ru/item/311606"">Полка для ключей</a></li>
</ul>",128960,220 В,465 мм,145 мм,605 мм,Россия,0,https://entero.ru/manuals/142324/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%A1%D0%A2%D0%A3-1-18-02.pdf;https://entero.ru/manuals/142325/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/142326/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,0.008 кВт,Да
https://cdn.entero.ru/mp@2x/b3/18/b318e0e9ba4a5942b5a86d594ed58074.jpg,Полка для смартфонов ATESY для СТС-1; CТС-2,Полка для смартфонов ATESY для СТС-1; CТС-2,2873,RUB,Нет,ATESY,Профоборудование,Оборудование для дезинфекции и очистки,Стерилизаторы для техники,https://entero.ru/item/311604,"<p>Полка используется совместно со стерилизаторами <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/311604""><b class=""b"">ATESY СТС-1, CТС-2</b></a> на предприятиях общественного питания и торговли для размещения смартфонов. Изделие выполнено из прутка пищевой нержавеющей стали AISI430.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Вместимость: 14 смартфонов</li>
<li>Размеры: 417x89x90 мм</li>
<li>Размеры в упаковке: 430x100x110 мм</li>
<li>Вес: 0,25 кг</li>
<li>Вес в упаковке: 0,27 кг</li>
</ul>",311604,,,,,,0,,3380,,
https://cdn.entero.ru/mp@2x/e5/35/e53538189aa48d0de42a64beda65b96b.jpg,Полка для связок ключей ATESY для СТС-1; CТС-2,Полка для связок ключей ATESY для СТС-1; CТС-2,2561,RUB,Нет,ATESY,Профоборудование,Оборудование для дезинфекции и очистки,Стерилизаторы для техники,https://entero.ru/item/311606,"<p>Полка используется совместно со стерилизаторами <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/311606""><b class=""b"">ATESY СТС-1, CТС-2</b></a> на предприятиях общественного питания и торговли для размещения ключей. Изделие выполнено из прутка пищевой нержавеющей стали AISI430.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Вместимость: 15 связок ключей</li>
<li>Размеры: 417x47x27 мм</li>
<li>Размеры в упаковке: 430x60x40 мм</li>
<li>Вес: 0,15 кг</li>
<li>Вес в упаковке: 0,18 кг</li>
</ul>",311606,,,,,,0,,3242,,
https://cdn.entero.ru/mp@2x/fa/9a/fa9adb30f553b9cdb0c91f0a8005f257.jpg,Полка для планшетов и ручек ATESY для СТС-1; CТС-2,Полка для планшетов и ручек ATESY для СТС-1; CТС-2,2786,RUB,Нет,ATESY,Профоборудование,Оборудование для дезинфекции и очистки,Стерилизаторы для техники,https://entero.ru/item/311602,"<p>Полка используется совместно со стерилизаторами <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/311602""><b class=""b"">ATESY СТС-1, CТС-2</b></a> на предприятиях общественного питания и торговли для размещения смартфонов, планшетов и ручек. Изделие выполнено из прутка пищевой нержавеющей стали AISI430.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размеры: 417x90x126 мм</li>
<li>Размеры в упаковке: 430x100x135 мм</li>
<li>Вес: 0,2 кг</li>
<li>Вес в упаковке: 0,22 кг</li>
</ul>",311602,,,,,,0,,,,
