Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Загрузка,Материал корпуса,Объем барабана,Скорость отжима,Для ковров
https://cdn.entero.ru/mp@2x/01/8c/018c753676e8256e42f8508f41ce6dfa.jpg,Центрифуга Вязьма ЛЦ-10 нерж. сталь,ЛЦ-10-2,253550,RUB,Нет,Вязьма,Профоборудование,Прачечное,Отжимные центрифуги,https://entero.ru/item/81422,"<p>Центрифуга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/81422""><b class=""b"">Вязьма ЛЦ-10 </b></a>используется в прачечных образовательных, оздоровительных заведениях, производственных предприятиях, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах для окончательного отжима влаги из белья. Модель оснащена автоматизированным управлением и блокирующими устройствами. Корпус изготовлен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время цикла: 10 мин.</li>
<li>G-фактор: 540</li>
<li>Остаточная влажность белья после отжима: 50%</li>
<li>Удельный расход электроэнергии: 0,01 кВт*ч/дм<sup>3</sup></li>
<li>Габариты в упаковке: 760х810х1080 мм</li>
</ul>",81422,380 В,1.1 кВт,620 мм,760 мм,950 мм,0,https://entero.ru/manuals/55278/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg;https://entero.ru/manuals/120864/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%92%D1%8F%D0%B7%D1%8C%D0%BC%D0%B0.pdf,264115,,120 кг,Россия,Россия,60 кг/час,10 кг,нерж. сталь,50 л,1430 об/мин.,
https://cdn.entero.ru/mp@2x/d5/8c/d58c69d56a7d60dc50467fa464ccc727.jpg,Центрифуга Вязьма ЛЦ-25.2 нерж. сталь,Центрифуга Вязьма ЛЦ-25.2 нерж. сталь,465668,RUB,Нет,Вязьма,Профоборудование,Прачечное,Отжимные центрифуги,https://entero.ru/item/220898,"<p>Центрифуга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/220898""><b class=""b"">Вязьма ЛЦ-25 </b></a>используется в прачечных образовательных, оздоровительных заведениях, производственных предприятиях, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах для окончательного отжима влаги из белья. Модель оснащена автоматизированным управлением и блокирующими устройствами. Корпус изготовлен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время цикла: 10 мин.</li>
<li>G-фактор: 770</li>
<li>Остаточная влажность белья после отжима: 50%</li>
<li>Удельный расход электроэнергии: 0,01 кВт*ч/дм<sup>3</sup></li>
<li>Габариты в упаковке: 900х1200х1160 мм</li>
</ul>",220898,220 В,2.2 кВт,840 мм,1050 мм,1030 мм,0,https://entero.ru/manuals/263053/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg;https://entero.ru/manuals/263054/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%92%D1%8F%D0%B7%D1%8C%D0%BC%D0%B0.pdf,500718,,325 кг,Россия,Россия,150 кг/час,25 кг,нерж. сталь,125 л,,
https://cdn.entero.ru/mp@2x/aa/9a/aa9a57fded31485649e8dfa17f2b3866.jpg,Центрифуга-прачечная Вязьма КП-223,КП-223.1,998836,RUB,Нет,Вязьма,Профоборудование,Прачечное,Отжимные центрифуги,https://entero.ru/item/81426,"<p>Центрифуга-прачечная <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/81426"">Вязьма КП-223</a> </b>используется в прачечных образовательных, оздоровительных заведениях, производственных предприятиях, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах для окончательного отжима влаги из белья. Модель оснащена автоматизированным управлением и блокирующими устройствами.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время цикла: 10 мин.</li>
<li>G-фактор: 765</li>
<li>Остаточная влажность белья после отжима: 50%</li>
<li>Удельный расход электроэнергии: 0,012 кВт*ч/дм<sup>3</sup></li>
<li>Габариты в упаковке: 1190х1700х1380 мм</li>
</ul>",81426,380 В,4 кВт,1150 мм,1605 мм,1170 мм,0,https://entero.ru/manuals/55287/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg;https://entero.ru/manuals/120863/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%92%D1%8F%D0%B7%D1%8C%D0%BC%D0%B0.pdf;https://entero.ru/manuals/303048/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%92%D1%8F%D0%B7%D1%8C%D0%BC%D0%B0%20%D0%9A%D0%9F-223.pdf,,,1000 кг,Россия,Россия,300 кг/час,50 кг,краш. сталь,320 л,1200 об/мин.,
https://cdn.entero.ru/mp@2x/75/19/7519867158f42bd09b18a6d9d8e3de28.jpg;https://cdn.entero.ru/mp@2x/52/07/5207daa3832c487bb460b0c6668228b4.jpg,Центрифуга для отжима ковров Вязьма ВЦК-2440,"Серия ""Вега"" ВЦК 2440",0,RUB,Нет,Вязьма,Профоборудование,Прачечное,Отжимные центрифуги,https://entero.ru/item/81464,"<p>Центрифуга для отжима ковров <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/81464"">Вязьма ВЦК-2440</a> </b>серии ""Вега"" используется в прачечных образовательных, оздоровительных заведениях, производственных предприятиях, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах для отжима тканевых ковров, скрученных в рулон (спираль). Модель оснащена колесиками и не требует жесткого крепления к полу. Внутренний барабан центрифуги изготовлен из нержавеющей стали, а наружный барабан и корпус покрыты порошковой краской.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Слив отжатой воды осуществляется ""под машину"", в специально подготовленный приямок</li>
<li>Частотное регулирование скорости вращения двигателя</li>
<li>Функция полоскания ковра</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Глубина барабана (максимальная длина ковра): 2400 мм</li>
<li>Фактор разделения при отжиме: 300 </li>
<li>Остаточная влажность после отжима: 50%</li>
<li>Диаметр слива: 2х 63 мм</li>
</ul>",81464,380 В,3 кВт,2925 мм,970 мм,1180 мм,0,https://entero.ru/manuals/55354/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg;https://entero.ru/manuals/120854/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%92%D1%8F%D0%B7%D1%8C%D0%BC%D0%B0.pdf;https://entero.ru/manuals/303050/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%92%D1%8F%D0%B7%D1%8C%D0%BC%D0%B0%20%D0%92%D0%A6%D0%9A-2440.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240229&hd=2&autoplay=0,570 кг,Россия,Россия,,,краш. сталь,300 л,1160 об/мин.,Да
https://cdn.entero.ru/mp@2x/1b/16/1b168211cd94050e52e0ecb472425f25.jpg,Центрифуга для отжима ковров Вязьма ВЦК-3540,"Серия ""Вега"" ВЦК 3540",0,RUB,Нет,Вязьма,Профоборудование,Прачечное,Отжимные центрифуги,https://entero.ru/item/81465,"<p>Центрифуга для отжима ковров <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/81465"">Вязьма ВЦК-3540</a> </b>серии ""Вега"" используется в прачечных образовательных, оздоровительных заведениях, производственных предприятиях, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах для отжима тканевых ковров, скрученных в рулон (спираль). Модель оснащена колесиками и не требует жесткого крепления к полу. Внутренний барабан изготовлен из нержавеющей стали, а наружный барабан и корпус покрыты порошковой краской.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Слив отжатой воды осуществляется ""под машину"", в специально подготовленный приямок</li>
<li>Частотное регулирование скорости вращения двигателя</li>
<li>Функция полоскания ковра</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Глубина барабана (максимальная длина ковра): 3500 мм</li>
<li>Фактор разделения при отжиме: 300</li>
<li>Остаточная влажность после отжима: 50%</li>
<li>Диаметр слива: 3х 63 мм</li>
</ul>",81465,380 В,5.5 кВт,4025 мм,970 мм,1180 мм,0,https://entero.ru/manuals/55356/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg;https://entero.ru/manuals/120861/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%92%D1%8F%D0%B7%D1%8C%D0%BC%D0%B0.pdf;https://entero.ru/manuals/303051/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%92%D1%8F%D0%B7%D1%8C%D0%BC%D0%B0%20%D0%92%D0%A6%D0%9A-3540.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240229&hd=2&autoplay=0,670 кг,Россия,Россия,,,краш. сталь,440 л,1160 об/мин.,Да
