Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Вместимость
https://cdn.entero.ru/mp@2x/75/e9/75e9ede3f1ba6b5ee25667b4ab851dd9.jpg;https://cdn.entero.ru/mp@2x/ee/f7/eef7de3ad790f2b13c7716e7353307bc.jpg;https://cdn.entero.ru/mp@2x/6a/ad/6aad29900bb8d84d8409d76f57046a0f.jpg,Овоскоп Новые технологии ОН-10,Овоскоп Новые технологии ОН-10,2491,RUB,Да,,Профоборудование,Электромеханическое,Овоскопы,https://entero.ru/item/181883,"<p>Овоскоп <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/181883""><b class=""b"">Новые технологии ОН-10 </b></a>предназначен для визуального контроля качества яиц методом просвечивания на предприятиях общественного питания и торговли. Прибор позволяет диагностировать малые и большие пятна под скорлупой, трещины, наличие посторонних включений и мутную внутреннюю среду. Модель оснащена резиновыми ножками для предотвращения скольжения. Корпус выполнен из окрашенной стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Перфорация в основании для предотвращения нагрева</li>
<li>Простота использования и замены лампы</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность 1 лампы: 0,095 кВт</li>
<li>Габариты в упаковке: 220x220x135 мм</li>
</ul>",181883,220 В,0.1 кВт,207 мм,207 мм,126 мм,,,,154,https://entero.ru/manuals/211299/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9D%D0%BE%D0%B2%D1%8B%D0%B5%20%D1%82%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8%20%D0%9E%D0%9D-10.pdf,3559,1 кг,Россия,Россия,10
https://cdn.entero.ru/mp@2x/6f/4a/6f4a724aca3c5ca52357e5a9a93dbf88.jpg;https://cdn.entero.ru/mp@2x/8f/38/8f381dc532a200768d295f1e71e33661.jpg;https://cdn.entero.ru/mp@2x/65/e7/65e7539a6adfbe4f16ae5b95a2081ad1.jpg;https://cdn.entero.ru/mp@2x/b6/47/b64771e19ed1a1eb6f04b6dbf37d4b3d.jpg;https://cdn.entero.ru/mp@2x/5f/7c/5f7c61dcc7cc0b1e50a83f38a1511944.jpg,Овоскоп Ветзоотехника ПКЯ-10,Овоскоп Ветзоотехника ПКЯ-10,3239,RUB,Да,,Профоборудование,Электромеханическое,Овоскопы,https://entero.ru/item/231675,"<p>Овоскоп <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/231675""><b class=""b"">Ветзоотехника ПКЯ-10</b></a> предназначен для визуального контроля качества яиц методом просвечивания на предприятиях общественного питания и торговли. Прибор позволяет диагностировать малые и большие пятна под скорлупой, трещины, наличие посторонних включений и мутную внутреннюю среду. Корпус выполнен из металла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>​Мощность лампы: 0,1 кВт</li>
<li>Номинальная частота питающей сети: 50 Гц</li>
<li>Номинальный потребляемый ток: 1,25 А</li>
<li>Средняя наработка на отказ, не менее: 2000 ч</li>
<li>Эксплуатация при температуре окружающей среды: от 5°С до 40°С.</li>
<li>Срок службы, не менее: 10 лет</li>
</ul>",231675,220 В,,220 мм,230 мм,160 мм,1 кг,1,240x220x190 мм,26,,4627,1.2 кг,Россия,Россия,10
https://cdn.entero.ru/mp@2x/93/45/934559df6e77c383816284c49f47f3f6.jpg,Овоскоп ПищТех ОВ-10,н0000044161,2619,RUB,Да,ПищТех,Профоборудование,Электромеханическое,Овоскопы,https://entero.ru/item/173955,"<p>Овоскоп <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/173955""><b class=""b"">Пищевые технологии ОВ-10</b></a> предназначен для визуального контроля качества яиц методом просвечивания на предприятиях общественного питания и торговли. Прибор позволяет диагностировать малые и большие пятна под скорлупой, трещины, наличие посторонних включений и мутную внутреннюю среду. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Потребляемая мощность: 0,095 кВт</li>
<li>Габариты в упаковке: 275x185x140 мм</li>
</ul>",173955,220 В,,217 мм,157 мм,135 мм,1 кг,1,275x185x140 мм,0,https://entero.ru/manuals/398800/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85%20%D0%9E%D0%92-10.pdf;https://entero.ru/manuals/421941/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85.pdf,,0.6 кг,Россия,Россия,10
https://cdn.entero.ru/mp@2x/12/ed/12edb6422467e89bfd2a3d205b842da6.jpg,Овоскоп ITERMA EGG10,C6814,2603,RUB,Да,ITERMA,Профоборудование,Электромеханическое,Овоскопы,https://entero.ru/item/118002,"<p>Овоскоп <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/118002"">ITERMA EGG10</a></b> предназначен для визуального контроля качества яиц методом просвечивания на предприятиях общественного питания и торговли. Прибор позволяет диагностировать малые и большие пятна под скорлупой, трещины, наличие посторонних включений и мутную внутреннюю среду. Модель оснащена электрическим патроном для источника света, 1 лампой накаливания и крышкой. Корпус выполнен из углеродистой стали, окрашенной порошковой краской.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Потребляемая мощность: 0,095 кВт</li>
<li>Температура окружающей среды: от 0 до 30 ºС</li>
<li>Влажность окружающей среды: 80%</li>
<li>Габариты в упаковке: 250x250x150 мм</li>
</ul>",118002,220 В,,240 мм,210 мм,110 мм,,,,0,https://entero.ru/manuals/202104/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ITERMA%20EGG10.pdf,,0.7 кг,Россия,Россия,10
https://cdn.entero.ru/mp@2x/37/63/3763edeb177b50cb0678835418238d19.jpg,Овоскоп Проммаш ОВ-30,Овоскоп Проммаш ОВ-30,12411,RUB,Да,Проммаш,Профоборудование,Электромеханическое,Овоскопы,https://entero.ru/item/365785,"<p>Овоскоп <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/365785""><b class=""b"">Проммаш ОВ-30</b></a> предназначен для визуального контроля качества яиц методом просвечивания на предприятиях общественного питания и торговли. Прибор позволяет диагностировать малые и большие пятна под скорлупой, трещины, наличие посторонних включений и мутную внутреннюю среду. </p>",365785,220 В,0.1 кВт,570 мм,265 мм,125 мм,7 кг,1,630x280x140 мм,0,https://entero.ru/manuals/476354/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9F%D1%80%D0%BE%D0%BC%D0%BC%D0%B0%D1%88%20%D0%9E%D0%92-30.docx;https://entero.ru/manuals/476355/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,7 кг,Россия,Россия,30
