Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Скорость нарезки,Толщина картона
https://cdn.entero.ru/mp@2x/07/75/077582dfd8ff3d63cebcfd6f8fe81c0f.jpg;https://cdn.entero.ru/mp@2x/b4/f1/b4f11310ee70e90264486c2e403f3ebe.jpg;https://cdn.entero.ru/mp@2x/e7/77/e77746c59b7d50b1b553082215d0f680.jpg;https://cdn.entero.ru/mp@2x/6b/c6/6bc6749bac10eeace4a1b48baf24155e.jpg;https://cdn.entero.ru/mp@2x/5b/b3/5bb37bc47916a91df5f4ec37471ea15e.jpg,Шредер для картона БИЗОН 420 1Ph,Шредер для картона БИЗОН 420 1Ph,298000,RUB,Да,,Профоборудование,Оборудование для переработки отходов,Шредеры,https://entero.ru/item/273738,"<p>Шредер для картона <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/273738""><b class=""b"">БИЗОН 420 1Ph</b></a> предназначен для переработки использованных картонных коробов на различных производствах, складах и предприятиях торговли. Модель оснащена стальными лезвиями, устойчивыми к контакту с небольшими частицами металла и кнопками включения / выключения, обратного хода и экстенной остановки. Корпус окрашен порошковой краской.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Услиленные шариковые подшипники и валы</li>
<li>Пригоден для использования с картоном со скобами, кредитными картами, CD-дисками и дискетами</li>
<li>Блокируемые колеса</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина перфорированного листа картона: 420 мм</li>
<li>Максимальная длительность нагрузки: 8 ч</li>
<li>Уровень шума: 50 дБ</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/274008"">Ножки</a></li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",273738,220 В,1.5 кВт,650 мм,455 мм,460 мм,0,https://entero.ru/manuals/528294/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%91%D0%98%D0%97%D0%9E%D0%9D%20420%201Ph.pdf;https://entero.ru/manuals/528295/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,313684,,120 кг,Россия,Россия,6 м3/час,14 м/мин.,18 мм
https://cdn.entero.ru/mp@2x/31/3c/313c054008bca7eda645ef03b408dab2.jpg;https://cdn.entero.ru/mp@2x/e0/1a/e01a7fd58aa33ab32730e6e54c4b390c.jpg;https://cdn.entero.ru/mp@2x/0b/70/0b70b2995978e3ed929a8709870bc00a.jpg;https://cdn.entero.ru/mp@2x/a9/dd/a9dd2ddd81d1c735cd48d02315809c61.jpg;https://cdn.entero.ru/mp@2x/0e/2e/0e2e551f61bc322d296c51c5743fde22.jpg,Шредер для картона БИЗОН 420 3Ph (380 В),Шредер для картона БИЗОН 420 3Ph (380 В),298000,RUB,Да,,Профоборудование,Оборудование для переработки отходов,Шредеры,https://entero.ru/item/274105,"<p>Шредер для картона <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/274105""><b class=""b"">БИЗОН 420 3Ph</b></a> используется на складах, предприятиях промышленности и торговли для переработки использованных картонных коробов, а также измельчения компакт-дисков, кредитных карт и аналогичных изделий. Модель оснащена кнопками выключателя, обратного хода и экстренной остановки. Корпус выполнен из металла с устойчивым к царапинам покрытием порошковой краской.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Услиленная конструкция перфораторные валов, подшипников и приводных зубчатых шестерней</li>
<li>Устойчивые к контакту с небольшими частицами металла стальные лезвия </li>
<li>Простота управления</li>
<li>Колеса для удобства транспортировки</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина перфорированного листа картона: 420 мм</li>
<li>Максимальная длительность нагрузки: 8 ч</li>
<li>Уровень шума: 50 дБ</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/274008"">Ножки</a></li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",274105,380 В,1.5 кВт,650 мм,455 мм,460 мм,0,https://entero.ru/manuals/524503/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%91%D0%98%D0%97%D0%9E%D0%9D%20420%203Ph%20%28380%20%D0%92%29.pdf;https://entero.ru/manuals/528290/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,323913,,120 кг,Россия,Россия,6 м3/час,14 м/мин.,18 мм
https://cdn.entero.ru/mp@2x/38/3d/383d5096551988c96b0d61119275f031.jpg;https://cdn.entero.ru/mp@2x/cd/4b/cd4bff1762be133be7d62d27bdcb60f4.jpg;https://cdn.entero.ru/mp@2x/9b/e5/9be57893f340479c49b1ec8a39863bb4.jpg;https://cdn.entero.ru/mp@2x/fe/e0/fee08da6223fb6212acce321348ab2c3.jpg;https://cdn.entero.ru/mp@2x/4e/4e/4e4eb6eca701366eeb477be0dc25135d.jpg,Шредер для картона БИЗОН 320 1Ph (220 В),Шредер для картона БИЗОН 320 1Ph (220 В),253700,RUB,Да,,Профоборудование,Оборудование для переработки отходов,Шредеры,https://entero.ru/item/274103,"<p>Шредер для картона <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/274103""><b class=""b"">БИЗОН 320 1Ph</b></a> используется на складах, предприятиях промышленности и торговли для переработки использованных картонных коробов, а также измельчения компакт-дисков, кредитных карт и аналогичных изделий. Модель оснащена кнопками выключателя, обратного хода и экстренной остановки. Корпус выполнен из металла с устойчивым к царапинам покрытием порошковой краской.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Услиленная конструкция перфораторные валов, подшипников и приводных зубчатых шестерней</li>
<li>Устойчивые к контакту с небольшими частицами металла стальные лезвия </li>
<li>Простота управления</li>
<li>Колеса для удобства транспортировки</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина перфорированного листа картона: 320 мм</li>
<li>Максимальная длительность нагрузки: 8 ч</li>
<li>Уровень шума: 50 дБ</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Ножки</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",274103,220 В,1.5 кВт,555 мм,415 мм,350 мм,0,https://entero.ru/manuals/528298/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%91%D0%98%D0%97%D0%9E%D0%9D%20320%201Ph%20%28220%20%D0%92%29.pdf;https://entero.ru/manuals/528300/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,70 кг,Россия,Россия,4 м3/час,14 м/мин.,13 мм
https://cdn.entero.ru/mp@2x/f5/19/f5197b2d023707f74ea5d22145177b36.jpg;https://cdn.entero.ru/mp@2x/6f/b7/6fb7e996cdf2a65df1ab48b0fca31991.jpg;https://cdn.entero.ru/mp@2x/d9/2d/d92d17f868a39060c7f66d7863ebfb3e.jpg;https://cdn.entero.ru/mp@2x/94/ca/94ca0ff346dd9b3ac4050555c79a2645.jpg;https://cdn.entero.ru/mp@2x/05/f7/05f74dc4a9d0d0462622622f7a60b37d.jpg,Шредер для картона БИЗОН 320 3Ph (380 В),Шредер для картона БИЗОН 320 3Ph (380 В),253700,RUB,Да,,Профоборудование,Оборудование для переработки отходов,Шредеры,https://entero.ru/item/274104,"<p>Шредер для картона <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/274104""><b class=""b"">БИЗОН 320 3Ph</b></a> используется на складах, предприятиях промышленности и торговли для переработки использованных картонных коробов, а также измельчения компакт-дисков, кредитных карт и аналогичных изделий. Модель оснащена кнопками выключателя, обратного хода и экстренной остановки. Корпус выполнен из металла с устойчивым к царапинам покрытием порошковой краской.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Услиленная конструкция перфораторные валов, подшипников и приводных зубчатых шестерней</li>
<li>Устойчивые к контакту с небольшими частицами металла стальные лезвия </li>
<li>Простота управления</li>
<li>Колеса для удобства транспортировки</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина перфорированного листа картона: 320 мм</li>
<li>Максимальная длительность нагрузки: 8 ч</li>
<li>Уровень шума: 50 дБ</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Ножки</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",274104,380 В,1.5 кВт,555 мм,415 мм,350 мм,0,https://entero.ru/manuals/528296/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%91%D0%98%D0%97%D0%9E%D0%9D%20320%203Ph%20%28380%20%D0%92%29.pdf;https://entero.ru/manuals/528297/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,264271,,70 кг,Россия,Россия,4 м3/час,14 м/мин.,13 мм
https://cdn.entero.ru/mp@2x/67/c3/67c301e79b77d11d689ff5fe97402600.jpg;https://cdn.entero.ru/mp@2x/2c/74/2c74acc65d49672b93f2ec73b26a7c4d.jpg;https://cdn.entero.ru/mp@2x/d4/f4/d4f4261a335c76526970d71bc18131aa.jpg;https://cdn.entero.ru/mp@2x/06/d1/06d1595f836e0772d8abbbecccc2408c.jpg;https://cdn.entero.ru/mp@2x/f4/de/f4de7198dfe7b0ad2a75a2bc6270fc89.jpg,Шредер для картона БИЗОН 520 3Ph (380 В),Шредер для картона БИЗОН 520 3Ph (380 В),0,RUB,Нет,,Профоборудование,Оборудование для переработки отходов,Шредеры,https://entero.ru/item/274106,"<p>Шредер для картона <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/274106""><b class=""b"">БИЗОН 520 3Ph</b></a> используется на складах, предприятиях промышленности и торговли для переработки использованных картонных коробов, а также измельчения компакт-дисков, кредитных карт и аналогичных изделий. Модель оснащена кнопками выключателя, обратного хода и экстренной остановки. Корпус выполнен из металла с устойчивым к царапинам покрытием порошковой краской.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Услиленная конструкция перфораторных валов, подшипников и приводных зубчатых шестерней</li>
<li>Устойчивые к контакту с небольшими частицами металла стальные лезвия </li>
<li>Простота управления</li>
<li>Колеса для удобства транспортировки</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина перфорированного листа картона: 500 мм</li>
<li>Максимальная длительность нагрузки: 8 ч</li>
<li>Уровень шума: 50 дБ</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Ножки</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",274106,380 В,4 кВт,750 мм,455 мм,460 мм,0,https://entero.ru/manuals/528291/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%91%D0%98%D0%97%D0%9E%D0%9D%20520%203Ph%20%28380%20%D0%92%29.pdf;https://entero.ru/manuals/528292/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,150 кг,Россия,Россия,8.7 м3/час,14 м/мин.,20 мм
https://cdn.entero.ru/mp@2x/47/49/4749a63f2850377357e30fe60663a2fb.jpg;https://cdn.entero.ru/mp@2x/80/35/8035ea347d5ea6c144e8c634fc09136a.jpg;https://cdn.entero.ru/mp@2x/a2/13/a2138abeb9b9b5d31f89fe904195dbce.jpg;https://cdn.entero.ru/mp@2x/a4/ab/a4abe52ebdfe8a6133358c7be538ef6c.jpg;https://cdn.entero.ru/mp@2x/7e/db/7edb4beb3e06bd594858f50ffa5a808c.jpg;https://cdn.entero.ru/mp@2x/c4/22/c42272f5a63d70ec074178bd28200df5.jpg;https://cdn.entero.ru/mp@2x/4b/4a/4b4a93a2fab68c20ba3bd8d074d3d053.jpg;https://cdn.entero.ru/mp@2x/45/b7/45b706ac477d9ec80a00918d0f75c2ed.jpg,Шредер ПЗО PZO SHR 600 n22 одновальный,Шредер ПЗО PZO SHR 600 n22 одновальный,1690000,RUB,Нет,ПЗО,Профоборудование,Оборудование для переработки отходов,Шредеры,https://entero.ru/item/365377,"<p>Одновальный шредер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/365377""><b class=""b"">ПЗО PZO SHR 600 n22</b></a> используется на складах, предприятиях промышленности различных направлений и торговли для предварительного дробления предназначенных для переработки и утилизации твердых материалов таких как литники, жесткие и армированные пластики, металлический корд, алюминиевые и жестяные корпусы бытовой техники, стекло, асфальт, ДСП, легковые покрышки, мешки, текстильные и твердые бытовые отходы. Модель оснащена загрузочным бункером, вращающимся валом, гидравлической прижимной плитой и решеткой. Корпус выполнен из металла с антикоррозийным покрытием порошковой краской, ножи – из прочной термостойкой стали марки Х12МФ с высоким содержанием хрома, молибдена и ванадия.</p>

<p>Принцип работы: загрузка сырья в бункер осуществляется вручную или автоматически, при прохождении между роторными ножами вала и стационарными ножами прижимной плиты содержимое измельчается на более мелкие фракции и выгружается сквозь решетку в подготовленную тару.</p>

<p>В комплект поставки входят инструкция по эксплуатации и гарантийный талон.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Высокоэффективная логическая система управления</li>
<li>Возможность корректировки размера измельченной фракции</li>
<li>Автоматическое отключение при превышении критического давления на режущий вал</li>
<li>Низкое энергопотребление</li>
<li>Эффективная система шумопоглощения</li>
<li>Устойчивые массивные опоры</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Частота вращения ротора: 50 об/мин.</li>
<li>Количество ножей:
<ul>
<li>Роторные: 34</li>
<li>Стационарные: 3 + 3</li>
</ul>
</li>
<li>Ход толкателя: 500 мм</li>
<li>Диаметр отверстий решетки: 40 мм</li>
<li>Диаметр ротора: 277 мм</li>
<li>Длина ротора: 600 мм</li>
<li>Высота разгрузки: 560 мм</li>
<li>Габариты загрузочного окна: 1121х1330 мм</li>
<li>Габариты зоны измельчения: 735х570 мм</li>
</ul>",365377,,22 кВт,2700 мм,1900 мм,2085 мм,0,https://entero.ru/manuals/475959/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%9F%D0%97%D0%9E%20PZO%20SHR%20600%20n22%20%D0%BE%D0%B4%D0%BD%D0%BE%D0%B2%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9.pdf,1836957,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241145&hash=becd85d6588aa5b9;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241146&hash=b4be1c70278a9a3b;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241147&hash=223be5d1d87a8462;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241148&hash=99346d8a5dbc04f0,2800 кг,Россия,Россия,,,
https://cdn.entero.ru/mp@2x/c3/d2/c3d2a1b51c97aecea968d32116352d4f.jpg;https://cdn.entero.ru/mp@2x/5c/c5/5cc5da16736524470a66d01f6340539d.jpg;https://cdn.entero.ru/mp@2x/1c/b5/1cb51847d11036f64ad6008b561ffe01.jpg;https://cdn.entero.ru/mp@2x/6b/ca/6bcab816f8a04a2c6f83b427d367f61b.jpg;https://cdn.entero.ru/mp@2x/5b/46/5b46989bb599ca968aa19863c9db898a.jpg;https://cdn.entero.ru/mp@2x/04/7c/047c9f37da695b26d3b821d5743b5d6e.jpg;https://cdn.entero.ru/mp@2x/bf/e9/bfe992f1498f725fc218f1fab24939e0.jpg;https://cdn.entero.ru/mp@2x/ad/de/addeea39e250316236087e4e44d36511.jpg,Шредер ПЗО PZO SHR 800 n37 одновальный,Шредер ПЗО PZO SHR 800 n37 одновальный,2690000,RUB,Нет,ПЗО,Профоборудование,Оборудование для переработки отходов,Шредеры,https://entero.ru/item/365379,"<p>Одновальный шредер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/365379""><b class=""b"">ПЗО PZO SHR 800 n37</b></a> используется на складах, предприятиях промышленности различных направлений и торговли для предварительного дробления предназначенных для переработки и утилизации твердых материалов таких как литники, жесткие и армированные пластики, металлический корд, алюминиевые и жестяные корпусы бытовой техники, стекло, асфальт, ДСП, легковые покрышки, мешки, текстильные и твердые бытовые отходы. Модель оснащена загрузочным бункером, вращающимся валом, гидравлической прижимной плитой и решеткой. Корпус выполнен из металла с антикоррозийным покрытием порошковой краской, ножи – из прочной термостойкой стали марки Х12МФ с высоким содержанием хрома, молибдена и ванадия.</p>

<p>Принцип работы: загрузка сырья в бункер осуществляется вручную или автоматически, при прохождении между роторными ножами вала и стационарными ножами прижимной плиты содержимое измельчается на более мелкие фракции и выгружается сквозь решетку в подготовленную тару.</p>

<p>В комплект поставки входят инструкция по эксплуатации и гарантийный талон.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Высокоэффективная логическая система управления</li>
<li>Возможность корректировки размера измельченной фракции</li>
<li>Автоматическое отключение при превышении критического давления на режущий вал</li>
<li>Низкое энергопотребление</li>
<li>Эффективная система шумопоглощения</li>
<li>Устойчивые массивные опоры</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Частота вращения ротора: 50 об/мин.</li>
<li>Количество ножей:
<ul>
<li>Роторные: 42</li>
<li>Стационарные: 4 + 4</li>
</ul>
</li>
<li>Ход толкателя: 800 мм</li>
<li>Диаметр отверстий решетки: 40 мм</li>
<li>Диаметр ротора: 393 мм</li>
<li>Длина ротора: 800 мм</li>
<li>Высота разгрузки: 560 мм</li>
<li>Габариты загрузочного окна: 1420х1530 мм</li>
<li>Габариты зоны измельчения: 1080х760 мм</li>
</ul>",365379,,37 кВт,2800 мм,1900 мм,2085 мм,0,https://entero.ru/manuals/475960/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%9F%D0%97%D0%9E%20PZO%20SHR%20800%20n37%20%D0%BE%D0%B4%D0%BD%D0%BE%D0%B2%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241264&hash=0c7b39d3fc3e80b3;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241265&hash=73805091aa35e243;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241266&hash=a80c6c0364eab090;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241267&hash=11cce268f36d3c4f,4300 кг,Россия,Россия,,,
https://cdn.entero.ru/mp@2x/4e/ef/4eef1ab5ec4e5b3793ccbafa93c43f5d.jpg;https://cdn.entero.ru/mp@2x/78/9e/789ecba8b3e1f9430a2034181ccd0327.jpg;https://cdn.entero.ru/mp@2x/ed/1e/ed1e230d9bae73ca5e3971b8d5bbedff.jpg;https://cdn.entero.ru/mp@2x/e8/a8/e8a81dcc15a6a4796357246bc5419633.jpg;https://cdn.entero.ru/mp@2x/f8/14/f814a31e265e6201687487b40afc71eb.jpg;https://cdn.entero.ru/mp@2x/ee/f7/eef7433dc0fc2191cfa01205d6e13686.jpg;https://cdn.entero.ru/mp@2x/17/d5/17d5ac55385a92e0a6c881e2cd80c276.jpg;https://cdn.entero.ru/mp@2x/32/2c/322c2690570f21a1e27045c79bf8465d.jpg,Шредер ПЗО PZO SHR 1300 n55 одновальный,Шредер ПЗО PZO SHR 1300 n55 одновальный,6650822,RUB,Нет,ПЗО,Профоборудование,Оборудование для переработки отходов,Шредеры,https://entero.ru/item/365380,"<p>Одновальный шредер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/365380""><b class=""b"">ПЗО PZO SHR 1300 n55</b></a> используется на складах, предприятиях промышленности различных направлений и торговли для предварительного дробления предназначенных для переработки и утилизации твердых материалов таких как литники, жесткие и армированные пластики, металлический корд, алюминиевые и жестяные корпусы бытовой техники, стекло, асфальт, ДСП, легковые покрышки, мешки, текстильные и твердые бытовые отходы. Модель оснащена загрузочным бункером, вращающимся валом, гидравлической прижимной плитой и решеткой. Корпус выполнен из металла с антикоррозийным покрытием порошковой краской, ножи – из прочной термостойкой стали марки Х12МФ с высоким содержанием хрома, молибдена и ванадия.</p>

<p>Принцип работы: загрузка сырья в бункер осуществляется вручную или автоматически, при прохождении между роторными ножами вала и стационарными ножами прижимной плиты содержимое измельчается на более мелкие фракции и выгружается сквозь решетку в подготовленную тару.</p>

<p>В комплект поставки входят инструкция по эксплуатации и гарантийный талон.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Высокоэффективная логическая система управления</li>
<li>Возможность корректировки размера измельченной фракции</li>
<li>Автоматическое отключение при превышении критического давления на режущий вал</li>
<li>Низкое энергопотребление</li>
<li>Эффективная система шумопоглощения</li>
<li>Устойчивые массивные опоры</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Частота вращения ротора: 50 об/мин.</li>
<li>Количество ножей:
<ul>
<li>Роторные: 66</li>
<li>Стационарные: 7 + 7</li>
</ul>
</li>
<li>Ход толкателя: 1300 мм</li>
<li>Диаметр отверстий решетки: 40 мм</li>
<li>Диаметр ротора: 393 мм</li>
<li>Длина ротора: 1300 мм</li>
<li>Высота разгрузки: 560 мм</li>
<li>Габариты загрузочного окна: 1430х1900 мм</li>
<li>Габариты зоны измельчения: 1550х1200 мм</li>
</ul>",365380,,55 кВт,2800 мм,2500 мм,2130 мм,0,https://entero.ru/manuals/475961/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%9F%D0%97%D0%9E%20PZO%20SHR%201300%20n55%20%D0%BE%D0%B4%D0%BD%D0%BE%D0%B2%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241268&hash=11f2f17f78ccf214,5500 кг,Россия,Россия,,,
