Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель
https://cdn.entero.ru/mp@2x/2c/31/2c3183696c8fc5a0500ac97b8e899338.jpg,"Стол пятновыводной Ghidini GB-S-88 F (паровоздушный пистолет, компрессор)","Стол пятновыводной Ghidini GB-S-88 F (паровоздушный пистолет, компрессор)",452328,RUB,Да,,Профоборудование,Прачечное,Оборудование для выведения пятен,https://entero.ru/item/336848,"<p>Пятновыводной стол <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/336848""><b class=""b"">Ghidini GB-S-88 F </b></a>используется в прачечных образовательных, оздоровительных заведениях, производственных предприятиях, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах для удаления трудновыводимых пятен после обработки в машине сухой химической чистки или стирки. Модель оснащена двумя пистолетами для холодной пятновыводки с независимыми контурами, паровоздушным пистолетом, емкостью для химии, встроенным вакуумным устройством, поддержкой шланга, поворотным рукавом и компрессором. Рабочая поверхность и поворотный рукав выполнены из нержавеющей стали.</p>

<p>В комплект поставки входит паровоздушный пистолет арт. Z04E00 и встроенный компрессорный блок арт. Z17A00. </p>

<p>Внимание! Требуется подключение к внешнему парогенератору.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность вакуумного устройства: 0,6 л.с</li>
<li>Мощность компрессора: 2 л.с</li>
<li>Потребление воздуха: 200 Нл/мин</li>
<li>Подача пара: от 4 до 6 бар</li>
<li>Подача сжатого воздуха: 5 –8 бар</li>
<li>Рабочее давление пара: 5 бар</li>
<li>Рабочее давление воздуха: 6 бар</li>
<li>Расход пара: 3 ÷ 5 кг/ч</li>
<li>Расход воздуха: 150 нл/мин</li>
<li>Силовой вакуумный агрегат: 0,6 л.с.</li>
<li>Уровень интенсивности звука: < 70 дБ(A)</li>
<li>Рабочая температура: + 5 ÷ + 80 °C</li>
<li>Влажность при работе: макс. 90 %</li>
<li>Температура хранения: - 20 ÷ + 50 °C</li>
<li>Габариты рабочей поверхности: 800x260x175 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Встроенный трехфазный компрессор </li>
<li>Встроенный однофазный вытяжной вентилятор </li>
<li>Центральный впускной клапан</li>
<li>Освещение</li>
</ul>",336848,380 В,2.4 кВт,1270 мм,900 мм,1900 мм,118 кг,1,1300x800x1100 мм,0,https://entero.ru/manuals/453855/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Ghidini%20GB-S-88%20F%20%28%D0%BF%D0%B0%D1%80%D0%BE%D0%B2%D0%BE%D0%B7%D0%B4%D1%83%D1%88%D0%BD%D1%8B%D0%B9%20%D0%BF%D0%B8%D1%81%D1%82%D0%BE%D0%BB%D0%B5%D1%82_%20%D0%BA%D0%BE%D0%BC%D0%BF%D1%80%D0%B5%D1%81%D1%81%D0%BE%D1%80%29.docx;https://entero.ru/manuals/465513/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Ghidini%20%28%D0%B0%D0%BD%D0%B3%D0%BB%29.pdf,,78 кг,Италия,
https://cdn.entero.ru/mp@2x/b6/da/b6daec143913e98be0e72e63e856725b.jpg,Стол пятновыводной Ghidini GB-S-88 F (компрессор),Стол пятновыводной Ghidini GB-S-88 F (компрессор),0,RUB,Нет,,Профоборудование,Прачечное,Оборудование для выведения пятен,https://entero.ru/item/292928,"<p>Пятновыводной стол <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/292928""><b class=""b"">Ghidini GB-S-88 F </b></a>используется в прачечных образовательных, оздоровительных заведениях, производственных предприятиях, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах для удаления трудновыводимых пятен после обработки в машине сухой химической чистки или стирки. Модель оснащена 2 пистолетами для холодной пятновыводки с независимыми контурами, емкостью для химии, воздушным пистолетом, встроенным вакуумным устройством, поддержкой шланга и поворотным рукавом. Рабочая поверхность и поворотный рукав выполнены из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Вакуумное устройство: 0,6 л.с.</li>
<li>Компрессор: 2 л.с.</li>
</ul>
</li>
<li>Давление пара: от 4 до 8 бар</li>
<li>Потребление пара: от 2 до 3 кг/час</li>
<li>Потребление воздуха: 200 Нл/мин</li>
<li>Подача пара: от 4 до 6 бар</li>
<li>Подача сжатого воздуха: 5 –8 бар</li>
<li>Рабочее давление пара: 5 бар</li>
<li>Рабочее давление воздуха: 6 бар</li>
<li>Расход пара: 3 ÷ 5 кг/ч</li>
<li>Расход воздуха: 150 нл/мин</li>
<li>Силовой вакуумный агрегат: 0,6 л.с.</li>
<li>Уровень интенсивности звука: < 70 дБ(A)</li>
<li>Рабочая температура: + 5 ÷ + 80 °C</li>
<li>Влажность при работе: макс. 90 %</li>
<li>Температура хранения: - 20 ÷ + 50 °C</li>
<li>Габариты рабочей поверхности: 800x260x175 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Встроенный трехфазный компрессор </li>
<li>Встроенный однофазный вытяжной вентилятор </li>
<li>Центральный впускной клапан</li>
<li>Паровой воздушный пистолет в сборе</li>
<li>Освещение</li>
</ul>",292928,380 В,2.4 кВт,1270 мм,900 мм,1900 мм,118 кг,1,1300x800x1100 мм,0,https://entero.ru/manuals/453853/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Ghidini%20GB-S-88%20F%20%28%D0%BA%D0%BE%D0%BC%D0%BF%D1%80%D0%B5%D1%81%D1%81%D0%BE%D1%80%29.docx,,78 кг,Италия,
https://cdn.entero.ru/mp@2x/81/06/8106d6dae5abf8477fe8619995bb897b.jpg,"Машина пятновыводная PONY JOLLY (парогенератор, паровоздушн. пистолет)","Машина пятновыводная PONY JOLLY (парогенератор, паровоздушн. пистолет)",625333,RUB,Нет,PONY,Профоборудование,Прачечное,Оборудование для выведения пятен,https://entero.ru/item/50788,"<p>Пятновыводная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/50788""><b class=""b"">PONY JOLLY</b></a> представляет из себя стол, служащий для окончательного выведения пятен перед основной стиркой. Машина широко применяется в профессиональных прачечных и химчистках.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Парогенератор</li>
<li>Компрессор для сжатого воздуха</li>
<li>2 пятновыводных пистолета</li>
<li>2 бака</li>
<li>Воздушный пистолет для сушки</li>
<li>Паровоздушный пистолет</li>
<li>Рукав из нержавеющей стали</li>
<li>Автоматический вакуумный отсос</li>
<li>Вакуум в рабочей зоне</li>
<li>Подсветка</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем бойлера: 5 л</li>
<li>Размер рабочей поверхности: 750х270х160 мм</li>
</ul>",50788,380 В,7.3 кВт,780 мм,1500 мм,910 мм,,,,0,,672401,6 кг,Италия,
https://cdn.entero.ru/mp@2x/cb/1e/cb1e20f180b21b81a5c3e32fd8fc3b13.jpg,Стол пятновыводной Вязьма ЛПВС-162.04,ЛПВС 162.04,481814,RUB,Нет,Вязьма,Профоборудование,Прачечное,Оборудование для выведения пятен,https://entero.ru/item/81469,"<p>Пятновыводной стол <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/81469"">Вязьма ЛПВС-162.04</a> </b>используется в прачечных образовательных, оздоровительных заведениях, производственных предприятиях, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах для удаления трудновыводимых пятен после обработки в машине сухой химической чистки или стирки. Модель оснащена 2 паровыми пистолетами, в каждый из которых подается реагент и воздух высокого давления, и сетчатыми отверстиями для отвода отработанных химикатов.</p>

<p>В комплект поставки входит парогенератор.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Вакуумное устройство: 0,45 кВт</li>
<li>Установленная: 2 кВт</li>
</ul>
</li>
<li>Давление пара: 6 кг/см<sup>2</sup></li>
<li>Габариты в упаковке: 1540х1080х1230 мм</li>
</ul>",81469,,1.5 кВт,750 мм,1280 мм,1780 мм,,,,0,https://entero.ru/manuals/55367/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg;https://entero.ru/manuals/120853/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%92%D1%8F%D0%B7%D1%8C%D0%BC%D0%B0.pdf,518080,100 кг,Россия,Россия
