Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Страна производства,Остаток,Файлы,Старая цена,Вес (без упаковки),Внутренние размеры камеры,Функция сушки,Производительность по озону
https://cdn.entero.ru/mp@2x/7a/90/7a90006607e6a8411ddc393de82b0380.jpg,Шкаф озонирующий Вязьма ВШО-800С,Шкаф озонирующий Вязьма ВШО-800С,374858,RUB,Нет,Вязьма,Профоборудование,Прачечное,Шкафы озонирующие,https://entero.ru/item/135452,"<p>Шкаф озонирующий <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/135452"">Вязьма ВШО-800С</a> </b>используется в прачечных, образовательных, оздоровительных заведениях, производственных предприятиях, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах и воинских частях для гигиенической антибактериальной обработки и сушки белья, ткани, одежды, меха, обуви, амуниции и формы. Модель оснащена контроллером для установки программ озонирования, генератором озона, поворотными колесами и перекладиной для одежды.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Обработка изделий без риска их повреждения</li>
<li>Герметичное закрывание дверцы с блокировкой до окончания работы</li>
<li>Перекладина для развешивания одежды на вешалках-плечиках</li>
<li>Уничтожение вирусов, бактерий и запахов</li>
<li>Удаление озона в вентиляцию</li>
<li>Экологичность конструкции</li>
<li>Бесконтактная антибактериальная обработка одежды (без механических воздействий)</li>
<li>Обработка изделий без риска их повреждения</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота до перекладины для вешалок: 1620 мм </li>
<li>Длина шкафа при открытых дверях: 1450 мм</li>
<li>Мощность:
<ul>
<li>Электродвигателей вентилятора: 0,07 кВт</li>
<li>Электронагревателя: 2,4 кВт</li>
</ul>
</li>
<li>Расход электроэнергии:
<ul>
<li>При продувке: 0,05 кВт</li>
<li>При озонировании за средний цикл: 0,06 кВт</li>
<li>При сушке за средний цикл: 1,85 кВт</li>
</ul>
</li>
<li>Диаметр выхлопного патрубка вентилятора: 125 мм</li>
<li>Производительность вентилятора по воздуху: 185 м<sup>3</sup>/час</li>
<li>Длина шнура питания: 2,5 м</li>
<li>Частота тока: 50 Гц</li>
</ul>",135452,220 В,0.15 кВт,800 мм,650 мм,1995 мм,Россия,0,https://entero.ru/manuals/157933/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg,390477,150 кг,600х800х1400 мм,Да,15 г/час
https://cdn.entero.ru/mp@2x/17/9f/179f7fc6f62c3a86f3ceed6cffcce383.jpg,Шкаф озонирующий Вязьма ВШО-1000С,Вега ВШО-1000С,434548,RUB,Нет,Вязьма,Профоборудование,Прачечное,Шкафы озонирующие,https://entero.ru/item/135608,"<p>Шкаф озонирующий <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/135608"">Вязьма ВШО-1000С</a> </b>используется в прачечных, образовательных, оздоровительных заведениях, производственных предприятиях, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах и воинских частях для гигиенической антибактериальной обработки и сушки белья, ткани, одежды, меха, обуви, амуниции и формы. Модель оснащена контроллером для установки программ озонирования, генератором озона, поворотными колесами и перекладиной для одежды.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Обработка изделий без риска их повреждения</li>
<li>Герметичное закрывание дверцы с блокировкой до окончания работы</li>
<li>Перекладина для развешивания одежды на вешалках-плечиках</li>
<li>Уничтожение вирусов, бактерий и запахов</li>
<li>Удаление озона в вентиляцию</li>
<li>Экологичность конструкции</li>
<li>Бесконтактная антибактериальная обработка одежды (без механических воздействий)</li>
<li>Обработка изделий без риска их повреждения</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота до перекладины для вешалок: 1620 мм </li>
<li>Длина шкафа при открытых дверях: 1450 мм</li>
<li>Мощность:
<ul>
<li>Электродвигатель вентилятора: 0,07 кВт</li>
<li>Электронагреватель: 1,8 кВт</li>
</ul>
</li>
<li>Расход электроэнергии:
<ul>
<li>При продувке: 0,05 кВт</li>
<li>При озонировании за средний цикл: 0,06 кВт</li>
<li>При сушке за средний цикл: 1,85 кВт</li>
</ul>
</li>
<li>Диаметр выхлопного патрубка вентилятора: 125 мм</li>
<li>Производительность вентилятора по воздуху: 185 м<sup>3</sup>/час</li>
<li>Длина шнура питания: 2,5 м</li>
<li>Частота тока: 50 Гц</li>
</ul>",135608,220 В,0.15 кВт,1060 мм,650 мм,1995 мм,Россия,0,https://entero.ru/manuals/157994/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg,,185 кг,600х100х1400 мм,Да,15 г/час
