Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Остаток,Старая цена
https://cdn.entero.ru/mp@2x/eb/f9/ebf90070f2042e2f06acf11250a9eb6c.jpg,Отделитель этикеток Hualian HL-102,Отделитель этикеток Hualian HL-102,63020,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Отделители этикеток,https://entero.ru/item/93635,"<p>Отделитель этикеток <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93635"">Hualian HL-102</a></b> используется на малых производственных площадках для механизации процесса отделения самоклеющейся этикетки от подложки. Модель оснащена счетчиком этикеток.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность: от 6 до 7 м/мин.</li>
<li>Длина этикетки: от 8 до 300 мм</li>
<li>Ширина этикетки: от 6 до 120 мм</li>
<li>Внутренний диаметр ролика: от 25 мм</li>
<li>Внешний диаметр ролика: до 250 мм</li>
<li>Напряжение: 220 В</li>
<li>Мощность: 0,05 кВт</li>
<li>Габариты: 370x280x280 мм</li>
<li>Вес: 6,5 кг</li>
</ul>",93635,0,
https://cdn.entero.ru/mp@2x/47/dd/47dde965c39523479d867cb86fba5484.jpg,Отделитель этикеток Hualian HL-102 с датером,Отделитель этикеток Hualian HL-102 с датером,87216,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Отделители этикеток,https://entero.ru/item/93636,"<p>Отделитель этикеток <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93636""><b class=""b"">Hualian HL-102</b></a> используется на малых производственных площадках для механизации процесса отделения самоклеющейся этикетки от подложки. Модель оснащена счетчиком этикеток и датером.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность: от 6 до 7 м/мин.</li>
<li>Длина этикетки: от 8 до 300 мм</li>
<li>Ширина этикетки: от 6 до 120 мм</li>
<li>Внутренний диаметр ролика: от 25 мм</li>
<li>Внешний диаметр ролика: до 250 мм</li>
<li>Напряжение: 220 В</li>
<li>Мощность: 0,05 кВт</li>
<li>Габариты: 370x280x280 мм</li>
<li>Вес: 6,5 кг</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",93636,0,90850
