Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Страна производства,Остаток,Файлы,Старая цена
https://cdn.entero.ru/mp@2x/4b/9d/4b9d0697c54b8b953b3ebff43080662e.jpg,Подогреватель полотенец Kocateq TW32A,Подогреватель полотенец Kocateq TW32A,15560,RUB,Да,Kocateq,Профоборудование,Оборудование для дезинфекции и очистки,Подогреватели полотенец,https://entero.ru/item/97924,"<p>Настольный подогреватель полотенец<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/97924"">Kocateq TW32A</a></b> используется на предприятиях общественного питания и торговли, в отелях и гостиницах. Модель оснащена цифровым термостатом для регулировки температуры и аварийным термостатом. Нижняя часть камеры выполнена из сплава алюминия, кассеты - из нержавеющего прута.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 камеры</li>
<li>2 распашные двери</li>
<li>Выдвижные кассеты для нагревания полотенец партиями</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от 60 до 80 °С</li>
<li>Аварийный термостат: 102 °С</li>
<li>Вместимость:
<ul>
<li>32 л</li>
<li>70-80 полотенец</li>
</ul>
</li>
<li>Напряжение: 220 В</li>
<li>Мощность: 0,32 кВт</li>
<li>Габариты: 500х400х625 мм</li>
</ul>",97924,,,,,,,0,https://entero.ru/manuals/278939/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20TW32A.pdf,
https://cdn.entero.ru/mp@2x/45/b3/45b3ce4aa6ee1c0319a779c5a27938b4.jpg;https://cdn.entero.ru/mp@2x/c7/30/c7305a9fa101935470ee3f07754eda4b.jpg,Подогреватель полотенец Kocateq TW08A,Подогреватель полотенец Kocateq TW08A,10815,RUB,Да,Kocateq,Профоборудование,Оборудование для дезинфекции и очистки,Подогреватели полотенец,https://entero.ru/item/113718,"<p>Подогреватель полотенец <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/113718"">Kocateq TW08A</a></b> используется на предприятиях общественного питания и торговли для подогрева влажных полотенец и салфеток перед подачей гостям, обеззараживания, предотвращения размножения и уничтожения различных микробов и бактерий на теплых полотенцах. Нижняя часть выполнена из сплава алюминия, защита - из металлической сетки.</p>

<p>В комплекте поставки входит выдвижная кассета из нержавеющего прута.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Функция стерилизации включается отдельной кнопкой</li>
<li>Эффективный и быстрый нагрев</li>
<li>1 камера с ультрафиолетом с защитой</li>
<li>1 откидная дверь</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем:
<ul>
<li>5 л</li>
<li>10-15 полотенец</li>
</ul>
</li>
<li>Температурный режим: от -10 до 70 °С</li>
<li>Аварийный термостат: 102 °С</li>
<li>Габариты в упаковке: 293х250х340 мм</li>
</ul>",113718,220 В,0.2 кВт,270 мм,250 мм,340 мм,Южная Корея,0,https://entero.ru/manuals/113104/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf;https://entero.ru/manuals/278937/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20TW08A.pdf,11505
https://cdn.entero.ru/mp@2x/87/0e/870ecae626311a5fee581ef9943cb53a.jpg;https://cdn.entero.ru/mp@2x/32/10/321017ed3632c7b0be45c5b975e4d71f.jpg,Подогреватель полотенец Kocateq TW16A,Подогреватель полотенец Kocateq TW16A,11466,RUB,Нет,Kocateq,Профоборудование,Оборудование для дезинфекции и очистки,Подогреватели полотенец,https://entero.ru/item/54065,"<p>Настольный подогреватель полотенец <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/54065"">Kocateq TW16A</a> </b>используется на предприятиях общественного питания и торговли для подогрева влажных полотенец и салфеток перед подачей гостям, обеззараживания, предотвращения размножения и уничтожения различных микробов и бактерий на теплых полотенцах. Модель оснащена цифровым термостатом для регулировки температуры и защитным термостатом. Нижняя часть камеры выполнена из сплава алюминия.</p>

<p>В комплект поставки входят выдвижные кассеты из нержавеющего прута.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Эффективный и быстрый нагрев</li>
<li>1 камера с ультрафиолетом</li>
<li>1 распашная дверь</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем: 16 л</li>
<li>Вместимость: 30-40 полотенец</li>
<li>Температурный режим: от 60 до 80 °С</li>
<li>Защитный термостат: 102 °С</li>
<li>Габариты: 460х348х308 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",54065,220 В,0.2 кВт,460 мм,348 мм,308 мм,Южная Корея,0,https://entero.ru/manuals/111304/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf;https://entero.ru/manuals/278938/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20TW16A.pdf,
https://cdn.entero.ru/mp@2x/37/8f/378f3ba391d329ede1c3e3f4d53ef7f4.jpg;https://cdn.entero.ru/mp@2x/f3/2a/f32ab95cf59a49af4d15f03da8eaa955.jpg;https://cdn.entero.ru/mp@2x/0f/2e/0f2edd41535c148c8507ed91a5586e88.jpg;https://cdn.entero.ru/mp@2x/9b/1c/9b1c54da2459148103bbac93e792a4ba.jpg;https://cdn.entero.ru/mp@2x/f5/94/f594f0456e265df524a540102e4a7958.jpg,Подогреватель полотенец Kocateq TW46A,Подогреватель полотенец Kocateq TW46A,18539,RUB,Нет,Kocateq,Профоборудование,Оборудование для дезинфекции и очистки,Подогреватели полотенец,https://entero.ru/item/77130,"<p>Подогреватель полотенец <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/77130"">Kocateq TW46A</a></b> используется на предприятиях общественного питания и торговли для подогрева влажных полотенец и салфеток перед подачей гостям, обеззараживания, предотвращения размножения и уничтожения различных микробов и бактерий на теплых полотенцах.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Эффективный и быстрый нагрев</li>
<li>1 распашная дверь</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 46 л</li>
<li>Габариты в упаковке: 720х380х500 мм</li>
</ul>",77130,220 В,0.4 кВт,650 мм,290 мм,450 мм,Южная Корея,0,https://entero.ru/manuals/111308/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf;https://entero.ru/manuals/278940/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20TW46A.pdf,19934
https://cdn.entero.ru/mp@2x/e8/6d/e86d47148f7941d7962dbd59dfd2f4e5.jpg,Подогреватель полотенец Kocateq TW23A,Подогреватель полотенец Kocateq TW23A,12854,RUB,Нет,Kocateq,Профоборудование,Оборудование для дезинфекции и очистки,Подогреватели полотенец,https://entero.ru/item/47866,"<p>Настольный подогреватель полотенец <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/47866"">Kocateq TW23A</a> </b>используется на предприятиях общественного питания и торговли для подогрева влажных полотенец и салфеток перед подачей гостям, обеззараживания, предотвращения размножения и уничтожения различных микробов и бактерий на теплых полотенцах. Модель оснащена цифровым термостатом для регулировки температуры и защитным термостатом. Нижняя часть камеры выполнена из сплава алюминия.</p>

<p>В комплект поставки входят выдвижные кассеты из нержавеющего прута.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Эффективный и быстрый нагрев</li>
<li>1 камера с ультрафиолетом</li>
<li>1 распашная дверь</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем: 23 л</li>
<li>Вместимость: 50-60 полотенец</li>
<li>Температурный режим: от 60 до 80 °С</li>
<li>Защитный термостат: 102 °С</li>
<li>Габариты в упаковке: 510х350х430 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",47866,220 В,0.18 кВт,365 мм,495 мм,405 мм,Южная Корея,0,https://entero.ru/manuals/111303/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf;https://entero.ru/manuals/278936/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20TW23A.pdf,13531
