Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Вес (с упаковкой),Диаметр рулона
https://cdn.entero.ru/mp@2x/63/88/6388741a869514f58a97bce1abf22958.jpg,Этикетировщик Hualian HL-50,Этикетировщик Hualian HL-50,98242,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/93571,"<p>Полуавтоматический этикетировщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93571"">Hualian HL-50</a></b> используется на производственных площадках, предприятиях пищевой, фармацевтической, химической, косметической промышленности для нанесения самоклеющейся этикетки на круглую тару. Оператор помещает продукт на валики, затем закрывает упор и аппарат автоматически прокатывает, одновременно нанося этикетку на продукт. Валики оснащены электроприводом.</p>

<p>Термопринтер в комплект поставки не входит и приобретается отдельно.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность: от 0 до 40 шт/мин.</li>
<li>Погрешность: +/- 1 мм</li>
<li>Ширина этикетки: от 10 до 150 мм</li>
<li>Длина этикетки: от 10 до 150 мм</li>
<li>Диаметр втулки: 76 мм</li>
<li>Диаметр бутылки: от 10 до 150 мм</li>
<li>Напряжение: 220 В</li>
<li>Мощность: 0,5 кВт</li>
<li>Габариты: 650x450x450 мм</li>
<li>Вес: 40 кг</li>
</ul>",93571,,,,,,,,,,0,103413,,,,,
https://cdn.entero.ru/mp@2x/cd/d1/cdd1d8de8ad1d17f5fde99534e2ae333.jpg;https://cdn.entero.ru/mp@2x/4d/03/4d0335f552cc483a842c8e5ec0bf193b.jpg;https://cdn.entero.ru/mp@2x/9d/4e/9d4e234b3aee62dec9f64973df421de1.jpg;https://cdn.entero.ru/mp@2x/40/aa/40aa5b246e2584ef4a2aa5cf503c72d8.jpg;https://cdn.entero.ru/mp@2x/f6/c4/f6c471cf1ccfc0b202a539a2549b6947.jpg;https://cdn.entero.ru/mp@2x/18/e5/18e5dcc9b8b442e436848c9c9bc06a39.jpg;https://cdn.entero.ru/mp@2x/6d/e0/6de073fd71e0027ebc600a8b7a5f93c8.jpg;https://cdn.entero.ru/mp@2x/ba/dd/badd2d95f23f236fc0dfd007221edb18.jpg;https://cdn.entero.ru/mp@2x/c8/d8/c8d824016cf860f7b994d266b1268d08.jpg;https://cdn.entero.ru/mp@2x/7a/ba/7aba677a5f199729758ff6e60115c4cc.jpg;https://cdn.entero.ru/mp@2x/7f/6c/7f6cc96bc7ea15f5c48895ee7bd0ce8a.jpg,Этикетировщик МАГИКОН MPFL-60A,00-00047305,157361,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/258330,"<p>Полуавтоматический этикетировщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/258330"">МАГИКОН MPFL-60A</a></b> используется на производственных площадках, предприятиях пищевой, фармацевтической, химической, косметической промышленности для нанесения самоклеющейся этикетки на плоские предметы. Оператор помещает продукт на плоскую поверхность, затем закрывает упор и аппарат автоматически прокатывает, одновременно нанося этикетку на продукт. Модель оснащена встроенным принтером даты. Корпус выполнен из нержавеющей стали и анодированного алюминия.</p>

<p>В комплект поставки входит компрессорный насос.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 20 до 40 шт/мин</li>
<li>Погрешность: +/- 1 мм</li>
<li>Давление воздуха: от 0,4 до 0,6 мПa</li>
<li>Ширина этикетки: от 10 до 80 мм </li>
<li>Высота этикетки: от 10 до 140 мм</li>
</ul>",258330,,220 В,0.35 кВт,300 мм,200 мм,400 мм,,,,0,,33 кг,,Китай,,от 75 до 300 мм
https://cdn.entero.ru/mp@2x/1c/ee/1ceeabe9f6263dd0786d09f7eb1b5afb.jpg,Этикетировщик Hualian HL-816 датчик прозрачной этикетки,Этикетировщик Hualian HL-816 датчик прозрачной этикетки,624475,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/355478,"<p>Этикетировщик плоской тары <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/355478""><b class=""b"">Hualian HL-816</b></a> используется для автоматического нанесения этикеток на поверхность товара в производственных цехах и на предприятиях. Модель может быть применена для горизонтальных и вертикальных упаковочных машин, работает в режиме конвейера.</p>

<p>В комплект поставки входит рама.</p>

<p><b>Особенности:</b></p>

<ul>
<li>С датером</li>
<li>Настольная модель</li>
<li>Прозрачная этикетка</li>
<li>Индивидуальные настройки для параметров производства</li>
<li>Высокая производительность</li>
<li>Равномерное натяжения и высокая точность нанесения этикетки</li>
<li>Вариативность размера этикетки</li>
<li>Простая регулировка этикетировочной головки</li>
<li>Синхронное отслеживание скорости этикетирования и скорости транспортировки с помощью панели управления</li>
<li>Скорость этиктирования в зависимости от размеров продукта</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость этикетирования: от 80 до 150 шт./мин.</li>
<li>Количество:
<ul>
<li>Строки: 4</li>
<li>Символы в строке: 10</li>
</ul>
</li>
<li>Точность этикетировки: ±1 мм</li>
<li>Размер этикетки:
<ul>
<li>Длина: от 20 до 300 мм</li>
<li>Ширина: от 20 до 120 мм</li>
</ul>
</li>
<li>Размер символов: 2х3 или 2х4 мм</li>
<li>Напряжение: 50 Гц</li>
</ul>",355478,,220 В,,600 мм,350 мм,600 мм,,,,0,,50 кг,Китай,Китай,,
https://cdn.entero.ru/mp@2x/04/4c/044cf1155666c32ea1745a3d0ba402d0.jpg,Этикетировщик МАГИКОН PFL-170,00-00048239,1010388,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/359375,"<p>Автоматический универсальный этикетировщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/359375"">МАГИКОН PFL-170</a></b> используется на производственных площадках, предприятиях пищевой, фармацевтической, химической, косметической промышленности для одностороннего и двустороннего (спереди/сзади) нанесения самоклеящейся этикетки на тару круглой и квадратной формы с плоской поверхностью. Модель оснащена сенсорным экраном Touch Screen с понятным управлением. Для двустороннего нанесения рулоны с этикетками диаметром не более 270 мм размещаются по бокам по ходу движения тары - слева и справа.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная высота этикетки: 150 мм</li>
<li>Максимальная длина этикетки: 300 мм</li>
<li>Максимальный внешний диаметр рулона с этикетками: 270 мм</li>
<li>Скорость подачи этикетки: от 25 до 50 шт./мин.</li>
</ul>",359375,,220 В,2.3 кВт,1800 мм,1408 мм,1310 мм,280 кг,1,1900x1100x1350 мм,0,,240 кг,Китай,Китай,,270 мм
https://cdn.entero.ru/mp@2x/8e/36/8e36ee47b37c55d614ae82cbee2b2583.jpg,Этикет-пистолет Motex MX-2616,МХ 2616,0,RUB,Нет,Motex,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/18579,"<p>Этикет-пистолет <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/18579"">Motex MX-2616</a></b> предназначен для печати и наклеивания этикеток на продукцию, нанесения цены, даты, номера и других данных. Модель оснащена 10-ти разрядной двустрочной печатью и механическим приводом. Корпус выполнен из пластмассы.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество символов: 10</li>
<li>Размеры этикетки: 26х16 мм</li>
</ul>",18579,,,,,,,,,,0,,0.5 кг,,,0.6 кг,
https://cdn.entero.ru/mp@2x/1c/47/1c47129d9e04eb99b9790e58f9f43c75.jpg,Аппликатор самоклеящихся этикеток МАГИКОН MAG NY-816,Magikon MAG NY-816,735246,RUB,Нет,,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/198386,"<p>Аппликатор самоклеящихся этикеток <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/198386"">МАГИКОН MAG NY-816</a> </b>используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для печати товарных этикеток. Изделие предназначено для интеграции с вертикальными или горизонтальными упаковочными машинами.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр втулки: 76 мм</li>
<li>Скорость нанесения этикетки: 150 шт/мин.</li>
<li>Ширина этикетки: от10 до 110 мм </li>
<li>Длина этикетки: от 20 до 400 мм</li>
<li>Погрешность нанесения этикетки: ±1 мм</li>
<li>Габариты в упаковке: 670х480х660 мм</li>
</ul>",198386,,220 В,0.28 кВт,560 мм,340 мм,550 мм,,,,0,773943,40 кг,,Китай,,330 мм
https://cdn.entero.ru/mp@2x/74/ff/74ff48bd253fe6bc3b6fe8b015b1ab9a.jpg,Этикетировщик МАГИКОН MPFL-50A с датером,00000002238,95684,RUB,Нет,,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/206418,"<p>Полуавтоматический этикетировщик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/206418""><b class=""b"">МАГИКОН PFL-50A</b></a> используется на производственных площадках, предприятиях пищевой, фармацевтической, химической, косметической промышленности для нанесения самоклеющейся этикетки на круглую тару. Модель оснащена принтером даты, который наносит оттиски с информацией на этикетку. Оператор помещает продукт на валики, затем закрывает упор и аппарат автоматически прокатывает, одновременно нанося этикетку на продукт.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Бесступенчатая регулировка скорости</li>
<li>Литеры:
<ul>
<li>Арабские цифры</li>
<li>Английские буквы</li>
<li>Китайские иероглифы</li>
</ul>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 3 до 15 м/мин.</li>
<li>Погрешность: +/- 0,5 мм</li>
<li>Длина этикетки: от 10 мм</li>
<li>Диаметр бутылки: от 10 до 120 мм</li>
<li>​Площадь печати на этикетке:
<ul>
<li>Одна строка: макс. 4х35, 15 знаков</li>
<li>Две строки: макс. 8х35, 30 знаков</li>
<li>Три строки: макс. 12х35, 45 знаков</li>
</ul>
</li>
<li>​Лента горячего тиснения:
<ul>
<li>Ширина: 35 мм</li>
<li>Длина: 100 м</li>
<li>Диаметр рулона: 25,4 мм </li>
</ul>
</li>
</ul>",206418,трехстрочный,220 В,,350 мм,540 мм,460 мм,,,,0,101791,35 кг,,Китай,,от 76 до 250 мм
https://cdn.entero.ru/mp@2x/fb/18/fb1809fbab408e15d4200b2171a296e3.jpg,Этикет-пистолет Mertech MX-2612 NEW,2019,2345,RUB,Нет,,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/169415,"<p>Этикет-пистолет <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/169415"">Mertech MX-2612 NEW</a> </b>используется на предприятиях торговли и услуг, в заведения общепита, в логистических компаниях для печати товарных этикеток. Модель оснащена вертикальной регулировкой высоты печатной строки.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер этикетки: 26х12 мм</li>
<li>Количество строк: 1</li>
</ul>

<p style=""margin-left: 40px;""> </p>

<p> </p>",169415,однострочный,,,250 мм,137 мм,52 мм,,,,0,3303,0.37 кг,,,,80 мм
https://cdn.entero.ru/mp@2x/0b/31/0b3167b3c96c8904b33fcc1f4a3d363a.jpg;https://cdn.entero.ru/mp@2x/fc/7a/fc7a3980af0d69ccad9396bfded5b8ad.jpg,Этикетировщик МАГИКОН PFL-160,00-00047475,348540,RUB,Нет,,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/359374,"<p>Автоматический этикетировщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/359374"">МАГИКОН PFL-160</a></b> используется на производственных площадках, предприятиях пищевой, фармацевтической, химической, косметической промышленности для нанесения самоклеящейся этикетки на плоские поверхности. Модель оснащена Touch Screen экраном с понятным управлением. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина этикетки: от 30 до 300 мм</li>
<li>Ширина этикетки: от 15 до 150 мм</li>
<li>Максимальный внешний диаметр рулона с этикетками: 250 мм</li>
<li>Минимальный внутренний диаметр рулона: 76 мм</li>
<li>Точность нанесения этикетки: ±1,0 мм</li>
</ul>",359374,,220 В,0.45 кВт,1150 мм,1050 мм,850 мм,,,,0,366884,100 кг,Китай,Китай,,250 мм
https://cdn.entero.ru/mp@2x/85/76/857634432ad41a172a93dd305c76c682.jpg,Этикетировщик МАГИКОН MPFL‑150D,Этикетировщик МАГИКОН MPFL‑150D,455900,RUB,Нет,,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/377728,"<p>Автоматический этикетировщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/377728"">МАГИКОН MPFL‑150D</a></b> используется на предприятиях общественного питания и торговли для нанесения самоклеющейся этикетки на круглые поверхности: банки, бутылки. Модель оснащена сенсорным дисплеем с русифицированным интерфейсом и термотрансферным встроенным принтером даты. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят сменные символы.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Работает с готовыми самоклеющимися этикетками</li>
<li>Нанесение как частичной, так и полной круговой этикетки</li>
<li>При размотке этикетки на неё проставляется дата изготовления, номер партии, серии или другая информация</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 20 до 40 шт/мин</li>
<li>Давление воздуха: 0.4 – 0.6 мПа</li>
<li>Точность нанесения этикетки (мм.): ±1.</li>
<li>Ширина этикетки: от 25 до 150 мм </li>
<li>Длина этикетки: от 25 до 350 мм</li>
<li>Диаметр бутылки: от 20 до 100 мм</li>
<li>Внешний диаметр рулона: 250 мм</li>
<li>Диаметр втулки: 75 мм</li>
</ul>",377728,,220 В,1 кВт,1320 мм,800 мм,800 мм,,,,0,,,,Китай,,250 мм
https://cdn.entero.ru/mp@2x/2f/6f/2f6fc059ef587893b995439f6ced148a.jpg,"Этикет-пистолет P.L. Proff Cuisine MX-5500 однострочный, 8 символов, 21,5*12 мм",MX-5500,1431,RUB,Нет,,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/369116,"<p>Этикет-пистолет маркировочный <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/369116""><b class=""b"">P.L. Proff Cuisine MX-5500 </b></a>используется на предприятиях торговли и услуг, в заведениях общепита, в логистических компаниях для печати товарных этикеток. Корпус выполнен из прочного пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Современный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина одной строчки: 8 символов</li>
<li>Площадь для печати: 21,5х12 мм</li>
<li>Цвет: красный</li>
</ul>",369116,однострочный,,,,,,,,,0,,,,Китай,,
https://cdn.entero.ru/mp@2x/6d/75/6d75ec2208973b6be9d311d693ae51e8.jpg,Этикет-пистолет Motex МХ-5500,Этикет-пистолет Motex МХ-5500,2703,RUB,Нет,Motex,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/18580,"<p>Этикет-пистолет <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/18580"">Motex МХ-5500</a></b> предназначен для печати и наклеивания этикеток на продукцию, нанесения цены, даты и других данных. Модель оснащена 8-ми разрядной однострочной прямоугольной печатью и механическим приводом. Корпус выполнен из пластмассы.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размеры ленты: 21х12 мм</li>
<li>Вес: 0,586 кг</li>
</ul>",18580,,,,,,,,,,0,,,,,,
https://cdn.entero.ru/mp@2x/ab/cb/abcb89f92fb5b644600f759edfca4605.jpg,Этикетировщик Hualian HL-816,Этикетировщик Hualian HL-816,660744,RUB,Нет,Hualian,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/355471,"<p>Этикетировщик плоской тары <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/355471"">Hualian HL-816</a></b> используется для автоматического нанесения этикеток на поверхность товара в производственных цехах и на предприятиях. Модель может быть применена для горизонтальных и вертикальных упаковочных машин, работает в режиме конвейера.</p>

<p>В комплект поставки входит рама.</p>

<p><b>Особенности:</b></p>

<ul>
<li>С датером</li>
<li>Настольная модель</li>
<li>Индивидуальные настройки для параметров производства</li>
<li>Высокая производительность</li>
<li>Равномерное натяжения и высокая точность нанесения этикетки</li>
<li>Вариативность размера этикетки</li>
<li>Простая регулировка этикетировочной головки</li>
<li>Синхронное отслеживание скорости этикетирования и скорости транспортировки с помощью панели управления</li>
<li>Скорость этиктирования в зависимости от размеров продукта</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость этикетирования: от 80 до 150 шт./мин.</li>
<li>Количество:
<ul>
<li>Строки: 4</li>
<li>Символы в строке: 10</li>
</ul>
</li>
<li>Точность этикетировки: ±1 мм</li>
<li>Размер этикетки:
<ul>
<li>Длина: от 20 до 300 мм</li>
<li>Ширина: от 20 до 120 мм</li>
</ul>
</li>
<li>Размер символов: 2х3 или 2х4 мм</li>
<li>Напряжение: 50 Гц</li>
</ul>",355471,,220 В,,600 мм,350 мм,600 мм,,,,0,718200,50 кг,Китай,Китай,,
https://cdn.entero.ru/mp@2x/30/56/30569611dbc6819bbe0dd618b8d722fb.jpg,Этикет-пистолет Motex MTX-05R,Этикет-пистолет Motex MTX-05R,0,RUB,Нет,Motex,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/18578,"<p>Игольчатый этикет-пистолет <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/18578"">Motex MTX-05R</a></b> предназначен для крепления ярлыков и ценников на верхнюю одежду, обувь и различные изделия из плотных тканей. Модель оснащена механическим приводом. Корпус выполнен из пластмассы.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Диаметр прокалывающей иглы: 2 мм</li>
<li>Длина прокалывающей иглы: 21 мм</li>
<li>Вес: 0,39 кг</li>
</ul>",18578,,,,,,,,,,0,,,,,,
