Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель
https://cdn.entero.ru/mp@2x/5e/7a/5e7afa46d43a420e135f15788f8e2b60.jpg,Ларь для овощей KAYMAN ЛО-211/1006,Ларь для овощей KAYMAN ЛО-211/1006,27783,RUB,Нет,KAYMAN,Профоборудование,Нейтральное,Лари для овощей,https://entero.ru/item/156189,"<p>Ларь для хранения овощей <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/156189"">KAYMAN ЛО-211/1006</a> </b>используется на предприятиях общественного питания и торговли. Каркас выполнен из нержавеющей стали AISI 430.</p>",156189,1000 мм,600 мм,850 мм,,,,0,https://entero.ru/manuals/403489/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,29556,,33.5 кг,,Россия
https://cdn.entero.ru/mp@2x/f2/f9/f2f9f5c49b7d599721dfd97fd9d79bb5.jpg,Ларь ЦМИ ЛХО-105/63 (1050х630х850 мм) окраш.,ЛХО-105/63,26960,RUB,Нет,ЦМИ,Профоборудование,Нейтральное,Лари для овощей,https://entero.ru/item/232975,"<p>Ларь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/232975""><b class=""b"">ЦМИ ЛХО-105/63 </b></a>предназначен для хранения овощей на предприятиях общественного питания и торговли. Модель имеет перфорацию передней, задней и боковых стенок. Корпус выполнен из окрашенной стали.</p>",232975,1050 мм,630 мм,850 мм,,,,0,,28083,,,,Россия
https://cdn.entero.ru/mp@2x/ea/48/ea480b7af8c4eb10849c2d485ebb1a88.jpg,Ларь для овощей ТММ ЛО 1000х600х870,Ларь для овощей ТММ ЛО 1000х600х870,29003,RUB,Нет,ТММ,Профоборудование,Нейтральное,Лари для овощей,https://entero.ru/item/82231,"<p>Ларь для хранения овощей <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/82231"">ТММ ЛО 1000х600х870</a></b> используется на предприятиях общественного питания и торговли. Модель полностью выполнена из нержавеющей стали.</p>

<p>Возможно изготовление по чертежам и эскизам.</p>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",82231,1000 мм,600 мм,870 мм,,,,0,,,,,,Россия
https://cdn.entero.ru/mp@2x/d7/b3/d7b3280a4c82375e1fd7d64c09f83c96.jpg,Ларь для овощей ТММ ЛО 1200х500х870,Ларь для овощей ТММ ЛО 1200х500х870,30182,RUB,Нет,ТММ,Профоборудование,Нейтральное,Лари для овощей,https://entero.ru/item/82229,"<p>Ларь для хранения овощей <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/82229"">ТММ ЛО 1200х500х870</a></b> используется на предприятиях общественного питания и торговли. Модель полностью выполнена из нержавеющей стали.</p>

<p>Возможно изготовление по чертежам и эскизам.</p>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",82229,1200 мм,500 мм,870 мм,,,,0,,,,,,Россия
https://cdn.entero.ru/mp@2x/93/a7/93a7fc2ece09a83421623c42f138c072.jpg,Ларь для овощей ТММ ЛО 1500х600х870,Ларь для овощей ТММ ЛО 1500х600х870,39049,RUB,Нет,ТММ,Профоборудование,Нейтральное,Лари для овощей,https://entero.ru/item/82233,"<p>Ларь для хранения овощей <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/82233"">ТММ ЛО 1500х600х870</a></b> используется на предприятиях общественного питания и торговли. Модель полностью выполнена из нержавеющей стали.</p>

<p>Возможно изготовление по чертежам и эскизам.</p>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",82233,1500 мм,600 мм,870 мм,,,,0,,41988,,,,Россия
https://cdn.entero.ru/mp@2x/58/dc/58dceb54aad6a9fd8c12340a535a7a3b.jpg,Ларь для овощей Mecon Norma Inox ЛДОн 1000х600х800 мм,ЛДО-NIn1006080,19714,RUB,Нет,,Профоборудование,Нейтральное,Лари для овощей,https://entero.ru/item/347138,"<p>Ларь для хранения овощей <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/347138""><b class=""b"">Mecon Norma Inox ЛДОн </b></a>используется на предприятиях общественного питания и торговли. Модель оснащена распашной дверцей, ножками из гнутого углового профиля, регулируемыми опорами и перфорацией передней и задней стенок. Разборный каркас выполнен из нержавеющей стали, уголки и панели - из листового металла, ручка и петли - из пластика, опоры - из полиамида.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали:
<ul>
<li>Уголок: 1,5 мм</li>
<li>Стенки и крыша: 0,8 мм</li>
</ul>
</li>
<li>Объем упаковки: 0,53 м³</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",347138,1000 мм,600 мм,800 мм,,,,0,https://entero.ru/manuals/426316/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Mecon%20Norma%20Inox%20%D0%9B%D0%94%D0%9E%D0%BD.pdf;https://entero.ru/manuals/426320/%D0%A0%D0%B5%D0%BA%D0%BE%D0%BC%D0%B5%D0%BD%D0%B4%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BF%D0%BE%20%D1%83%D1%85%D0%BE%D0%B4%D1%83.pdf,20972,,,Россия,Россия
https://cdn.entero.ru/mp@2x/26/d4/26d40d2a9c413966a23b1bbffcc7c453.jpg,Ларь для овощей Mecon Profi Inox ЛДОп 1200х600х800 мм,ЛДО-РIn1206080,24819,RUB,Нет,,Профоборудование,Нейтральное,Лари для овощей,https://entero.ru/item/347144,"<p>Ларь для хранения овощей <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/347144""><b class=""b"">Mecon Profi Inox ЛДОп </b></a>используется на предприятиях общественного питания и торговли. Модель оснащена распашной дверцей, ножками из профильной трубы, регулируемыми опорами и перфорацией передней и задней стенок. Разборный каркас выполнен из нержавеющей стали, уголки и панели - из листового металла, ручка и петли - из пластика, опоры - из полиамида.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали стенок и крышки: 0,8 мм</li>
<li>Размер профильной трубы: 40х40 мм</li>
<li>Объем упаковки: 0,58 м³</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",347144,1200 мм,600 мм,800 мм,,,,0,https://entero.ru/manuals/426332/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Mecon%20Norma%20Inox%20%D0%9B%D0%94%D0%9E%D0%BF.pdf;https://entero.ru/manuals/426333/%D0%A0%D0%B5%D0%BA%D0%BE%D0%BC%D0%B5%D0%BD%D0%B4%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BF%D0%BE%20%D1%83%D1%85%D0%BE%D0%B4%D1%83.pdf,,,,Россия,Россия
https://cdn.entero.ru/mp@2x/12/ab/12ab6465dad9e31d81922986359413b4.jpg,Ларь для овощей ТММ ЛО 1000х500х870,Ларь для овощей ТММ ЛО 1000х500х870,26426,RUB,Нет,ТММ,Профоборудование,Нейтральное,Лари для овощей,https://entero.ru/item/82228,"<p>Ларь для хранения овощей <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/82228"">ТММ ЛО 1000х500х870</a></b> используется на предприятиях общественного питания и торговли. Модель полностью выполнена из нержавеющей стали.</p>

<p>Возможно изготовление по чертежам и эскизам.</p>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",82228,1000 мм,500 мм,870 мм,,,,0,,,,,Россия,Россия
https://cdn.entero.ru/mp@2x/ed/76/ed76b20354a9a1a58b361bb067e24539.jpg;https://cdn.entero.ru/mp@2x/3b/75/3b75b7988b4b529e68dacb1244170fa9.jpg;https://cdn.entero.ru/mp@2x/96/4e/964e4aa488522e92da1c4b5cd18bc2d5.jpg;https://cdn.entero.ru/mp@2x/79/f8/79f82b6e5771d16276e72d44208f12ba.jpg;https://cdn.entero.ru/mp@2x/52/b8/52b833898604f618b2796d94a5e58336.jpg;https://cdn.entero.ru/mp@2x/a2/cd/a2cde7996f57ee6ce308c17642976b5f.jpg,Ларь для овощей Restoinox ЛО-12/6,Ларь для овощей Restoinox ЛО-12/6,29742,RUB,Нет,Restoinox,Профоборудование,Нейтральное,Лари для овощей,https://entero.ru/item/151230,"<p>Ларь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/151230"">Restoinox ЛО-12/6</a></b> предназначен для хранения овощей на предприятиях общественного питания и торговли, обеспечивает компактное и аккуратное хранение овощей всех типов, устанавливается в темном и сухом помещении. Корпус выполнен из нержавеющей стали AISI 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 секции, разделенные между собой перегородкой</li>
<li>Конструкция разборная</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Толщина стенок: 1 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",151230,1200 мм,600 мм,900 мм,54 кг,1,1210x610x910 мм,0,https://entero.ru/manuals/509303/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,30981,,,,Россия
https://cdn.entero.ru/mp@2x/83/66/8366a6cfb5a0a83daa88bb7235b129a2.jpg,Ларь для овощей Mecon Base ЛДОб 1000х600х800 мм,ЛДО-B1006080,12935,RUB,Нет,,Профоборудование,Нейтральное,Лари для овощей,https://entero.ru/item/347135,"<p>Ларь для хранения овощей <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/347135""><b class=""b"">Mecon ЛДОб Base </b></a>используется на предприятиях общественного питания и торговли. Модель оснащена распашной дверцей, ножками из гнутого углового профиля, регулируемыми опорами и перфорацией передней и задней стенок. Разборный каркас выполнен из оцинкованной стали, уголки и панели - из листового металла, ручка и петли - из пластика, опоры - из полиамида.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали:
<ul>
<li>Уголок: 1,5 мм</li>
<li>Стенки и крыша: 0,8 мм</li>
</ul>
</li>
<li>Размер уголка: 40х40 мм</li>
<li>Объем упаковки: 0,53 м³</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",347135,1000 мм,600 мм,800 мм,,,,0,https://entero.ru/manuals/426306/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Mecon%20Base%20%D0%9B%D0%94%D0%9E%D0%B1.pdf;https://entero.ru/manuals/426307/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Mecon%20Base%20%D0%9B%D0%94%D0%9E%D0%B1.pdf;https://entero.ru/manuals/426308/%D0%A0%D0%B5%D0%BA%D0%BE%D0%BC%D0%B5%D0%BD%D0%B4%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BF%D0%BE%20%D1%83%D1%85%D0%BE%D0%B4%D1%83.pdf,14060,,,Россия,Россия
