Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Страна-производитель,Вместимость,Длина скобы
https://cdn.entero.ru/mp@2x/30/31/3031d16da31ecadede822df1ad9ca0f6.jpg,Степлер Mainpack Industrial S-550-M,Степлер Mainpack Industrial S-550-M,0,RUB,Нет,Mainpack Industrial,Профоборудование,Фасовочно-упаковочное,Степлеры,https://entero.ru/item/79700,"<p>Механический степлер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://m.entero.ru/item/79700"">Mainpack Industrial S-550-M</a> </b>используется для запечатывания боковин гофротары на предприятиях различных направлений. Модель отлично подходит для работы в труднодоступных местах, т.к. не требует источника электричества или пневматики. Оборудование оснащено ножной педалью для активации работы.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер скоб:
<ul>
<li>Длина ножек: 8 / 12 / 15 / 18 мм</li>
<li>Расстояние между ножками: 16 мм</li>
</ul>
</li>
<li>Длина стрелы: 550 мм</li>
</ul>",79700,механический,910 мм,600 мм,1245 мм,,,,0,,,60 кг,Тайвань,,от 8 до 18 мм
https://cdn.entero.ru/mp@2x/7d/27/7d275dc76e2c83404d97284266cad4cf.jpg,Степлер Mainpack Industrial SP50-10B-A,Степлер Mainpack Industrial SP50-10B-A,41906,RUB,Нет,Mainpack Industrial,Профоборудование,Фасовочно-упаковочное,Степлеры,https://entero.ru/item/83323,"<p>Механический степлер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83323"">Mainpack Industrial SP50-10B-A</a> </b>используется для запечатывания верхних створок гофротары на предприятиях различных направлений. Модель отлично подходит для работы в труднодоступных местах, т.к. не требует источника электричества или пневматики. Оборудование оснащено наковальней для коробок средних размеров и используется со скобами SB-10, SB-13, SB-16.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Мощный боек</li>
<li>Быстрая смена скоб</li>
<li>Прочная конструкция</li>
<li>Небольшой вес</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Потребление воздуха: 1,32 л/цикл</li>
<li>Рабочее давление: от 5 до 7 атм</li>
<li>Расстояние между ножками: 14 мм</li>
<li>Ширина скобы: 2,6 мм</li>
</ul>",83323,пневматический,55 мм,370 мм,240 мм,,,,0,https://entero.ru/manuals/298463/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Mainpack%20Industrial%20SP50-10B-A.pdf,,2.25 кг,Тайвань,100 шт.,от 9.5 до 15.8 мм
https://cdn.entero.ru/mp@2x/1c/59/1c5965a6e7c582e14495c37a17975508.jpg,Скобы для степлера Mainpack Industrial SB103020-12 (2500 шт),Скобы для степлера Mainpack Industrial SB103020-12 (2500 шт),2238,RUB,Да,Mainpack Industrial,Профоборудование,Фасовочно-упаковочное,Степлеры,https://entero.ru/item/332325,"<p>Скобы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/332325""><b class=""b"">SB103020-12</b></a> используется совместно со степлерами Mainpack Industrial <a href=""https://entero.ru/item/83323"">SP50-10B-A</a> для запечатывания верхних створок гофротары на предприятиях различных направлений. </p>

<p><b class=""o"">Внимание! Скобы продаются только в комплекте со степлером!</b></p>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество в упаковке: 2500 шт</li>
<li>Длина ножек: 12 мм</li>
</ul>",332325,,,,,,,,0,,2696,,,,
https://cdn.entero.ru/mp@2x/bf/0c/bf0c81c84ee486d01bb670aa2b3a5c39.jpg,Скобы для степлера Mainpack Industrial SB103020-16 (2500 шт),Скобы для степлера Mainpack Industrial SB103020-16 (2500 шт),1073,RUB,Да,Mainpack Industrial,Профоборудование,Фасовочно-упаковочное,Степлеры,https://entero.ru/item/332326,"<p>Скобы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/332326""><b class=""b"">SB103020-16</b></a> используется совместно со степлерами Mainpack Industrial <a href=""https://entero.ru/item/83323"">SP50-10B-A</a> для запечатывания верхних створок гофротары на предприятиях различных направлений. </p>

<p><b class=""o"">Внимание! Скобы продаются только в комплекте со степлером!</b></p>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество в упаковке: 2500 шт</li>
<li>Длина ножек: 16 мм</li>
</ul>",332326,,,,,,,,0,,,,,,
https://cdn.entero.ru/mp@2x/d5/c3/d5c386cc46cd86ca5d1152026ad9a585.jpg,Скобы для степлера Mainpack Industrial SB103020-10 (2500 шт),Скобы для степлера Mainpack Industrial SB103020-10 (2500 шт),725,RUB,Да,Mainpack Industrial,Профоборудование,Фасовочно-упаковочное,Степлеры,https://entero.ru/item/332324,"<p>Скобы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/332324""><b class=""b"">SB103020-10</b></a> используется совместно со степлерами Mainpack Industrial <a href=""https://entero.ru/item/83323"">SP50-10B-A</a> для запечатывания верхних створок гофротары на предприятиях различных направлений. </p>

<p><b class=""o"">Внимание! Скобы продаются только в комплекте со степлером!</b></p>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество в упаковке: 2500 шт</li>
<li>Длина ножек: 10 мм</li>
</ul>",332324,,,,,,,,0,,,,,,
https://cdn.entero.ru/mp@2x/cc/52/cc521e144d582832da035bb2aa36f4f3.jpg,Скоба Mainpack Industrial HF -16 сnk,Скоба Mainpack Industrial HF -16 сnk,2460,RUB,Да,Mainpack Industrial,Профоборудование,Фасовочно-упаковочное,Степлеры,https://entero.ru/item/254305,"<p>Скоба <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/254305""><b class=""b"">Mainpack Industrial HF-16 cnk</b></a> используется совместно со степлерами для запечатывания верхних створок гофротары на предприятиях различных направлений.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество в упаковке: 4320 шт</li>
</ul>",254305,,,,,,,,0,,3154,,,,
https://cdn.entero.ru/mp@2x/70/86/7086374b06f52ef226fd91f6d811dd88.jpg,Скобы для степлера Mainpack Industrial 73/12,Скобы для степлера Mainpack Industrial 73/12,683,RUB,Да,Mainpack Industrial,Профоборудование,Фасовочно-упаковочное,Степлеры,https://entero.ru/item/285625,"<p>Скобы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/285625""><b class=""b"">73/12 </b></a>используется совместно со степлером <a href=""https://entero.ru/item/244152"" target=""_blank"">Mainpack Industrial HSP‑12</a> для запечатывания верхних створок гофротары на предприятиях различных направлений. </p>

<p><b class=""o"">Внимание! Скобы продаются только в комплекте со степлером!</b></p>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество в упаковке: 5040 шт</li>
</ul>",285625,,,,,,,,0,,813,,,,
https://cdn.entero.ru/mp@2x/53/47/53479327f5468db29be9ab04f19982f0.jpg,Скобы для степлера Mainpack Industrial 3515,Скобы для степлера Mainpack Industrial 3515,774,RUB,Да,Mainpack Industrial,Профоборудование,Фасовочно-упаковочное,Степлеры,https://entero.ru/item/332320,"<p>Скобы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/332320""><b class=""b"">3515 </b></a>используется совместно со степлерами Mainpack Industrial <a href=""https://entero.ru/item/244158"" target=""_blank"">HDCS-19-35</a>, ADCSY-19/35, <a href=""https://entero.ru/item/79698"">CMB-S-35</a> и <a href=""https://entero.ru/item/79699"">CAB-S-35</a> для запечатывания верхних створок и боковин гофротары на предприятиях различных направлений. </p>

<p><b class=""o"">Внимание! Скобы продаются только в комплекте со степлером!</b></p>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество в упаковке: 2000 шт</li>
<li>Ширина: 34,7 см</li>
<li>Длина ножек: 15 мм</li>
<li>Сечение проволоки: 0,9х2,3 мм</li>
</ul>",332320,,,,,,,,0,,,,,,
https://cdn.entero.ru/mp@2x/9a/d6/9ad64d370e4851c81ce9f09be8547f8a.jpg,Скобы для степлера Mainpack Industrial 3518,Скобы для степлера Mainpack Industrial 3518,837,RUB,Да,Mainpack Industrial,Профоборудование,Фасовочно-упаковочное,Степлеры,https://entero.ru/item/332321,"<p>Скобы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/332321""><b class=""b"">3518 </b></a>используется совместно со степлерами Mainpack Industrial <a href=""https://entero.ru/item/244158"" target=""_blank"">HDCS-19-35</a>, <a href=""https://entero.ru/item/86720"">HDCS-22-35</a>, ADCSY-19/35, ADCSN-22/35, <a href=""https://entero.ru/item/79698"">CMB-S-35</a> и <a href=""https://entero.ru/item/79699"">CAB-S-35</a> для запечатывания верхних створок и боковин гофротары на предприятиях различных направлений. </p>

<p><b class=""o"">Внимание! Скобы продаются только в комплекте со степлером!</b></p>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество в упаковке: 2000 шт</li>
<li>Ширина: 34,7 см</li>
<li>Длина ножек: 18 мм</li>
<li>Сечение проволоки: 0,9х2,3 мм</li>
</ul>",332321,,,,,,,,0,,,,,,
https://cdn.entero.ru/mp@2x/5e/7c/5e7c98ba756ef2d1f994397829bdbffc.jpg,Скобы для степлера Mainpack Industrial 16-15,Скобы для степлера Mainpack Industrial 16-15,525,RUB,Да,Mainpack Industrial,Профоборудование,Фасовочно-упаковочное,Степлеры,https://entero.ru/item/332329,"<p>Скобы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/332329""><b class=""b"">16-15 </b></a>используется совместно со степлерами Mainpack Industrial <a href=""https://entero.ru/item/79696"" target=""_blank"">CMS-16-19</a>, <a href=""https://entero.ru/item/79697"">CAS-16-19</a>, <a href=""https://entero.ru/item/79700"">S-550-M</a> и <a href=""https://entero.ru/item/79701"">S-750-M</a> для запечатывания боковин гофротары на предприятиях различных направлений. </p>

<p><b class=""o"">Внимание! Скобы продаются только в комплекте со степлером!</b></p>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество в упаковке: 2000 шт</li>
<li>Длина ножек: 15 мм</li>
</ul>",332329,,,,,,,,0,,665,,,,
