Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Потребляемая мощность,Температура внутри шкафа
https://cdn.entero.ru/mp@2x/fa/ae/faae24814a305ead32d8b05e5822142a.jpg;https://cdn.entero.ru/mp@2x/64/3d/643dd4f332fb808d5a447ceae5863400.jpg,Шкаф для сушки одежды ATESY ШСО-1-02,Шкаф для сушки одежды ATESY ШСО-1-02,79601,RUB,Да,ATESY,Профоборудование,Оборудование для дезинфекции и очистки,Шкафы для сушки и дезинфекции,https://entero.ru/item/127474,"<p>Шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127474"">ATESY ШСО-1-02</a></b> используется на предприятиях пищевых отраслей промышленности, общественного питания и торговли для сушки одежды и обуви. В основе принципа работы модели лежит использование ультрафиолетового излучения в диапазоне длин волн 205-315 нм, обладающего широким диапазоном действия на микроорганизмы, включая бактерии, вирусы, споры и грибки. Все конструктивные элементы выполнены из антикоррозионной стали AISI 430 с полированной поверхностью, колба бактерицидной лампы - из увиолевого стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Блок дезинфекции в верхней части шкафа, который представляет собой устройство для обеззараживания воздуха, циркулирующего внутри шкафа, где упорядоченно располагается обрабатываемая одежда:
<ul>
<li>ТЭН для нагрева воздуха</li>
<li>Бактерицидная лампа для обеззараживания воздуха</li>
<li>Вентилятор для циркуляции воздуха</li>
</ul>
</li>
<li>Интуитивно понятная панель управления:
<ul>
<li>Регулятор температуры воздуха внутри шкафа</li>
<li>Таймер для автоматизации дезинфекции одежды</li>
<li>Лампа индикации включения ТЭНа</li>
<li>Смотровое стекло для контроля исправности ламп</li>
</ul>
</li>
<li>Источник ультрафиолетового излучения - безозоновые бактерицидные лампы низкого давления типа ДРБ-8-1</li>
<li>Колба бактерицидной лампы сделана из увиолевого стекла - после ее работы не требуется обязательно проветривать помещение</li>
<li>Антикоррозионная сталь AISI 430 имеет полированную поверхность, хорошо отражающую световой поток, благодаря чему обеззараживание в шкафу происходит одновременно направленным и отраженным потоком</li>
<li>Датчик, прерывающий работу при открытии двери</li>
<li>Полка для головных уборов, перекладина для вешалок и полка для обуви внутри шкафа</li>
<li>Верхняя крышка выполнена под наклоном для исключения захламления посторонними предметами и обеспечения удобства уборки</li>
<li>Двери могут быть установлены как в левом, так и в правом исполнении</li>
<li>Конструкция продумана таким образом, чтобы легко осуществлять её тщательную санитарную обработку</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Макс. диапазон установки времени работы: 60 мин.</li>
<li>Номинальная мощность лампы: 8 Вт</li>
<li>Средний срок службы лампы: 11000 ч</li>
</ul>",127474,220 В,597 мм,400 мм,2120 мм,85 кг,Россия,1,691x416x2128 мм,0,https://entero.ru/manuals/139609/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/139610/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%B4%D0%BB%D1%8F%20%D0%B4%D0%B5%D0%B7%D0%B8%D0%BD%D1%84%D0%B5%D0%BA%D1%86%D0%B8%D0%B8%20ATESY.pdf;https://entero.ru/manuals/281161/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf,,59 кг,0.75 кВт,от 30 до 50 °С
https://cdn.entero.ru/mp@2x/cb/81/cb81f4e12d531c203fc29c63664763d8.jpg,Шкаф для хранения и сушки уборочного инвентаря ATESY ШХСИ-1-02-1,Шкаф для хранения и сушки уборочного инвентаря ATESY ШХСИ-1-02-1,84555,RUB,Да,ATESY,Профоборудование,Оборудование для дезинфекции и очистки,Шкафы для сушки и дезинфекции,https://entero.ru/item/127000,"<p>Шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127000"">ATESY ШХСИ-1-02-1</a></b> используется на предприятиях общественного питания и торговли, а также в других заведениях общественного пользования для хранения и сушки уборочного инвентаря. Модель работает по принципу ультрафиолетового излучения, которое обладает широким диапазоном действия на микроорганизмы, включая бактерии, вирусы, споры и грибы. Корпус и все конструктивные элементы выполнены из антикоррозионной стали AISI 430, колба лампы - из увиолевого стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Обеззараживание производится лампой ультрафиолетового излучения в диапазоне длин волн 205- 315 нм</li>
<li>Источник ультрафиолетового излучения - бактерицидная безозоновая лампа низкого давления типа ДРБ-8-1.</li>
<li>Таймер времени для автоматизации процесса стерилизации</li>
<li>Автоматическое отключение бактерицидной лампы при открывании двери для исключения вредного воздействия на человека</li>
<li>Удобная панель управления:
<ul>
<li>Регулятор температуры воздуха внутри шкафа</li>
<li>Таймер для автоматизации дезинфекции одежды</li>
<li>Лампа индикации включения ТЭНа</li>
<li>Смотровое окно для визуального контроля исправности бактерицидной лампы</li>
</ul>
</li>
<li>Блок дезинфекции в нижней части шкафа - представляет собой устройство для обеззараживания воздуха, циркулирующего внутри шкафа, где упорядоченно располагается уборочный инвентарь и средства очистки:
<ul>
<li>ТЭН для нагрева воздуха</li>
<li>Бактерицидная лампа для обеззараживания воздуха</li>
<li>Вентилятор для циркуляции воздуха</li>
</ul>
</li>
<li>Внутреннее пространство шкафа разделено перфорированной перегородкой на 2 части:
<ul>
<li>Слева установлены 3 перфорированные полки для хранения негабаритных предметов (средства для очистки, тряпки, салфетки, бумажные полотенца)</li>
<li>Справа предусмотрено пространство для хранения габаритного уборочного инвентаря (швабры, веники, метлы, раскладные предупреждающие таблички ""Осторожно! Cкользкий пол"")</li>
</ul>
</li>
<li>Место для размещения ведер для уборки помещений в нижней части шкафа</li>
<li>Верхняя крышка выполнена под наклоном для исключения захламления посторонними предметами и обеспечения удобства уборки</li>
<li>Выход вентиляционного патрубка в верхней крышке шкафа для присоединения к существующей системе вытяжной вентиляции</li>
<li>После работы бактерицидной лампы не требуется обязательно проветривать помещение</li>
<li>Антикоррозионная сталь хорошо отражает световой поток, благодаря чему обеззараживание предметов в шкафу происходит одновременно направленным и отраженным потоком</li>
<li>Конструкция продумана таким образом, чтобы легко осуществлять её тщательную санитарную обработку</li>
<li>Возможность установки дверей как в левом, так и в правом исполнении</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Макс. время экспозиции по таймеру: 120 мин.</li>
<li>Мощность лампы: 1х 8 Вт</li>
<li>Бактерицидный поток лампы: 2,4 Вт</li>
<li>Средний срок службы лампы: 11000 ч</li>
</ul>",127000,220 В,597 мм,400 мм,2050 мм,97 кг,Россия,1,650x450x2020 мм,0,https://entero.ru/manuals/281159/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf;https://entero.ru/manuals/474437/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%A8%D0%A5%D0%A1%D0%98-1-02-1.pdf;https://entero.ru/manuals/474438/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,89005,85 кг,0.75 кВт,от 30 до 50 °С
https://cdn.entero.ru/mp@2x/9f/75/9f759156d69a5980ef636b1033c5fe1a.jpg,Тумба для стерилизации обуви Luxstahl ТДО,мко740,0,RUB,Нет,Luxstahl,Профоборудование,Оборудование для дезинфекции и очистки,Шкафы для сушки и дезинфекции,https://entero.ru/item/126085,"<p>Тумба для стерилизации обуви <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/126085""><b class=""b"">Luxstahl ТДО </b></a>используется на предприятиях общественного питания и торговли. Модель оснащена обработкой с помощью ламп, которая не разрушает структуру материала и препятствует распространению микроорганизмов. Полка выполнена из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 уровня</li>
<li>Регулируемый таймер автоматического отключения</li>
<li>Концевой выключатель двери</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность ламп: 2х 0,03 кВт</li>
<li>Длина лампы: 950 мм</li>
</ul>",126085,220 В,1000 мм,500 мм,800 мм,,Россия,,,0,,,50 кг,0.08 кВт,
https://cdn.entero.ru/mp@2x/c0/ac/c0ace2603fdbd2479e708c384bbb36cf.jpg;https://cdn.entero.ru/mp@2x/2c/c0/2cc0e6d383858bcba058773d04e117a6.jpg,Шкаф для сушки и дезинфекции одежды ATESY ШСОП-1-02,Шкаф для сушки и дезинфекции одежды ATESY ШСОП-1-02,0,RUB,Нет,ATESY,Профоборудование,Оборудование для дезинфекции и очистки,Шкафы для сушки и дезинфекции,https://entero.ru/item/366483,"<p>Шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/366483"">ATESY ШСОП-1-02</a></b> используется на предприятиях общественного питания и торговли для дезинфекции одежды, обуви и других личных вещей персонала. Модель оснащена электромеханической панелью управления, смотровым стеклом и полками для обуви. Все конструктивные элементы выполнены из антикоррозионной стали AISI430 с полированной поверхностью.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Таймер для автоматизации процесса обеззараживания воздуха</li>
<li>Терморегулятор</li>
<li>2 ТЭНа</li>
<li>Сушка одновременно направленным и отраженным потоком</li>
<li>Возможность перенавешивания двери</li>
<li>Съемный вентиляционный патрубок для подключения к вытяжной вентиляционной системе</li>
<li>Легкость санитарной обработки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Номинальная мощность:</li>
<li>ТЭН: 0,7 кВт</li>
<li>Лампа: 0,008 кВт</li>
<li>Бактерицидный поток лампы: 2,4 Вт</li>
<li>Срок службы лампы: 11000 ч</li>
<li>Максимальная установка таймера: 120 мин.</li>
</ul>",366483,220 В,400 мм,597 мм,2120 мм,59 кг,Россия,1,416x691x2128 мм,0,https://entero.ru/manuals/477315/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%A8%D0%A1%D0%9E%D0%9F-1-02.pdf,,52 кг,1.44 кВт,от 30 до 50 °С
https://cdn.entero.ru/mp@2x/22/6c/226c633d6251cb49c69a867fa42d077c.jpg,Шкаф для хранения и дезинфекции инвентаря KAYMAN ШДИ-400-2 А,Шкаф для хранения и дезинфекции инвентаря KAYMAN ШДИ-400-2 А,0,RUB,Нет,KAYMAN,Профоборудование,Оборудование для дезинфекции и очистки,Шкафы для сушки и дезинфекции,https://entero.ru/item/310881,"<p>Шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/310881"">KAYMAN ШДИ-400-2 А</a></b> используется на предприятиях общественного питания и торговли, а также в других заведениях общественного пользования для хранения, сушки и дезинфекции уборочного инвентаря. Модель оснащена модулем сушки и дезинфекции в основании: 2 трубчатыми электронагревателями (ТЭНами), вентилятором и бактерицидной ультрафиолетовой лампой, крючками для инвентаря на правой боковине, угловой полкой для моющих средств и перчаток слева, 2 разделительными полками снизу, распашной дверью и электромеханической панелью управления с 2 поворотными переключателями. Корпус и все конструктивные элементы выполнены из нержавеющей стали марки AISI 430, карман – из оргстекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка температуры сушки</li>
<li>Регулировка длительности обработки и сушки</li>
<li>Светодиодный индикатор питания</li>
<li>Светодиодный индикатор нагрева ТЭНов</li>
<li>Концевой выключатель для автоматического прекращения работы при открывании двери</li>
<li>Дверной замок</li>
<li>Карман для информационной карточки на двери</li>
<li>Возможность переустановки двери на левую сторону</li>
<li>Съемный патрубок для подключения к системе вентиляции</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная заданная длительность: 120 мин.</li>
<li>Номинальная мощность:
<ul>
<li>ТЭНы: 2х0,7 кВт</li>
<li>Лампа: 0,008 кВт</li>
</ul>
</li>
<li>Мощность бактерицидного потока: 2,4 Вт/м²</li>
<li>Ресурс лампы: 11000 ч</li>
</ul>",310881,220 В,400 мм,597 мм,2050 мм,,Россия,,,0,https://entero.ru/manuals/372902/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20KAYMAN.pdf,,85 кг,1.44 кВт,от 30 до 50 °С
