Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Вес (с упаковкой),Конструкция,Длина излива,Высота излива,Длина шланга
https://cdn.entero.ru/mp@2x/fb/cb/fbcbaa1434b2d66b4eccddd58eff6199.jpg,Устройство душирующее Monolith R 0102020129,Устройство душирующее Monolith R 0102020129,22025,RUB,Да,Monolith,Профоборудование,Нейтральное,Смесители и душирующие устройства,https://entero.ru/item/162273,"<p>Душирующие устройство <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/162273"">Monolith R 0102020129</a></b> предназначено для удобного удаления крупных остатков пищи с кухонной посуды и инвентаря перед загрузкой в посудомоечную машину в моечных цехах на предприятиях общественного питания. Душ выполнен из нержавеющей стали с термопластиком, держатель душа - из пластика. </p>

<p>В комплект поставки входит гусак.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Установка на моечную ванну</li>
<li>Шланг гибкий с 2 гайками: G 1/2’’</li>
<li>S-образный излив</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Межосевое расстояние: 155 мм</li>
</ul>",162273,душирующее устройство,,,1070 мм,,,,0,https://entero.ru/manuals/293368/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Monolith%20R%200102020129.pdf;https://entero.ru/manuals/527772/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,22943,4.56 кг,,Италия,,двухвентильный,300,220 мм,1000 мм
https://cdn.entero.ru/mp@2x/6b/70/6b70872ece5bf4be5b567c5d576e6278.jpg,Лейка душирующая Monolith R 00502000035,Лейка душирующая Monolith R 00502000035,6588,RUB,Да,Monolith,Профоборудование,Нейтральное,Смесители и душирующие устройства,https://entero.ru/item/261451,"<p>Лейка душирующая <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/261451""><b class=""b"">Monolith R 00502000035</b></a> предназначен для удаления крупных остатков пищи с кухонной посуды и инвентаря перед загрузкой в посудомоечную машину на предприятиях общественного питания. Душ выполнен из хромированной латуни с термопластиком, держатель душа - из пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Установка на мойку, одно отверстие</li>
<li>Фиксатор обеспечивает постоянный напор воды и освобождает руку мойщика</li>
<li>Легкое включение и выключение фиксатора одним пальцем руки</li>
</ul>

<p><b>Дополниетльные характеристики:</b></p>

<ul>
<li>Длина насадки: 218 мм</li>
<li>Гайка: G ½</li>
</ul>

<p>​</p>

<p> </p>

<p> </p>",261451,душирующее устройство,84 мм,84 мм,218 мм,,,,0,https://entero.ru/manuals/527740/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,7751,,Италия,Италия,,,,,
https://cdn.entero.ru/mp@2x/e8/4d/e84df5442f92e81daf48ab07adc96660.jpg,Устройство душирующее Rubinetterie DEL FRIULI 00991110 + 00102013,00991110+00102013 / 90362,29034,RUB,Да,Rubinetterie,Профоборудование,Нейтральное,Смесители и душирующие устройства,https://entero.ru/item/104229,"<p>Душирующее устройство <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/104229"">Rubinetterie DEL FRIULI 00991110 + 00102013</a> </b>предназначено для ежедневного использования и подачи воды на кухнях в пекарнях, столовых, кафе, ресторанах и на других предприятиях общественного питания. Модель оснащена душем с настенным креплением.</p>",104229,душирующее устройство,100 мм,200 мм,1000 мм,,,,0,,31559,6.25 кг,,,,,,,
https://cdn.entero.ru/mp@2x/92/26/92269775e0c7af5743cf6604b66b53bd.jpg,Устройство душирующее ROAL 9920DH-2,Устройство душирующее ROAL 9920DH-2,14142,RUB,Да,ROAL,Профоборудование,Нейтральное,Смесители и душирующие устройства,https://entero.ru/item/315152,"<p>Душирующее устройство <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/315152"">ROAL 9920DH-2</a> </b>предназначено для удобного удаления крупных остатков пищи с кухонной посуды и инвентаря перед загрузкой в посудомоечную машину в моечных цехах на предприятиях общественного питания. Модель оснащена краном и смесителем для горячей и холодной воды и кронштейном для крепления на стену. Корпус выполнен из нержавеющей стали AISI 304, смеситель - из латуни, лейка - из пластика. </p>

<p><b>Дополнительные характеристики</b></p>

<ul>
<li>Подвод водопровода из мойки: 600 мм </li>
</ul>",315152,душирующее устройство,,,,,,,0,,15045,,,Китай,,,,1225 мм,
https://cdn.entero.ru/mp@2x/6d/3f/6d3f6d5fe537b3ceccf1f0afa0531efb.jpg,Катушка со шлангом Monolith SR 000000034A,SR000000034A,38694,RUB,Да,Monolith,Профоборудование,Нейтральное,Смесители и душирующие устройства,https://entero.ru/item/162410,"<p>Катушка со шлангом <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/162410"">Monolith SR 000000034A</a></b> предназначена для мытья больших площадей в моечных цехах на предприятиях общественного питания. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочая температура: 70 °C</li>
</ul>",162410,катушка с душирующим устройством,160 мм,392 мм,272 мм,,,,0,https://entero.ru/manuals/189256/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Monolith%20SR%20000000034A.pdf;https://entero.ru/manuals/527781/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,42059,5.8 кг,Италия,Италия,,,,,10000 мм
https://cdn.entero.ru/mp@2x/36/aa/36aad3cba4f534856376f677faf66531.jpg,Лейка душирующая Monolith R 0801010101,Лейка душирующая Monolith R 0801010101,4915,RUB,Да,Monolith,Профоборудование,Нейтральное,Смесители и душирующие устройства,https://entero.ru/item/162352,"<p>Душ-лейка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/162352""><b class=""b"">Monolith R 0801010101</b></a> предназначен для мытья духовых шкафов на предприятиях общественного питания. Душ выполнен из хромированной латуни с термопластиком, держатель душа - из пластика.</p>",162352,душирующее устройство,,,,,,,0,https://entero.ru/manuals/189217/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Monolith%20R%200801010101.pdf;https://entero.ru/manuals/527734/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,Италия,Италия,,,,,
https://cdn.entero.ru/mp@2x/d1/35/d1357b7e37d31c08b8c7f0a937adff9c.jpg,Смеситель с выдвижным краном Monolith R 0201020206,Смеситель с выдвижным краном Monolith R 0201020206,12539,RUB,Да,Monolith,Профоборудование,Нейтральное,Смесители и душирующие устройства,https://entero.ru/item/161778,"<p>Смеситель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/161778"">Monolith R 0201020206</a></b> предназначен для ежедневного использования и подачи воды на кухнях в пекарнях, столовых, кафе, ресторанах и на других предприятиях общественного питания. Модель оснащена выдвижным краном. </p>

<p> </p>",161778,смеситель,52 мм,250 мм,230 мм,,,,0,https://entero.ru/manuals/188772/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Monolith%20R%200201020206.jpg;https://entero.ru/manuals/527766/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,Италия,,,однорычажный,215,130 мм,
https://cdn.entero.ru/mp@2x/6e/3c/6e3c599f1724e39d4cab8ebd1c793b86.jpg,Устройство душирующее Airhot PR-350 M со смесителем,Устройство душирующее Airhot PR-350 M со смесителем,13416,RUB,Да,Airhot,Профоборудование,Нейтральное,Смесители и душирующие устройства,https://entero.ru/item/126170,"<p>Душирующее устройство <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/126170""><b class=""b"">Airhot PR-350 M</b></a><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/126170""><b class=""b""> </b></a>предназначено для ежедневного использования и подачи воды на кухнях в пекарнях, столовых, кафе, ресторанах и на других предприятиях общественного питания. Модель оснащена смесителем для горячей и холодной воды и кронштейном для крепления на стену. Корпус выполнен из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Диаметр отверстия для установки: 30 мм</li>
<li>Габариты в упаковке: 780x310x68 мм</li>
</ul>",126170,душирующее устройство,150 мм,440 мм,1200 мм,,,,0,,14583,3.8 кг,,Китай,,,,,
https://cdn.entero.ru/mp@2x/db/f4/dbf4421ed576d1465c22271dd325256a.jpg,Смеситель для моечной ванны VIATTO SSF-02A,Смеситель для моечной ванны VIATTO SSF-02A,4262,RUB,Да,VIATTO,Профоборудование,Нейтральное,Смесители и душирующие устройства,https://entero.ru/item/204571,"<p>Смеситель<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/204571"">VIATTO SSF-02A</a> </b>предназначен для ежедневного использования и подачи воды на кухнях в пекарнях, столовых, кафе, ресторанах и на других предприятиях общественного питания. Модель оснащена 1 монтажным отверстием. Изделие выполнено из нержавеющей стали.</p>

<p>В комплект поставки входят 2 шланга длиной 1 м.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Резьба: G1/2</li>
</ul>",204571,смеситель,30 мм,150 мм,365 мм,2.06 кг,1,30x150x365 мм,7,https://entero.ru/manuals/463157/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,6089,1.91 кг,,Китай,,однорычажный,200,275 мм,1000 мм
https://cdn.entero.ru/mp@2x/a1/ec/a1eca9609f1994458c1ec1e513895637.jpg,Устройство душирующее Monolith R 0102020207,Устройство душирующее Monolith R 0102020207,39532,RUB,Да,Monolith,Профоборудование,Нейтральное,Смесители и душирующие устройства,https://entero.ru/item/162277,"<p>Душирующие устройство <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/162277""><b class=""b"">Monolith R 0102020207</b></a> предназначено для удобного удаления крупных остатков пищи с кухонной посуды и инвентаря перед загрузкой в посудомоечную машину в моечных цехах на предприятиях общественного питания. Модель устанавливается на моечную ванну, оснащена рычажным краном для локтевого управления, компактным изливом и лейкой с рычагом и фиксатором, позволяющим обеспечить постоянный напор воды. Душ выполнен из нержавеющей стали с термопластиком, держатель - из пластика.</p>

<p>В комплект поставки входит держатель душа, дополнительное крепление к стене.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество монтажных отверстий: 2 (вниз).</li>
<li>Межосевое расстояние: 155 мм</li>
<li>Длина крепления к стене: 135 мм</li>
</ul>

<p> </p>",162277,"душирующее устройство, смеситель",,323 мм,1080 мм,,,,0,https://entero.ru/manuals/189163/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Monolith%20R%200102020207.pdf;https://entero.ru/manuals/527782/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,42508,,Италия,Италия,,однорычажный,255,250 мм,
