Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Страна-производитель,Ширина раскатки,Толщина раскатки
https://cdn.entero.ru/mp@2x/ae/3a/ae3a44c10328c7bb44caeb02d940c472.jpg,Тестораскатка-лапшерезка ручная Gemlux GL-PMZ-180,Тестораскатка-лапшерезка ручная Gemlux GL-PMZ-180,3433,RUB,Да,Gemlux,Бытовая техника,Техника для кухни,Лапшерезки,https://entero.ru/item/94222,"<p>Ручная тестораскатка-лапшерезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94222"">Gemlux GL-PMZ-180</a> </b>используется в частных домах и квартирах для раскатки теста и приготовления лапши. Модель оснащена парой раскатывающих валков, регулировкой толщины раскатки в 7 положениях и съемной рукояткой. Корпус выполнен из хромированной стали.</p>

<p>В комплект поставки входят 2 встроенные насадки-лапшерезки для приготовления тальолини (плоской лапши шириной 2 мм) и феттучине (плоской лапши шириной 6,25 мм).</p>",94222,250 мм,200 мм,140 мм,0,https://entero.ru/manuals/83240/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Gemlux%20GL-PMZ-180.png;https://entero.ru/manuals/83239/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Gemlux.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240729&hd=2&autoplay=0,3.5 кг,Китай,180 мм,от 0.5 до 3 мм
https://cdn.entero.ru/mp@2x/4b/de/4bdebfa5145daeb1838c01d59bff8ae6.jpg,Тестораскатка-лапшерезка ручная Gemlux GL-PMF-180,Тестораскатка-лапшерезка ручная Gemlux GL-PMF-180,3506,RUB,Да,Gemlux,Бытовая техника,Техника для кухни,Лапшерезки,https://entero.ru/item/94218,"<p>Ручная тестораскатка-лапшерезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94218"">Gemlux GL-PMF-180</a> </b>используется в частных домах и квартирах для раскатки теста и приготовления лапши. Модель оснащена парой раскатывающих валков и съемной рукояткой. Корпус выполнен из хромированной стали.</p>

<p>В комплект поставки входят 2 съемные насадки-лапшерезки для приготовления тальолини (плоской лапши шириной 2 мм) и феттучине (плоской лапши шириной 6,25 мм).</p>",94218,250 мм,204 мм,160 мм,0,https://entero.ru/manuals/83217/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Gemlux%20GL-PMF-180.pdf;https://entero.ru/manuals/83237/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Gemlux.pdf,4125,,3.5 кг,Китай,180 мм,от 0.5 до 3 мм
https://cdn.entero.ru/mp@2x/ed/43/ed43592bf39703cad59ff24510602799.jpg;https://cdn.entero.ru/mp@2x/4c/40/4c4029dbac2f951f9740adc7ff8f026f.jpg;https://cdn.entero.ru/mp@2x/5c/78/5c7826af8a715a508adb8d1f468d5799.jpg;https://cdn.entero.ru/mp@2x/7e/71/7e716448f6534916bb40f248d6656142.jpg;https://cdn.entero.ru/mp@2x/b3/10/b3100d5f4e3cf73c5f47dc23b1b95f68.jpg;https://cdn.entero.ru/mp@2x/70/5a/705aef58fac47e334dda760063b8693a.jpg;https://cdn.entero.ru/mp@2x/77/05/7705bc388728d8c5433d0aa34240dc15.jpg;https://cdn.entero.ru/mp@2x/fe/1b/fe1b28a39337709d2d619fd904abae13.jpg,Тестораскатка-лапшерезка ручная Gemlux GL-PMF-150QJ,Тестораскатка-лапшерезка ручная Gemlux GL-PMF-150QJ,4209,RUB,Да,Gemlux,Бытовая техника,Техника для кухни,Лапшерезки,https://entero.ru/item/365877,"<p>Ручная тестораскатка-лапшерезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/365877"">Gemlux GL-PMF-150QJ</a> </b>используется в частных домах и квартирах для раскатки теста и приготовления лапши. Модель оснащена съемной ручкой. Корпус выполнен из хромированной стали.</p>

<p>В комплект поставки входят съемные насадки-лапшерезки для приготовления тальолини (плоской лапши шириной 2 мм), феттучине (плоской лапши шириной 6,25 мм) и равиоли (45х45 мм)</p>

<p><b>Особенности:</b></p>

<ul>
<li>7 степеней толщины раскатки теста</li>
<li>Пластиковые ножки: защита столешницы от повреждений</li>
<li>Крепление к столешнице при помощи фиксатора (в комплекте)</li>
<li>Компактный размер</li>
</ul>",365877,210 мм,198 мм,158 мм,0,https://entero.ru/manuals/476464/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Gemlux.pdf,,,,Китай,150 мм,от 0.5 до 3 мм
