Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Объем чаши
https://cdn.entero.ru/mp@2x/56/b7/56b7fad3362e844e07692685721e6153.jpg;https://cdn.entero.ru/mp@2x/68/6b/686bec5beb741474b01f9e3a2f129b34.jpg;https://cdn.entero.ru/mp@2x/a1/7a/a17a2b1635dd7d8dd1e691c135f5d65f.jpg;https://cdn.entero.ru/mp@2x/48/56/4856a7be030f3c2f33c585b04dab5919.jpg;https://cdn.entero.ru/mp@2x/2e/29/2e29d5ff02c449030a5c503f543c9b6f.jpg;https://cdn.entero.ru/mp@2x/8f/ee/8fee95c6c2331bd23525a2fe4a75d1d7.jpg,Рисоварка Steba RK 4 M,RK 4 M RICE COOKER,5655,RUB,Да,,Бытовая техника,Техника для кухни,Скороварки,https://entero.ru/item/173224,"<p>Мини-рисоварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/173224"">Steba RK 4 M</a></b> предназначена для приготовления различных видов риса в частных домах, квартирах, отелях и офисах. Модель оснащена кнопкой включения и световыми индикаторами работы. Корпус выполнен из нержавеющей стали, чаша - с антипригарным покрытием. </p>

<p>В комплект поставки входят мерная чашка и ложка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Функция поддержания тепла</li>
<li>Удобная ручка для переноски</li>
<li>Защита от перегрева</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: нержавеющая сталь / белый</li>
</ul>",173224,220 В,0.2 кВт,165 мм,170 мм,190 мм,0,https://entero.ru/manuals/200609/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20RK%204%20M.pdf,,1.1 кг,,Китай,0.9 л
https://cdn.entero.ru/mp@2x/0b/c1/0bc141d1432cb915ca927f6a7d41ab6b.jpg;https://cdn.entero.ru/mp@2x/36/a2/36a2c7648f2cea0d27f8b8e0ed0b63e3.jpg;https://cdn.entero.ru/mp@2x/94/57/9457970f114f737477bff3934fe916c6.jpg,Рисоварка Steba RK 2,Рисоварка Steba RK 2,8678,RUB,Да,,Бытовая техника,Техника для кухни,Скороварки,https://entero.ru/item/173217,"<p>Рисоварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/173217"">Steba RK 2</a></b> предназначена для приготовления различных видов риса, а также рыбы и овощей на пару в частных домах, квартирах, отелях и офисах. Модель оснащена простым кнопочным управлением с контрольной лампой, откидной крышкой с замком и вставкой для приготовления на пару. Корпус выполнен из нержавеющей стали, чаша - с антипригарным покрытием. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Функция поддержания тепла</li>
<li>Паровой клапан</li>
<li>Защита от перегрева</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: нержавеющая сталь / белый</li>
</ul>",173217,220 В,0.7 кВт,280 мм,280 мм,260 мм,0,https://entero.ru/manuals/200590/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20RK%202.pdf,10455,2.8 кг,,Китай,3.5 л
https://cdn.entero.ru/mp@2x/a7/45/a7455ac85dc46ce9e4c5532d48a33f23.jpg;https://cdn.entero.ru/mp@2x/8b/29/8b2921df12df38f2289013c6e7d6c48f.jpg;https://cdn.entero.ru/mp@2x/af/50/af50c7e3785a6631d54be81b7e05e261.jpg;https://cdn.entero.ru/mp@2x/b4/c6/b4c66f41c45f5e00c9350e3756331daf.jpg,Рисоварка Rommelsbacher MRK 500,Рисоварка Rommelsbacher MRK 500,19472,RUB,Да,Rommelsbacher,Бытовая техника,Техника для кухни,Скороварки,https://entero.ru/item/173199,"<p>Рисоварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/173199"">Rommelsbacher MRK 500</a></b> предназначена для приготовления всех видов риса на воде, на молоке, на пару и для супов в частных домах, квартирах, отелях и офисах. Модель оснащена сенсорной панелью управления со светодиодным дисплеем, съемной чашей и вставкой с крышкой для приготовления на пару. Корпус выполнен из пластика, вставка - из нержавеющей стали, чаша - с антипригарным покрытием. </p>

<p>В комплект поставки входят мерная чашка и сервировочная ложка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 полностью автоматические программы:
<ul>
<li>Рис</li>
<li>Цельнозерновой рис</li>
<li>Низкоуглеводный рис на пару</li>
</ul>
</li>
<li>3 программы с ручными настройками времени приготовления для адаптации к индивидуальным вкусовым предпочтениям:
<ul>
<li>Рис на молоке</li>
<li>Суп</li>
<li>Разогрев</li>
</ul>
</li>
<li>Электронный контроль температуры</li>
<li>Отображение на дисплее оставшегося времени приготовления</li>
<li>Режим поддержания тепла в течение 60 мин.</li>
<li>Встроенная нагревательная пластина</li>
<li>Теплоизолированный корпус</li>
<li>Съемная внутренняя крышка с уплотнительным кольцом</li>
<li>Съемный регулятор пара</li>
<li>Прорезиненные ножки</li>
<li>Съемный шнур питания</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: графитовый серый</li>
</ul>",173199,220 В,0.5 кВт,236 мм,221 мм,225 мм,0,https://entero.ru/manuals/200574/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Rommelsbacher%20MRK%20500%20%28%D0%BD%D0%B5%D0%BC.%29.pdf;https://entero.ru/manuals/200573/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Rommelsbacher%20MRK%20500.pdf,20283,2.5 кг,Германия,Китай,2 л
https://cdn.entero.ru/mp@2x/f6/0c/f60c713534d02fc0d66ed82ebb2c87cc.jpg;https://cdn.entero.ru/mp@2x/5a/ab/5aabf2fc5692df7bb23416aa2dec7904.jpg;https://cdn.entero.ru/mp@2x/e6/73/e6732148962574c3ec196d561931fdf7.jpg;https://cdn.entero.ru/mp@2x/e9/17/e9178c34682a8e479d7606135ae30450.jpg,Рисоварка Steba RK 3,Рисоварка Steba RK 3,9045,RUB,Нет,,Бытовая техника,Техника для кухни,Скороварки,https://entero.ru/item/173223,"<p>Рисоварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/173223"">Steba RK 3</a></b> предназначена для приготовления различных видов риса, а также рыбы и овощей на пару в частных домах, квартирах, отелях и офисах. Модель оснащена простым кнопочным управлением с контрольной лампой, откидной прозрачной крышкой с замком и вставкой для приготовления на пару. Корпус выполнен из нержавеющей стали, крышка - из стекла, чаша - с антипригарным покрытием. </p>

<p>В комплект поставки входят мерный стакан, ложка и половник.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Функция поддержания тепла</li>
<li>Паровой клапан</li>
<li>Ручки для переноски</li>
<li>Защита от перегрева</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: нержавеющая сталь / черный</li>
</ul>",173223,220 В,0.7 кВт,280 мм,230 мм,330 мм,0,https://entero.ru/manuals/200594/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20RK%203.pdf,,3.7 кг,,Китай,3.5 л
https://cdn.entero.ru/mp@2x/1f/c6/1fc63d828bc72d8eb32654ff184b6395.jpg;https://cdn.entero.ru/mp@2x/fa/27/fa27716076fb1ce7798a0afaa0e97d6b.jpg;https://cdn.entero.ru/mp@2x/19/3a/193ae1925aad53f7b5d026da2850cdbe.jpg;https://cdn.entero.ru/mp@2x/27/fc/27fca784112d3d7a1e4619bb0da1d801.jpg;https://cdn.entero.ru/mp@2x/2c/25/2c2561306b6c523156f09028fadd3bb3.jpg;https://cdn.entero.ru/mp@2x/89/bc/89bc37d5073ad8ffdf3e5c15a91f6582.jpg,Скороварка Cuckoo CR-0632,CR0632 33108,15341,RUB,Нет,Cuckoo,Бытовая техника,Техника для кухни,Скороварки,https://entero.ru/item/48288,"<p>Скороварка <b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/48288"">Cuckoo CR-0632</a></b> предназначена для быстрого и удобного приготовления каш из различных круп, а также для тушения овощей и различных комбинаций рагу. Кроме того, модель можно использовать для сохранения теплыми уже готовых блюд.</p>

<p>Комплектация: мерный стакан, ложка и руководство по эксплуатации.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3D-нагрев</li>
<li>Чаша с двойным антипригарным покрытием</li>
<li>Ллапан для выпуска пара</li>
<li>Приготовление на 5 персон</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем чаши: 2 л</li>
<li>Максимальная температура: 150 С<sup>о</sup></li>
<li>Напряжение: 220 В</li>
<li>Мощность: 0,5 кВт</li>
<li>Габариты: 250х254х271 мм</li>
</ul>",48288,220 В,0.5 кВт,250 мм,254 мм,271 мм,0,,16496,,,Ю. Корея,2 л
https://cdn.entero.ru/mp@2x/91/70/9170d115f8651a4982f4dc5248fe0552.jpg,Экстрактор низкотемпературный OCOO PRO,Экстрактор низкотемпературный OCOO PRO,85687,RUB,Нет,,Бытовая техника,Техника для кухни,Скороварки,https://entero.ru/item/355034,"<p>Низкотемпературный экстрактор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/355034"">OCOO PRO</a></b> предназначен для получения экстрактов и приготовления блюд на предприятиях общественного питания и торговли, а также в домашних условиях.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 комбинированных действия: давление, низкая температура и инфракрасное излучение</li>
<li>Принцип двойного кипячения</li>
<li>Приготовление при низких температурах с сохранением органолептических характеристик продуктов</li>
</ul>",355034,220 В,0.8 кВт,350 мм,350 мм,400 мм,0,,,,,,4.5 л
