Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Объем бойлера,Регулятор подачи пара
https://cdn.entero.ru/mp@2x/e9/39/e93967b2f44f73130a3d94ea1689f719.jpg;https://cdn.entero.ru/mp@2x/aa/6b/aa6b90afcc94d7b8ad1162d53c58e30c.jpg;https://cdn.entero.ru/mp@2x/53/9f/539fb6d6337564385f920b22f6c5864b.jpg;https://cdn.entero.ru/mp@2x/04/b0/04b097276b13446b6eccdbc5a0e7dd93.jpg;https://cdn.entero.ru/mp@2x/d0/29/d029ccf63ca09ac70da5c4437a5a74a6.jpg;https://cdn.entero.ru/mp@2x/af/af/afaf3a298835702d21a45d34752f115c.jpg,Станция паровая Black+Decker BXSS2200E,Станция паровая Black+Decker BXSS2200E,12737,RUB,Да,,Бытовая техника,Техника для дома,Парогенераторы,https://entero.ru/item/252166,"<p>Паровая станция <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/252166"">Black+Decker BXSS2200E</a></b> предназначена для влажно-тепловой обработки постельного белья, скатертей, штор и одежды в частных домах и квартирах. Модель оснащена резервуаром для воды и утюгом с керамической подошвой.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Быстрый нагрев</li>
<li>Возможность дозаправки водой без отключения от электросети</li>
<li>Прецизионный наконечник для труднодоступных мест</li>
<li>Фильтр от накипи</li>
<li>Удобная ручка для переноски</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время нагрева: 1 мин.</li>
<li>Время глажки на одной заправке: 90 мин.</li>
</ul>",252166,220 В,2.2 кВт,,,,0,https://entero.ru/manuals/309470/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Black+Decker%20BXSS2200E.pdf,,,США,Китай,120 г/мин.,1.5 л,
https://cdn.entero.ru/mp@2x/74/5a/745aade50cd15d6033322116ebe3be20.jpg;https://cdn.entero.ru/mp@2x/e0/e1/e0e14910db06e036d047ad24d16783a7.jpg;https://cdn.entero.ru/mp@2x/1f/49/1f49020366817ffc729a71f1f1847d93.jpg;https://cdn.entero.ru/mp@2x/30/29/3029a58c946043036ad913fc92c670c2.jpg,Станция паровая Black+Decker BXSS2400E,Станция паровая Black+Decker BXSS2400E,19028,RUB,Да,,Бытовая техника,Техника для дома,Парогенераторы,https://entero.ru/item/252168,"<p>Паровая станция <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/252168"">Black+Decker BXSS2400E</a></b> предназначена для влажно-тепловой обработки постельного белья, скатертей, штор и одежды в частных домах и квартирах. Модель оснащена резервуаром для воды и утюгом с керамической подошвой.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Быстрый нагрев</li>
<li>Возможность дозаправки водой без отключения от электросети</li>
<li>Прецизионный наконечник для труднодоступных мест</li>
<li>Фильтр от накипи</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время нагрева: 2 мин.</li>
<li>Давление пара: 7 бар</li>
</ul>",252168,220 В,2.4 кВт,,,,0,https://entero.ru/manuals/309471/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Black+Decker%20BXSS2400E.pdf,20460,,США,Китай,130 г/мин.,,
https://cdn.entero.ru/mp@2x/84/79/84797e28fd5a60535af54a7bec40bf17.jpg;https://cdn.entero.ru/mp@2x/18/40/18404fa6d066afead1a82fdebb9ff005.jpg;https://cdn.entero.ru/mp@2x/e6/f7/e6f732f4b0c528755d32bfd1dfbd84e1.jpg;https://cdn.entero.ru/mp@2x/3a/81/3a8151cf9a6865328308abbbb0c47cd8.jpg;https://cdn.entero.ru/mp@2x/92/7e/927e20bd018f04987f15fea00ed9a7da.jpg;https://cdn.entero.ru/mp@2x/34/05/3405bf5276ebaea13fc204bd7818897c.jpg,Станция паровая Taurus Sliding Spacex 3000 Non Stop,Sliding Spacex 3000 NS,18990,RUB,Нет,Taurus,Бытовая техника,Техника для дома,Парогенераторы,https://entero.ru/item/251520,"<p>Паровая станция <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251520""><b class=""b"">Taurus Sliding Spacex 3000 Non Stop</b></a> предназначена для влажно-тепловой обработки постельного белья, скатертей, штор и одежды в частных домах и квартирах. Модель оснащена резервуаром для воды и утюгом с керамической подошвой.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 режима подачи пара: Эко / Макс</li>
<li>Паровой удар</li>
<li>Быстрый нагрев</li>
<li>Вертикальное отпаривание</li>
<li>Система ""Нон-стоп"" - возможность дозаправки водой без отключения от электросети</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Паровой удар: 400 г/мин.</li>
<li>Непрерывная подача пара: 130 г/мин.</li>
<li>Время нагрева: 30 сек.</li>
</ul>",251520,220 В,3 кВт,,,,0,https://entero.ru/manuals/308756/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Taurus%20Sliding%20Spacex%203000%20Non%20Stop.pdf,,,Испания,Китай,130 г/мин.,1.3 л,Да
https://cdn.entero.ru/mp@2x/30/37/30378fbe5393f7e9d0ea7df937f8d504.jpg;https://cdn.entero.ru/mp@2x/f7/9e/f79e36107691c96a24c75f5e151dc942.jpg;https://cdn.entero.ru/mp@2x/ad/63/ad63e193ac1b9a5e6fefb38eb379ee45.jpg;https://cdn.entero.ru/mp@2x/d1/1c/d11c698c8424e5b714a3c38fc26e996a.jpg;https://cdn.entero.ru/mp@2x/c1/e7/c1e70612b7c8adc9b630a64505121c11.jpg;https://cdn.entero.ru/mp@2x/28/02/280243552ab0a292a439120dc8fa919a.jpg,Станция паровая Taurus Sliding Pro 3000 Non Stop,Sliding Pro 3000 NS,15500,RUB,Нет,Taurus,Бытовая техника,Техника для дома,Парогенераторы,https://entero.ru/item/251514,"<p>Паровая станция <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251514""><b class=""b"">Taurus Sliding Pro 3000 Non Stop</b></a> предназначена для влажно-тепловой обработки постельного белья, скатертей, штор и одежды в частных домах и квартирах. Модель оснащена резервуаром для воды и утюгом с керамической подошвой.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 режима подачи пара: Эко / Макс</li>
<li>Паровой удар</li>
<li>Быстрый нагрев</li>
<li>Интеллектуальная настройка температуры</li>
<li>Вертикальное отпаривание</li>
<li>Система ""Нон-стоп"" - возможность дозаправки водой без отключения от электросети</li>
<li>Режим самоочистки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Паровой удар: 300 г/мин.</li>
<li>Непрерывная подача пара: 130 г/мин.</li>
<li>Время нагрева: 30 сек.</li>
</ul>",251514,220 В,3 кВт,,,,0,https://entero.ru/manuals/308745/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Taurus%20Sliding%20Pro%203000%20Non%20Stop.pdf,16316,,Испания,Китай,130 г/мин.,1.5 л,Да
https://cdn.entero.ru/mp@2x/b8/3a/b83a28046ceda4e78accc5469444c6be.jpg;https://cdn.entero.ru/mp@2x/d8/a3/d8a3d76b0dc27539b1b243c0e1952a2b.jpg;https://cdn.entero.ru/mp@2x/fd/57/fd577698f67ac38ed76307fc2a322761.jpg;https://cdn.entero.ru/mp@2x/40/f1/40f1346280dc9cb6cd702592dd16313c.jpg;https://cdn.entero.ru/mp@2x/fe/c5/fec558534cdc225e7a92007c2c44a635.jpg;https://cdn.entero.ru/mp@2x/3f/bd/3fbd568f3339a9b26d719ca50d898d05.jpg;https://cdn.entero.ru/mp@2x/26/02/26023b1039a7e2fb3d3d5a9f08a98040.jpg;https://cdn.entero.ru/mp@2x/71/8c/718cfcbacaa2af3baeb397d3e59ce35f.jpg;https://cdn.entero.ru/mp@2x/93/e1/93e1ff6c4d8412c1e74e75e597b02f27.jpg;https://cdn.entero.ru/mp@2x/71/bf/71bfdff62d51eafc5c08b104d6a685ba.jpg;https://cdn.entero.ru/mp@2x/a6/8e/a68eab0050c21cf05a27bc1cad76815c.jpg;https://cdn.entero.ru/mp@2x/80/fc/80fcad51cfc2ab03f01201de85bebda9.jpg;https://cdn.entero.ru/mp@2x/bf/2a/bf2aedc5d7b0767d4fdc112c40a16a24.jpg;https://cdn.entero.ru/mp@2x/39/78/397812b9e127fa4405cb8f1d5648924a.jpg,Парогенератор Bort SteamCare,93411331,0,RUB,Нет,,Бытовая техника,Техника для дома,Парогенераторы,https://entero.ru/item/216199,"<p>Парогенератор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/216199""><b class=""b"">Bort SteamCare</b></a> предназначен для влажно-тепловой обработки постельного белья, скатертей, штор и одежды в частных домах и квартирах. Модель оснащена паровым утюгом с керамической подошвой и съемным резервуаром для воды.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Сухой пар </li>
<li>Индикатор уровня воды</li>
<li>Возможность вертикального отпаривания</li>
<li>Система защиты от накипи</li>
<li>Защита от перегрева</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальное давление: 3,5 бар</li>
<li>Температура пара: 98 °C</li>
<li>Время нагрева: 60 сек.</li>
<li>Время непрерывной работы: 20 мин.</li>
<li>Длина шланга: 1,6 м</li>
<li>Длина сетового кабеля: 1,5 м</li>
<li>Габариты в упаковке: 390х240х260 мм</li>
</ul>",216199,220 В,2.2 кВт,390 мм,246 мм,260 мм,0,https://entero.ru/manuals/255964/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bort%20SteamCare.pdf,,2.3 кг,,Китай,50 г/мин.,1.1 л,
https://cdn.entero.ru/mp@2x/be/5a/be5a1ece697540c8b47a1397785b1907.jpg;https://cdn.entero.ru/mp@2x/76/e1/76e1dbc8c884be5987abbd1e7d1420ee.jpg;https://cdn.entero.ru/mp@2x/de/eb/deeb572c6648f38969f4900df6754776.jpg;https://cdn.entero.ru/mp@2x/0d/5f/0d5f76a71a3b91ccf050547f4675cccc.jpg;https://cdn.entero.ru/mp@2x/fa/c6/fac6ca77240dd7e93ab21380f2c5a4d4.jpg;https://cdn.entero.ru/mp@2x/ae/69/ae69cad02b8846ef48a5d7ba9428d3aa.jpg;https://cdn.entero.ru/mp@2x/21/49/2149451d194c2d48c1449a04531603a8.jpg;https://cdn.entero.ru/mp@2x/8e/26/8e26148868c1daddd26d94c194c85bbb.jpg;https://cdn.entero.ru/mp@2x/27/1c/271cc92fe7b63120c1e4286269f3fb98.jpg,Парогенератор Bort SteamCare Plus,93411324,0,RUB,Нет,,Бытовая техника,Техника для дома,Парогенераторы,https://entero.ru/item/216195,"<p>Парогенератор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/216195""><b class=""b"">Bort SteamCare Plus</b></a> предназначен для влажно-тепловой обработки постельного белья, скатертей, штор и одежды в частных домах и квартирах. Модель оснащена паровым утюгом с керамической подошвой и съемным резервуаром для воды.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Двойная система нагрева</li>
<li>Сухой пар </li>
<li>Индикатор уровня воды</li>
<li>Возможность вертикального отпаривания</li>
<li>Система защиты от накипи</li>
<li>Защита от перегрева</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальное давление: 4 бар</li>
<li>Температура пара: 98 °C</li>
<li>Время нагрева: 60 сек.</li>
<li>Время непрерывной работы: 20 мин.</li>
<li>Длина шланга: 1,6 м</li>
<li>Длина сетового кабеля: 1,5 м</li>
<li>Габариты в упаковке: 390х240х260 мм</li>
</ul>",216195,220 В,2.35 кВт,390 мм,246 мм,260 мм,0,https://entero.ru/manuals/255961/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bort%20SteamCare%20Plus.pdf,,2.4 кг,,Китай,55 г/мин.,1.1 л,
https://cdn.entero.ru/mp@2x/a8/f4/a8f4b9418b18913de0b7fca9cf7c84c0.jpg;https://cdn.entero.ru/mp@2x/43/0d/430dc3e03daa9e258eb78b71b139c2a9.jpg;https://cdn.entero.ru/mp@2x/0f/44/0f442fb67ae455bf5404eb05dd1d933b.jpg,Парогенератор MIE Bravissimo,380738,0,RUB,Нет,MIE,Бытовая техника,Техника для дома,Парогенераторы,https://entero.ru/item/182700,"<p>Парогенератор с утюгом <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/182700""><b class=""b"">MIE Bravissimo </b></a>используется в прачечных, отелях, гостевых домах, офисах, частных домах и квартирах для влажно-тепловой обработки белья и одежды. Модель оснащена регулятором температуры утюга. Подошва утюга выполнена из стали высокой степени полировки, бойлер - из нержавеющей стали. </p>

<p>В комплект поставки входят термостойкий резиновый коврик и мерный стаканчик.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Непрерывный мощный поток пара</li>
<li>Режим сухой глажки</li>
<li>Индикатор готовности пара</li>
<li>Сливной клапан парогенератора</li>
<li>Кнопки включения / выключения утюга с контрольным индикатором</li>
<li>Функция дозалива воды </li>
<li>Система Антикапля</li>
<li>Отверстие для промывки нагревательного элемента</li>
<li>Режим вертикального отпаривания</li>
<li>Отделение для хранения шнура электропитания</li>
<li>Подошва утюга с керамическим покрытием</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Парогенератор: 1,4 кВт</li>
<li>Утюг: 0,8 кВт </li>
</ul>
</li>
<li>Диапазон температур: от 40 до 195 °C</li>
<li>Время ожидания готовности: 2 мин. </li>
<li>Продолжительность работы с паром: 25 мин. </li>
<li>Давление пара: 5,5 бар</li>
<li>Паровой удар: 6 бар</li>
<li>Объем резервуара для воды: 1,1 л</li>
<li>Длина электрического шнура: 2 м </li>
<li>Длина парового шланга утюга: 1500 мм </li>
<li>Размер подошвы утюга: 220х110 мм </li>
<li>Габариты в упаковке: 420х300х310 мм</li>
<li>Вес утюга: 0,9 кг </li>
</ul>",182700,220 В,2.2 кВт,350 мм,250 мм,200 мм,0,https://entero.ru/manuals/212280/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20MIE%20Bravissimo.pdf,,4.1 кг,,,150 г/мин.,0.3 л,
https://cdn.entero.ru/mp@2x/76/35/7635c5b984dc926a0dec0eba0131085b.jpg,Парогенератор MIE GM-530,380779,0,RUB,Нет,MIE,Бытовая техника,Техника для дома,Парогенераторы,https://entero.ru/item/182712,"<p>Парогенератор с утюгом <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/182712""><b class=""b"">MIE GM-530 </b></a>используется в прачечных, отелях, гостевых домах, офисах, частных домах и квартирах для влажно-тепловой обработки белья и одежды. Модель оснащена пробковой ручкой и кнопкой включения с контрольным индикатором. Подошва утюга выполнена из сверхпрочного алюминиевого сплава, бойлер - из нержавеющей стали. </p>

<p>В комплект поставки входят термостойкий резиновый коврик, емкость для залива воды и фирменная сумка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Индикатор готовности пара</li>
<li>Высокое давление пара и мощный паровой удар</li>
<li>Кнопки кратковременной / непрерывной подачи пара</li>
<li>Режим вертикального отпаривания</li>
<li>Индикатор завершения воды в бойлере</li>
<li>Система Антикапля</li>
<li>Отверстие для промывки нагревательного элемента</li>
<li>Стильный и эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Парогенератор: 1,1 кВт</li>
<li>Утюг: 0,85 кВт </li>
</ul>
</li>
<li>Диапазон температур: от 60 до 180 °C</li>
<li>Время ожидания готовности: 3 мин. </li>
<li>Продолжительность работы с паром: 25 мин. </li>
<li>Давление пара: 3 бар</li>
<li>Паровой удар: 4,5 бар</li>
<li>Объем резервуара для воды: 0,8 л</li>
<li>Длина электрического шнура: 1,9 м </li>
<li>Длина парового шланга утюга: 1700 мм </li>
<li>Размер подошвы утюга: 220х110 мм </li>
<li>Габариты в упаковке: 370х330х260 мм</li>
<li>Вес утюга: 1 кг </li>
</ul>",182712,220 В,2 кВт,340 мм,220 мм,200 мм,0,,,2.5 кг,,,100 г/мин.,0.3 л,
