Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Вес (с упаковкой),Материал жарочной поверхности,Диаметр
https://cdn.entero.ru/mp@2x/0b/36/0b3632c763f2ca14b0f883b8cdaf86f3.jpg;https://cdn.entero.ru/mp@2x/6a/35/6a35016ff0b8f2715f1e073ab748fb54.jpg;https://cdn.entero.ru/mp@2x/f1/b3/f1b391423f0abb07c40e00202a46f49d.jpg,Блинница Clatronic CM 3372,Блинница Clatronic CM 3372,5399,RUB,Да,,Бытовая техника,Техника для кухни,Блинницы,https://entero.ru/item/194519,"<p>Блинница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/194519"">Clatronic CM 3372</a> </b>предназначена для выпечки круглых блинов в частных домах и квартирах. Модель оснащена теплоизолированным основанием и ручками. Корпус выполнен из пластика, рабочая поверхность - с антипригарным покрытием.</p>

<p>В комплект поставки входит распределитель для теста.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Защита от перегрева</li>
<li>Место для хранения кабеля</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 350х380х100 мм</li>
</ul>",194519,220 В,0.9 кВт,,,,0,https://entero.ru/manuals/226874/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Clatronic%20CM%203372%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,6505,1.9 кг,Германия,Китай,2.1 кг,,290 мм
https://cdn.entero.ru/mp@2x/04/d9/04d955cf7deff2e07b3034d9f9769dc5.jpg;https://cdn.entero.ru/mp@2x/c4/c6/c4c69cc151cc522151de1f5a169b39b2.jpg;https://cdn.entero.ru/mp@2x/24/65/24656260b7bd01a44866c16c6b33ccc1.jpg,Блинница Bomann СМ 2221,СМ 2221 schwarz,5990,RUB,Да,Bomann,Бытовая техника,Техника для кухни,Блинницы,https://entero.ru/item/194516,"<p>Блинница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/194516"">Bomann СМ 2221</a> </b>предназначена для выпечки круглых блинов в частных домах и квартирах. Модель оснащена термостатом и 2 световыми индикаторами питания и нагрева. Корпус выполнен из пластика, рабочая поверхность - с антипригарным покрытием.</p>

<p>В комплект поставки входит распределитель для теста.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Бесступенчатая регулировка температуры</li>
<li>Теплоизолированное основание</li>
<li>Защита от перегрева</li>
<li>Место для хранения кабеля</li>
</ul>",194516,220 В,0.9 кВт,,,,0,https://entero.ru/manuals/226872/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bomann%20%D0%A1%D0%9C%202221%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,1.9 кг,Германия,Китай,2.15 кг,,290 мм
https://cdn.entero.ru/mp@2x/99/5a/995a167e046222eac31a6c2f4566f0b0.jpg;https://cdn.entero.ru/mp@2x/6b/c2/6bc2e5cc10edae5ef027d30c08d3cfd0.jpg;https://cdn.entero.ru/mp@2x/ef/04/ef04cc7317f7d054bfc42859c7d5fd75.jpg;https://cdn.entero.ru/mp@2x/a3/12/a3129bda9a0f594c3bc0d9aef435870c.jpg;https://cdn.entero.ru/mp@2x/bd/8c/bd8c531cf8ddab620c818fa2e7423696.jpg;https://cdn.entero.ru/mp@2x/84/7d/847d3e3c821fab292b29b8e12b6de91a.jpg;https://cdn.entero.ru/mp@2x/91/36/9136cc2cc8f243ac36caf219d168e9a4.jpg,Блинница CASO CM 1300,Блинница CASO CM 1300,7510,RUB,Да,CASO,Бытовая техника,Техника для кухни,Блинницы,https://entero.ru/item/211090,"<p>Блинница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/211090"">CASO CM 1300</a></b> предназначена для выпечки круглых блинов в частных домах и квартирах. Модель оснащена ползунковым регулятором температуры и световым индикатором нагрева. Корпус выполнен из нержавеющей стали, рабочая поверхность - с антипригарным покрытием ILAG.</p>

<p>В комплект поставки входят распределитель для теста и лопатка из дерева.</p>

<p><b>Особенности: </b></p>

<ul>
<li>8 уровней нагрева</li>
<li>Встроенный нагревательный элемент</li>
<li>Защита от перегрева</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 330х330х100 мм</li>
</ul>",211090,220 В,1.3 кВт,330 мм,355 мм,100 мм,0,https://entero.ru/manuals/247524/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20CM%201300.pdf,,2 кг,Германия,Китай,,,330 мм
https://cdn.entero.ru/mp@2x/81/db/81db3721bff90f99e5fef4d3541c83a7.jpg;https://cdn.entero.ru/mp@2x/3e/1b/3e1b6322c64cc43a0dd7cbdbea3d11c2.jpg;https://cdn.entero.ru/mp@2x/9d/5d/9d5d7e188f5d3cc8d4d6d4d5b639c809.jpg,Блинница Steba CR 32,Блинница Steba CR 32,9199,RUB,Да,,Бытовая техника,Техника для кухни,Блинницы,https://entero.ru/item/168445,"<p>Блинница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/168445"">Steba CR 32</a> </b>предназначена для выпечки круглых блинов в частных домах и квартирах. Модель оснащена термостатом и световым индикатором питания и нагрева. Корпус выполнен из пластика, рабочая поверхность - из литого алюминия с антипригарным покрытием.</p>

<p>В комплект поставки входят распределитель для теста и лопатка из дерева.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Бесступенчатая регулировка температуры</li>
<li>Защита от перегрева</li>
<li>Место для хранения кабеля</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 140x355x365 мм</li>
</ul>",168445,220 В,1.2 кВт,330 мм,335 мм,105 мм,0,https://entero.ru/manuals/194427/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20CR%2032.pdf,11499,2 кг,Германия,Китай,,алюминий,320 мм
https://cdn.entero.ru/mp@2x/93/db/93db718688b94c17bbb77468e5fd81d0.jpg;https://cdn.entero.ru/mp@2x/7f/06/7f066ae0069a5f62bc04083b7420af3b.jpg;https://cdn.entero.ru/mp@2x/ac/ef/acef0ba84a68cbe7737bb6e1f0f21d15.jpg;https://cdn.entero.ru/mp@2x/40/87/4087dd6145ed5258b5a045f7897da93e.jpg,Блинница Steba CR 36,Блинница Steba CR 36,10016,RUB,Да,,Бытовая техника,Техника для кухни,Блинницы,https://entero.ru/item/210386,"<p>Блинница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/210386"">Steba CR 36</a></b> предназначена для выпечки круглых блинов в частных домах и квартирах. Модель оснащена термостатом и световым индикатором питания и нагрева. Корпус выполнен из пластика, рабочая поверхность - из литого алюминия с антипригарным покрытием.</p>

<p>В комплект поставки входят распределитель для теста и лопатка из дерева.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Бесступенчатая регулировка температуры</li>
<li>Съемная жарочная пластина</li>
<li>Защита от перегрева</li>
<li>Место для хранения кабеля</li>
<li>Нескользящие резиновые ножки</li>
</ul>",210386,220 В,1.5 кВт,370 мм,385 мм,95 мм,0,https://entero.ru/manuals/246336/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20CR%2036.pdf,10543,2.5 кг,Германия,Китай,,алюминий,350 мм
https://cdn.entero.ru/mp@2x/1b/7d/1b7d6d0d1547ea90811bb8bbb8046f82.jpg;https://cdn.entero.ru/mp@2x/ed/38/ed38d9e815105035d04ca50bf46578f3.jpg;https://cdn.entero.ru/mp@2x/2e/9d/2e9d734dcdd218e0b80c8cb710c4dee8.jpg,Блинница Taurus S164,Блинница Taurus S164,5808,RUB,Нет,Taurus,Бытовая техника,Техника для кухни,Блинницы,https://entero.ru/item/250554,"<p>Блинница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/250554"">Taurus S164</a></b> предназначена для выпечки круглых блинов в частных домах и квартирах. Модель оснащена регулируемым термостатом и световым индикатором питания и нагрева. Корпус выполнен из нержавеющей стали, рабочая поверхность имеет антипригарное покрытие без содержания PFOA.</p>

<p>В комплект поставки входят распределитель для теста и лопатка.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Хранение в вертикальном положении</li>
<li>Защита от перегрева</li>
<li>Место для хранения кабеля</li>
<li>Нескользящие ножки</li>
</ul>",250554,220 В,1.2 кВт,,,,0,https://entero.ru/manuals/307334/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Taurus%20S164.pdf,,,Испания,Китай,,,300 мм
https://cdn.entero.ru/mp@2x/e4/c2/e4c29d237a7a211987a480ba5fb232fc.jpg;https://cdn.entero.ru/mp@2x/32/55/32556e9680d1680e61a8e22517655f65.jpg;https://cdn.entero.ru/mp@2x/69/e8/69e841c921916e09a63d6be0b006eafc.jpg;https://cdn.entero.ru/mp@2x/d1/c9/d1c90844de095a9c6b0858397648fd71.jpg,Блинница Rommelsbacher PC 1800,Блинница Rommelsbacher PC 1800,13307,RUB,Нет,Rommelsbacher,Бытовая техника,Техника для кухни,Блинницы,https://entero.ru/item/245212,"<p>Блинница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/245212""><b class=""b"">Rommelsbacher PC 1800</b></a> предназначена для выпечки круглых блинов в частных домах и квартирах. Модель оснащена крышкой, сенсорными кнопками, светодиодными дисплеем с таймером обратного отсчета, теплоизолированной ручкой, нескользящими силиконовыми ножками и кнопкой блокировки. Корпус выполнен из пластика.</p>

<p><b>Особенности:</b> </p>

<ul>
<li>Литые под давлением алюминиевые пластины</li>
<li>Подходит для одновременного выпекания 4 блинчиков</li>
<li>Двухслойное антипригарное покрытие Xylan® Plus</li>
<li>Корпус Cool Touch</li>
<li>Автоматическое отключение</li>
<li>Функция подрумянивания после выпечки</li>
<li>Индикатор питания и нагрева</li>
<li>Защита от перегрева</li>
<li>Место для хранения кабеля</li>
<li>Возможность вертикального хранения для экономии пространства</li>
<li>Высокая скорость работы</li>
<li>Легкость очистки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Частота: от 50 до 60 Гц</li>
<li>Номинальная потребляемая мощность: от 1,68 до 2 кВт</li>
<li>Таймер: 15 мин.</li>
<li>Цвет корпуса: серебристый</li>
</ul>",245212,220 В,1.8 кВт,365 мм,315 мм,130 мм,0,https://entero.ru/manuals/296279/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Rommelsbacher%20PC%201800.pdf,,3.5 кг,Германия,Китай,,алюминий,135 мм
