Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Вес буханки
https://cdn.entero.ru/mp@2x/75/b8/75b8a11cd4dd36c1e121192184d7e887.jpg;https://cdn.entero.ru/mp@2x/1a/69/1a694e92cba1a51dfc0cf53f6215ec0a.jpg;https://cdn.entero.ru/mp@2x/b0/06/b006a36524a0a089ccbe895b8d806b0a.jpg;https://cdn.entero.ru/mp@2x/30/51/305116f80c349c5838b096c8a24b5df2.jpg;https://cdn.entero.ru/mp@2x/12/7d/127d2cac53a6f0828f4dc2571eccb434.jpg;https://cdn.entero.ru/mp@2x/00/ce/00ce8b871c77587e54ddce08f139bffa.jpg;https://cdn.entero.ru/mp@2x/e8/68/e8688d105b2dde65468d9ce965761212.jpg,Хлебопечка Steba BM 3,Хлебопечка Steba BM 3,14627,RUB,Да,,Бытовая техника,Техника для кухни,Хлебопечки,https://entero.ru/item/209800,"<p>Хлебопечка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/209800"">Steba BM 3</a></b> используется в частных домах и квартирах для выпечки широкого ассортимента хлебобулочных изделий, а также для замеса, расстаивания теста и приготовления джемов, мармеладов и других десертов. Модель оснащена сенсорной панелью управления с большим дисплеем, съемной формой для выпечки и крышкой со смотровым окном. Корпус выполнен из пластика, форма имеет антипригарное покрытие.</p>

<p>В комплект поставки входят мерный стакан, мерная ложка и сборник рецептов.</p>

<p><b>Особенности:</b></p>

<ul>
<li>12 автоматических программ</li>
<li>Выбор размера буханки</li>
<li>Выбор степени подрумянивания корочки (светлый / средний / темный)</li>
<li>Таймер до 13 ч</li>
<li>Поддержание тепла до 1 ч</li>
</ul>",209800,220 В,0.54 кВт,240 мм,340 мм,275 мм,0,https://entero.ru/manuals/245451/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20BM%203.pdf,15728,,4 кг,Германия,Китай,4 кг
https://cdn.entero.ru/mp@2x/8e/83/8e83fbb933f8b21b393f7d40ea57fd9d.jpg;https://cdn.entero.ru/mp@2x/25/f0/25f05c374ad38362649c78f533a780bd.jpg;https://cdn.entero.ru/mp@2x/d5/94/d594aa2abfac284a7ca483f3f502a178.jpg;https://cdn.entero.ru/mp@2x/10/52/10529510758d2b7d87223034e1568add.jpg;https://cdn.entero.ru/mp@2x/1c/d8/1cd8dc43ebf2f05240e50f63df484b25.jpg;https://cdn.entero.ru/mp@2x/78/40/78408c718ce315e9dbecc6688adcc490.jpg;https://cdn.entero.ru/mp@2x/df/f7/dff75dbf951fbb103d0d85cd84879f8d.jpg;https://cdn.entero.ru/mp@2x/8c/4e/8c4ea0ee2ed48da47579e915784a7e39.jpg;https://cdn.entero.ru/mp@2x/c7/b0/c7b05d49f798d8d0741604b1e53eb6eb.jpg,Хлебопечка Steba BM 2,Хлебопечка Steba BM 2,15006,RUB,Да,,Бытовая техника,Техника для кухни,Хлебопечки,https://entero.ru/item/168935,"<p>Хлебопечка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/168935"">Steba BM 2</a> </b>используется в частных домах и квартирах для выпечки широкого ассортимента хлебобулочных изделий, а также для замеса, расстаивания теста и приготовления джемов, мармеладов и других десертов. Модель оснащена сенсорной панелью управления с большим дисплеем, съемной формой для выпечки и крышкой со смотровым окном. Корпус выполнен из нержавеющей стали, форма имеет антипригарное покрытие.</p>

<p>В комплект поставки входят мерный стакан и мерная ложка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>17 автоматических программ, в том числе для безглютенового хлеба</li>
<li>Пользовательская программа с настройками температуры и времени с функцией памяти</li>
<li>Выбор размера буханки</li>
<li>Выбор степени подрумянивания корочки (светлый / средний / темный)</li>
<li>Таймер до 15 ч</li>
<li>Поддержание тепла до 1 ч</li>
</ul>",168935,220 В,0.6 кВт,350 мм,290 мм,260 мм,0,https://entero.ru/manuals/194923/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20BM%202%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,5.7 кг,,Китай,5.7 кг
https://cdn.entero.ru/mp@2x/fe/8f/fe8fb19aa729834f92b87b060610af56.jpg;https://cdn.entero.ru/mp@2x/9f/53/9f5397309a21d2122de716ad2ca214b5.jpg;https://cdn.entero.ru/mp@2x/88/03/880323d4c546f00e79c7c565fd1288a5.jpg;https://cdn.entero.ru/mp@2x/0c/88/0c8877e48b6f00fac7019dfb3751fb1a.jpg;https://cdn.entero.ru/mp@2x/7f/92/7f92fe92f8ed09e017adbd7af0c10ba6.jpg;https://cdn.entero.ru/mp@2x/33/0c/330ca4b00dca3bcac956e858d6381763.jpg,Хлебопечь Clatronic BBA 3774,BBA 3774 schwarz,16499,RUB,Да,,Бытовая техника,Техника для кухни,Хлебопечки,https://entero.ru/item/245485,"<p>Хлебопечь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/245485"">Clatronic BBA 3774</a></b> используется в частных домах и квартирах для приготовления хлеба, хлебобулочных изделий, тортов и джема. Модель оснащена электронной панелью управления с ЖК-дисплеем, съемной крышкой со смотровым окном и съемной формой для выпечки с антипригарным покрытием. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Полностью автоматическое приготовление ( замес теста, поднятие, выпечка)</li>
<li>12 программ выпечки:
<ul>
<li>Основная</li>
<li>Французская</li>
<li>Цельнозерновая</li>
<li>Быстрая выпечка</li>
<li>Сладкая</li>
<li>Супербыстрая выпечка 1</li>
<li>Супербыстрая выпечка 2</li>
<li>Джем</li>
<li>Йогурт</li>
<li>Тесто</li>
<li>Выпечка</li>
<li>Сэндвич</li>
</ul>
</li>
<li>53 доступные настройки</li>
<li>Функция подогрева</li>
<li>Таймер на 13 ч</li>
<li>Регулируемое количество теста</li>
<li>Регулируемое подрумянивание корочки (светлая / средняя / темная)</li>
<li>Теплоизолированный корпус</li>
<li>Класс защиты: I</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Частота: 50 Гц</li>
<li>Объем формы для выпечки: 3 л</li>
</ul>",245485,220 В,0.55 кВт,280 мм,330 мм,300 мм,0,https://entero.ru/manuals/296677/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Clatronic%20BBA%203774.pdf,17741,,4.2 кг,Германия,Китай,4.2 кг
https://cdn.entero.ru/mp@2x/ec/06/ec0614a7967f49ff5533364e4d4a5a45.jpg;https://cdn.entero.ru/mp@2x/00/6b/006b2308af26e749a5664411836f9cfb.jpg;https://cdn.entero.ru/mp@2x/da/59/da5910457e670067e02b49c1ccf8f707.jpg;https://cdn.entero.ru/mp@2x/ef/93/ef939d0bf96ac7b5d7f46deda7825e1a.jpg;https://cdn.entero.ru/mp@2x/6b/f8/6bf89539aeb993699029dd1413e26b2b.jpg,Хлебопечь Rommelsbacher BA 550,Хлебопечь Rommelsbacher BA 550,18398,RUB,Да,Rommelsbacher,Бытовая техника,Техника для кухни,Хлебопечки,https://entero.ru/item/128362,"<p>Хлебопечь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/128362"">Rommelsbacher BA 550</a></b> используется на предприятиях общественного питания и торговли, в частных домах и квартирах для приготовления хлеба, хлебобулочных изделий, тортов и джема. Модель оснащена ЖК-дисплеем с подсветкой, смотровым окном, диспенсером для дополнительных ингредиентов (орехов и изюма), съемным тестомесом и формой для выпекания. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят мерный стакан, мерная ложка и крюк для вымешивания.</p>

<p><b>Особенности:</b></p>

<ul>
<li>13 программ работы:
<ul>
<li>6 программ для выпечки хлеба</li>
<li>Специальная программа для безглютенового хлеба</li>
<li>2 программы для выпечки тортов</li>
<li>Программа для перемешивания теста</li>
<li>Программа для замешивания теста</li>
<li>Программа приготовления джема</li>
<li>Свободно программируемая программа для индивидуального выпекания хлеба</li>
</ul>
</li>
<li>Таймер отсрочки выпечки</li>
<li>Выбор размера буханки</li>
<li>Выбор цвета корочки (светлый / средний / темный)</li>
<li>Отдельная кнопка для ручной выпечки</li>
<li>Автоматическая функция поддержания тепла</li>
<li>Режим памяти на случай сбоя питания</li>
<li>Трёхслойное антипригарное покрытие формы QuanTanium</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем формы для выпечки: 2 л</li>
<li>Макс. время отсрочки выпечки: 13 часов</li>
<li>Макс. время поддержания тепла: 60 мин​​.</li>
<li>Цвет: нержавеющая сталь</li>
</ul>",128362,220 В,0.55 кВт,220 мм,330 мм,295 мм,0,https://entero.ru/manuals/141137/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Rommelsbacher%20BA%20550.pdf;https://entero.ru/manuals/141138/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Rommelsbacher%20BA%20550.pdf,19998,https://vk.com/video_ext.php?oid=-177656185&id=456239660&hd=2&autoplay=0,4.2 кг,,Китай,4.2 кг
https://cdn.entero.ru/mp@2x/b6/92/b6922f8c71f2b0944a6166493f2223bf.jpg;https://cdn.entero.ru/mp@2x/18/cf/18cf5a7f692769bac24371ebd94940ad.jpg;https://cdn.entero.ru/mp@2x/f9/54/f9548c1f30ad3694df49ef06388f6996.jpg;https://cdn.entero.ru/mp@2x/0d/65/0d65d661613d0f23fe57ac36b7cbdf8c.jpg;https://cdn.entero.ru/mp@2x/e7/52/e7521719fc6c1833a2851ab3f1e6953c.jpg,Хлебопечка Princess 152007,Хлебопечка Princess 152007,10000,RUB,Нет,,Бытовая техника,Техника для кухни,Хлебопечки,https://entero.ru/item/188718,"<p>Хлебопечка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/188718"">Princess 152007</a> </b>используется в частных домах и квартирах для выпечки широкого ассортимента хлебобулочных изделий, а также для замеса теста и приготовления джемов, мармеладов и других десертов. Модель оснащена панелью управления с цифровым дисплеем, съемной формой для выпечки и крышкой со смотровым окном. Корпус выполнен из нержавеющей стали, форма имеет антипригарное покрытие.</p>

<p>В комплект поставки входят крюк для замеса теста, мерный стакан и мерная ложка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>19 запрограммированных настроек, в том числе для безглютенового хлеба</li>
<li>Возможность изменения параметров запрограммированных настроек</li>
<li>Выбор размера буханки</li>
<li>Выбор степени подрумянивания корочки (светлый / средний / темный)</li>
<li>Цифровой таймер до 15 ч</li>
<li>Поддержание тепла до 1 ч</li>
<li>Компактный размер</li>
<li>Удобная ручка для переноса</li>
<li>Нескользящие ножки</li>
</ul>",188718,220 В,0.5 кВт,,,,0,https://entero.ru/manuals/219563/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Princess%20152007%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,10526,,,,Нидерланды,от 0.5 до 0.75 кг
https://cdn.entero.ru/mp@2x/a5/9c/a59c67c6f727bf62dd77a8f1c1ac49f3.jpg;https://cdn.entero.ru/mp@2x/62/07/62076ecbae6526b9c0bb405a5e558bbb.jpg;https://cdn.entero.ru/mp@2x/99/b3/99b33893ac593ce887a53ad10f73e38c.jpg;https://cdn.entero.ru/mp@2x/d5/d0/d5d01798ae3644e0cad137cd0bf9b565.jpg;https://cdn.entero.ru/mp@2x/f8/66/f8667e391a33c5241b351e9ad4e28a3c.jpg,Хлебопечь Clatronic BBA 3505,BBA 3505 weis,14352,RUB,Нет,,Бытовая техника,Техника для кухни,Хлебопечки,https://entero.ru/item/172948,"<p>Хлебопечь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/172948"">Clatronic BBA 3505</a></b> используется в частных домах и квартирах для приготовления хлеба, хлебобулочных изделий, тортов и джема. Модель оснащена электронной панелью управления с ЖК-дисплеем, съемной крышкой со смотровым окном и съемной формой для выпечки с антипригарным покрытием. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Полностью автоматическое приготовление ( замес теста, поднятие, выпечка)</li>
<li>12 программ выпечки:
<ul>
<li>Основная</li>
<li>Французская</li>
<li>Цельнозерновая</li>
<li>Быстрая выпечка</li>
<li>Сладкая</li>
<li>Супербыстрая выпечка 1</li>
<li>Супербыстрая выпечка 2</li>
<li>Джем</li>
<li>Йогурт</li>
<li>Тесто</li>
<li>Выпечка</li>
<li>Сэндвич</li>
</ul>
</li>
<li>39 доступных настроек</li>
<li>Функция Экстра</li>
<li>Функция подогрева</li>
<li>Таймер на 13 ч</li>
<li>Регулируемое количество теста</li>
<li>Регулируемое подрумянивание корочки (светлая / средняя / темная)</li>
<li>Теплоизолированный корпус</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем формы для выпечки: 2 л</li>
</ul>",172948,220 В,0.6 кВт,265 мм,305 мм,405 мм,0,https://entero.ru/manuals/199966/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Clatronic%20BBA%203505%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,,,Китай,1 кг
