Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Остаток,Файлы,Старая цена,Видео
https://cdn.entero.ru/mp@2x/4a/e0/4ae0457875776524e2d776d2842d3372.jpg;https://cdn.entero.ru/mp@2x/42/2c/422cb0c947b6638a1ff5e4e12de8bbcf.jpg;https://cdn.entero.ru/mp@2x/e9/8a/e98a261bac8227f2f48dbbae1c0e5ef9.jpg;https://cdn.entero.ru/mp@2x/ea/cd/eacdf939638ca4f31f938bc037ff5f8b.jpg;https://cdn.entero.ru/mp@2x/71/8f/718f957d09995b7ae0f4c2b1c4bd9489.jpg;https://cdn.entero.ru/mp@2x/5a/db/5adbe9e78771d09f17be0474ad0108e6.jpg;https://cdn.entero.ru/mp@2x/fb/4f/fb4f321985860557a41745a275d8e735.jpg;https://cdn.entero.ru/mp@2x/6a/70/6a70d1f895fc430c36b960486927559a.jpg,Термос Libhof TW-900,Термос Libhof TW-900,2074,RUB,Да,,Бытовая техника,Техника для кухни,Термосы,https://entero.ru/item/315471,"<p>Термос <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/315471"">Libhof TW-900</a></b> предназначен для разлива и поддержания в горячем состоянии различных напитков в частных домах и квартирах. Модель оснащена ремешком. Колба выполнена из пищевой нержавеющей стали, корпус - из металла с черным матовым напылением.</p>

<p>В комплект поставки входят крышка-чашка и ситечко.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ударопрочный корпус</li>
<li>Нескользящее дно</li>
<li>Двойное силиконовое уплотнение пробки</li>
<li>Подарочная упаковка</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объём: 0,9 л</li>
<li>Время сохранения тепла: 24 ч</li>
<li>Время сохранения холода: 24 ч</li>
<li>Габариты: 91х91х266 мм</li>
<li>Габариты в упаковке: 97х97х276 мм</li>
<li>Вес: 0,6 кг</li>
</ul>",315471,0,https://entero.ru/manuals/379418/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Libhof%20TW-900.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239091&hd=2&autoplay=0
https://cdn.entero.ru/mp@2x/64/88/6488714b0e3759ad015c40fe5d9effab.jpg;https://cdn.entero.ru/mp@2x/fb/80/fb808cf6d3b552cb9847fb94227b2748.jpg;https://cdn.entero.ru/mp@2x/74/3d/743de21c832516fb48d448564141c1c0.jpg;https://cdn.entero.ru/mp@2x/9b/ea/9bea2e92d55bfbe06044260714b81f4c.jpg;https://cdn.entero.ru/mp@2x/53/44/5344120f2f6348be43661dda782ec305.jpg;https://cdn.entero.ru/mp@2x/8d/56/8d561ea1721b4299cddf4d5fc53b4e0c.jpg;https://cdn.entero.ru/mp@2x/5a/13/5a132d07005cd45fd22bcc4bd857ad7b.jpg;https://cdn.entero.ru/mp@2x/bb/f2/bbf2a9a118614345c9a99091477eadb7.jpg,Термос Libhof TC-1600,Термос Libhof TC-1600,3486,RUB,Да,,Бытовая техника,Техника для кухни,Термосы,https://entero.ru/item/315470,"<p>Термос <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/315470"">Libhof TC-1600</a></b> предназначен для разлива и поддержания в горячем состоянии различных напитков в частных домах и квартирах. Модель оснащена складной ручкой и съемным плечевым ремнем. Колба выполнена из пищевой нержавеющей стали, корпус - из металла с черным матовым напылением и пластика.</p>

<p>В комплект поставки входят крышка-чашка и ситечко.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ударопрочный корпус</li>
<li>Нескользящее дно</li>
<li>Двойное силиконовое уплотнение пробки</li>
<li>Подарочная упаковка</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объём: 1,6 л</li>
<li>Время сохранения тепла: 42 ч</li>
<li>Время сохранения холода: 36 ч</li>
<li>Габариты: 130х130х310 мм</li>
<li>Габариты в упаковке: 140х140х335 мм</li>
<li>Вес: 1,2 кг</li>
</ul>",315470,0,https://entero.ru/manuals/379416/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Libhof%20TC-1600.pdf,4150,https://vk.com/video_ext.php?oid=-177656185&id=456239886&hd=2&autoplay=0
https://cdn.entero.ru/mp@2x/ab/bb/abbba8376998a8a7636cb80129e04470.jpg,Термос Libhof TC-2300,Термос Libhof TC-2300,3791,RUB,Да,,Бытовая техника,Техника для кухни,Термосы,https://entero.ru/item/315467,"<p>Термос <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/315467"">Libhof TC-2300</a></b> предназначен для разлива и поддержания в горячем состоянии различных напитков в частных домах и квартирах. Модель оснащена складной ручкой и съемным плечевым ремнем. Колба выполнена из пищевой нержавеющей стали, корпус - из металла с черным матовым напылением и пластика.</p>

<p>В комплект поставки входят крышка-чашка и ситечко.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ударопрочный корпус</li>
<li>Нескользящее дно</li>
<li>Двойное силиконовое уплотнение пробки</li>
<li>Подарочная упаковка</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объём: 2,3 л</li>
<li>Время сохранения тепла: 48 ч</li>
<li>Время сохранения холода: 40 ч</li>
<li>Габариты: 130х130х410 мм</li>
<li>Габариты в упаковке: 140х140х430 мм</li>
<li>Вес: 1,5 кг</li>
</ul>",315467,0,https://entero.ru/manuals/379413/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Libhof%20TC-2300.pdf,5265,https://vk.com/video_ext.php?oid=-177656185&id=456239593&hd=2&autoplay=0
https://cdn.entero.ru/mp@2x/bf/b4/bfb431a24c11147d18ae64900617644f.jpg;https://cdn.entero.ru/mp@2x/30/07/300735f971cc936dc906d5b7ebb16966.jpg,Чайник-термос Bartscher 190121,Чайник-термос Bartscher 190121,0,RUB,Нет,Bartscher,Бытовая техника,Техника для кухни,Термосы,https://entero.ru/item/93964,"<p>Чайник-термос <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93964"">Bartscher 190121</a></b> предназначен для разлива и поддержания в горячем состоянии различных напитков в частных домах и квартирах. Модель оснащена крышкой с ручкой для удобной переноски. Корпус выполнен из нержавеющей стали, крышка, откидная верхняя часть и ручки - из пластика черного цвета.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 1,5 л</li>
<li>Диаметр без ручки: 140 мм</li>
<li>Габариты: 170х140х215 мм</li>
<li>Вес: 0,708 кг</li>
</ul>",93964,0,https://entero.ru/manuals/121138/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bartscher%20190121.pdf,,
https://cdn.entero.ru/mp@2x/4c/10/4c10eea8e1cfdfe92b32c96269465c40.jpg,Термос Pujadas 894.003 3 л,Термос Pujadas 894.003 3 л,6169,RUB,Нет,Pujadas,Бытовая техника,Техника для кухни,Термосы,https://entero.ru/item/276003,"<p>Термос <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/276003""><b class=""b"">Pujadas 894.003</b></a> предназначен для разлива и поддержания в горячем состоянии различных напитков в частных домах и квартирах.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Объём: 3 л</li>
<li>Вес: 1,88 кг</li>
</ul>",276003,0,https://entero.ru/manuals/340660/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Pujadas%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,
https://cdn.entero.ru/mp@2x/14/90/1490ee80f93f5cb1936e0bff2db10595.jpg;https://cdn.entero.ru/mp@2x/7e/79/7e79af6dfa673217d6f3cabf049c451c.jpg;https://cdn.entero.ru/mp@2x/64/3d/643d0fc49aa14eaed12b6ac235d44cf9.jpg;https://cdn.entero.ru/mp@2x/ad/46/ad467502542b40802254eba8a3c7da3f.jpg;https://cdn.entero.ru/mp@2x/ca/32/ca32e66ea36d9f19af770297a70a4223.jpg;https://cdn.entero.ru/mp@2x/e4/86/e48628b3f8576d0eafd0eac2bfc91f28.jpg;https://cdn.entero.ru/mp@2x/31/04/31046ade57cb700aeb2304bac013a211.jpg;https://cdn.entero.ru/mp@2x/59/32/59325d32851aed6a3f3875caa448f215.jpg,Термос Libhof TG-800,Термос Libhof TG-800,2413,RUB,Нет,,Бытовая техника,Техника для кухни,Термосы,https://entero.ru/item/315473,"<p>Термос <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/315473"">Libhof TG-800</a></b> предназначен для разлива и поддержания в горячем состоянии различных напитков в частных домах и квартирах. Модель оснащена плечевым ремнем и накладкой. Колба выполнена из пищевой нержавеющей стали, корпус - из металла, ремень и накладка - из кожи.</p>

<p>В комплект поставки входят крышка-чашка и ситечко.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ударопрочный корпус</li>
<li>Двойное силиконовое уплотнение пробки</li>
<li>Подарочная упаковка</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объём: 0,8 л</li>
<li>Время сохранения тепла: 20 ч</li>
<li>Время сохранения холода: 20 ч</li>
<li>Габариты: 91х91х266 мм</li>
<li>Габариты в упаковке: 78х78х297 мм</li>
<li>Вес: 0,5 кг</li>
</ul>",315473,0,https://entero.ru/manuals/379420/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Libhof%20TG-800.pdf,2907,https://vk.com/video_ext.php?oid=-177656185&id=456240487&hd=2&autoplay=0
https://cdn.entero.ru/mp@2x/17/4b/174b126ef22b90a2d510722bbb4228c1.jpg,Термос Pujadas 894.004 4 л,Термос Pujadas 894.004 4 л,8407,RUB,Нет,Pujadas,Бытовая техника,Техника для кухни,Термосы,https://entero.ru/item/275983,"<p>Термос <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/275983""><b class=""b"">Pujadas 894.004</b></a> предназначен для разлива и поддержания в горячем состоянии различных напитков в частных домах и квартирах.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Объём: 4 л</li>
<li>Вес: 2,09 кг</li>
</ul>",275983,0,https://entero.ru/manuals/340644/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Pujadas%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,
