Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Остаток,Вес (без упаковки),Страна-производитель,Производительность
https://cdn.entero.ru/mp@2x/a4/ce/a4ce0e768cdcba83ec2013c7ede6e527.jpg,Измельчитель отходов IMC 525 FWD,525FWD,0,RUB,Нет,IMC,Бытовая техника,Техника для кухни,Измельчители пищевых отходов,https://entero.ru/item/58846,"<p>Измельчитель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/58846"">IMC 525 FWD</a></b> используется для переработки пищевых отходов, минуя мусорное ведро и обеспечивая более высокий уровень гигиены. Такое оборудование можно применять как в промышленных, так и в домашних условиях. Измельчение происходит с помощью вращающегося шнекового ножа: перемолотые отходы смешиваются с водой и утилизируются в канализацию.</p>

<p>Данная модель относится к категории Soft Waste и способна измельчать мягкие отходы: овощные очистки, рыбную чешую, кусочки мяса и нетвердые остатки пищи после ее употребления.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Встраивание в столешницу</li>
<li>Кнопка включения и выключения мотора</li>
<li>Подача воды с помощью соленоидного клапана (автоматически)</li>
<li>Реверсивный мотор (1-3 фазы)</li>
<li>Влагозащита класса IP65</li>
<li>Металлическая перегородка на входе для защиты рук</li>
<li>Возможность блокировки пусковой системы</li>
<li>Резиновый корпус для минимизации шума</li>
<li>Автоматическая защита от тепловой перегрузки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Потребление воды: 11-14 л/мин.</li>
<li>Размеры в упаковке: 410х510х770 мм</li>
<li>Объем упаковки: 0,161 м<sup>3</sup></li>
</ul>",58846,"220 В, 380 В",0.55 кВт,330 мм,355 мм,630 мм,0,28 кг,Великобритания,200 кг/час
https://cdn.entero.ru/mp@2x/92/48/9248fdfa582bec2ce03fbffbd1b1e3e2.jpg,Измельчитель отходов IMC 526 FWD,526FWD,0,RUB,Нет,IMC,Бытовая техника,Техника для кухни,Измельчители пищевых отходов,https://entero.ru/item/58847,"<p>Измельчитель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/58847"">IMC 526 FWD</a></b> используется для переработки пищевых отходов, минуя мусорное ведро и обеспечивая более высокий уровень гигиены. Такое оборудование подходит для применения в промышленных условиях. Измельчение происходит с помощью вращающегося шнекового ножа: перемолотые отходы смешиваются с водой и утилизируются в канализацию.</p>

<p>Данная модель относится к категории Soft Waste и способна измельчать мягкие отходы: овощные очистки, рыбную чешую, кусочки мяса и нетвердые остатки пищи после ее употребления.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Отдельностоящий</li>
<li>Кнопка включения и выключения мотора</li>
<li>Подача воды с помощью соленоидного клапана (автоматически)</li>
<li>Реверсивный мотор (1-3 фазы)</li>
<li>Влагозащита класса IP65</li>
<li>Металлическая перегородка на входе для защиты рук</li>
<li>Возможность блокировки пусковой системы</li>
<li>Резиновый корпус для минимизации шума</li>
<li>Автоматическая защита от тепловой перегрузки</li>
<li>Опция: боковые панели из нержавеющей стали</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Потребление воды: 11-14 л/мин.</li>
<li><span style=""color:#FF0000;""><b>Напряжение:</b> 220 или 380 В (уточняйте, какая модель Вам нужна при заказе)</span></li>
<li>Размеры в упаковке: 580х680х1020 мм</li>
<li>Объем упаковки: 0,402 м<sup>3</sup></li>
</ul>",58847,"220 В, 380 В",0.55 кВт,400 мм,600 мм,865 мм,0,36 кг,Великобритания,200 кг/час
https://cdn.entero.ru/mp@2x/66/49/6649e08f6520262dbb11f1c12c730e65.jpg,Измельчитель отходов IMC 523 FWD,523FWD,0,RUB,Нет,IMC,Бытовая техника,Техника для кухни,Измельчители пищевых отходов,https://entero.ru/item/58845,"<p>Измельчитель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/58845"">IMC 523 FWD</a></b> используется для переработки пищевых отходов, минуя мусорное ведро и обеспечивая более высокий уровень гигиены. Такое оборудование можно применять как в промышленных, так и в домашних условиях. Измельчение происходит с помощью вращающегося шнекового ножа: перемолотые отходы смешиваются с водой и утилизируются в канализацию.</p>

<p>Данная модель относится к категории Soft Waste и способна измельчать мягкие отходы: овощные очистки, рыбную чешую, кусочки мяса и нетвердые остатки пищи после ее употребления.</p>

<p>В комплекте фиттинг 89 мм (3,5"") для соединения с раковиной. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Встраивание в мойку</li>
<li>Кнопка включения и выключения мотора</li>
<li>Подача воды вручную</li>
<li>Реверсивный мотор (1-3 фазы)</li>
<li>Влагозащита класса IP65</li>
<li>Резиновые ""лепестки"" на входе для защиты рук</li>
<li>Резиновый корпус для минимизации шума</li>
<li>Автоматическая защита от тепловой перегрузки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Потребление воды: 11-14 л/мин.</li>
<li>Высота: 406 мм</li>
<li>Размер входного отверстия: 89 мм</li>
<li>Объем упаковки: 0,043 м<sup>3</sup></li>
</ul>",58845,"220 В, 380 В",0.55 кВт,220 мм,320 мм,620 мм,0,18 кг,Великобритания,100 кг/час
https://cdn.entero.ru/mp@2x/1e/63/1e63641e840101b931c2ce1868760796.jpg;https://cdn.entero.ru/mp@2x/2d/4d/2d4d1a7639282a52b873cb77854a901a.jpg,Пресс мусорных отходов IMC MC300 (F90/010),Пресс мусорных отходов IMC MC300 (F90/010),0,RUB,Нет,IMC,Бытовая техника,Техника для кухни,Измельчители пищевых отходов,https://entero.ru/item/124655,"<p>Пресс мусорных отходов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/124655"">IMC MC300 (F90/010)</a></b> используется для формирования в единый блок сухие отходы, такие как картон, пластик и бумаги для последующей утилизации продукта. Такое оборудование можно применять как в промышленных, так и в домашних условиях. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входит 12 мешков для мусора <a href=""https://entero.ru/item/124662"">K08/229</a>.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Линейный синхронный двигатель обеспечивает тихую и эффективную работу</li>
<li>Отходы прессуются в соотношении 4:1</li>
<li>Не подходит для прессования консервных и пивных банок</li>
<li>Компактные размеры</li>
<li>Замок</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем мусора на входе: 156 л</li>
<li>Объем мусора на выходе: 39 л</li>
<li>Габариты в упаковке: 370х640х1000 мм</li>
</ul>",124655,220 В,0.18 кВт,300 мм,580 мм,895 мм,0,,Великобритания,
https://cdn.entero.ru/mp@2x/48/4d/484d1cc15720ad72ee122b52dc55ac4c.jpg,"Устройство пусковое In Sink Erator для 45, 55, LC 50","Устройство пусковое In Sink Erator для 45, 55, LC 50",5152,RUB,Да,In Sink Erator,Бытовая техника,Техника для кухни,Измельчители пищевых отходов,https://entero.ru/item/63423,"<p>Пусковое устройство <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/63423""><b class=""b"">In Sink Erator </b></a>предназначено для совместного использования с измельчителями <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/63423""><b class=""b"">45</b></a>, <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/63423""><b class=""b"">55</b></a> и <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/63423""><b class=""b"">LC 50</b></a>. Изделие представляет собой коробочную версию (BOX).</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Блок управления с проводом длиной 1,5 м</li>
<li>Кнопка (цвет - хром)</li>
<li>Трубка длиной 1,5 м</li>
</ul>",63423,,,,,,0,,,
https://cdn.entero.ru/mp@2x/a0/ae/a0ae61907cdf8ac74bc041d795c92061.jpg,Пакеты для пресса мусорных отходов IMC K08/229,Пакеты для пресса мусорных отходов IMC K08/229,0,RUB,Нет,IMC,Бытовая техника,Техника для кухни,Измельчители пищевых отходов,https://entero.ru/item/124662,"<p>Пакеты для пресса мусорных отходов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/124662"">IMC K08/229</a></b> используется как в промышленных, так и в домашних условиях. В рулон входят 12 мешков.</p>",124662,,,,,,0,,,
https://cdn.entero.ru/mp@2x/90/c6/90c60f573cb1b31e9717a136f692412f.jpg;https://cdn.entero.ru/mp@2x/55/6c/556cc195841b0e7af4386039b87e5965.jpg;https://cdn.entero.ru/mp@2x/a9/eb/a9eb112f095f162b0a5e7abba1af68fe.jpg;https://cdn.entero.ru/mp@2x/66/69/666978489f54265057b60bb9c177043e.jpg,Кнопка пневматического управления In Sink Erator Air Switch,Кнопка пневматического управления In Sink Erator Air Switch,0,RUB,Нет,In Sink Erator,Бытовая техника,Техника для кухни,Измельчители пищевых отходов,https://entero.ru/item/63419,"<p>Кнопка пневматического управления <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/63419"">In Sink Erator Air Switch</a></b> предназначена для совместного использования с измельчителями 65, 75 и Evolution 100 / 200. Изделие поставляется в сборе.</p>

<p><b>Комплектации: </b></p>

<ul>
<li>Толкатель</li>
<li>Накладки</li>
<li>Цилиндр</li>
<li>Трубка длиной 2 м</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Диаметр внешнего фланца: 46 мм</li>
<li>Максимальная толщина столешницы: 50 мм</li>
<li>Размер: 32х32х67 мм</li>
</ul>",63419,,,,,,0,,,
